District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
İstanbul / Bakırköy,3+2,135000.0,04,0.0,0.0,0.0,-1.8181818181818181
İstanbul / Bakırköy,3.5+1,90000.0,04,0.0,2.857142857142857,-25.0,2.857142857142857
İstanbul / Bakırköy,4+1,147500.0,04,5.357142857142857,5.357142857142857,1.7241379310344827,13.461538461538462
İstanbul / Bakırköy,4+2,170000.0,04,0.0,0.0,-2.857142857142857,-12.82051282051282
İstanbul / Bakırköy,4.5+1,240000.0,04,0.0,0.0,4.3478260869565215,17.073170731707318
İstanbul / Bakırköy,4.5+2,200000.0,04,0.0,0.0,,-4.761904761904762
İstanbul / Bakırköy,5+1,220000.0,04,0.0,0.0,-10.204081632653061,18.91891891891892
İstanbul / Bakırköy,5+2,137500.0,04,1.8518518518518516,1.8518518518518516,1.8518518518518516,0.0
İstanbul / Bakırköy,5.5+1,455000.0,04,0.0,-1.0869565217391304,-1.0869565217391304,-5.208333333333334
İstanbul / Bakırköy,6+1,250000.0,04,0.0,0.0,-12.280701754385964,-21.875
İstanbul / Bakırköy,6+2,435000.0,04,0.0,0.0,25.179856115107913,67.3076923076923
İstanbul / Bakırköy,7+2,295000.0,04,3.508771929824561,-37.234042553191486,-37.234042553191486,-37.234042553191486
İstanbul / Bakırköy,8+2,290000.0,04,0.0,-1.694915254237288,,0.0
İstanbul / Bakırköy,9+2,480000.0,04,0.0,-4.0,-20.0,-20.0
İstanbul / Bakırköy,Stüdyo (1+0),22750.0,04,-3.1914893617021276,22.972972972972975,3.4090909090909087,62.5
İstanbul / Bayrampaşa,1+1,26000.0,04,4.0,1.9607843137254901,0.0,2.9702970297029703
İstanbul / Bayrampaşa,1.5+1,27000.0,04,0.0,10.204081632653061,0.0,
İstanbul / Bayrampaşa,2+1,35500.0,04,-1.3888888888888888,1.4285714285714286,7.575757575757576,7.575757575757576
İstanbul / Bayrampaşa,3+1,53500.0,04,0.4694835680751174,-2.727272727272727,-6.140350877192982,-2.727272727272727
İstanbul / Bayrampaşa,3+2,55000.0,04,0.0,0.0,-8.333333333333332,-8.333333333333332
İstanbul / Bayrampaşa,4+1,35000.0,04,0.0,,-28.57142857142857,-24.731182795698924
İstanbul / Bayrampaşa,4+2,67500.0,04,-3.571428571428571,-3.571428571428571,-3.571428571428571,22.727272727272727
İstanbul / Bayrampaşa,5+2,45000.0,04,-45.78313253012048,542.8571428571429,55.172413793103445,-19.642857142857142
İstanbul / Bayrampaşa,Stüdyo (1+0),31500.0,04,0.0,5.0,59.49367088607595,-4.545454545454546
İstanbul / Bağcılar,1+1,33000.0,04,0.0,0.0,0.7633587786259541,3.125
İstanbul / Bağcılar,1.5+1,19000.0,04,0.0,-5.0,18.75,18.75
İstanbul / Bağcılar,2+1,38000.0,04,-5.0,-2.564102564102564,7.042253521126761,8.571428571428571
İstanbul / Bağcılar,2.5+1,36500.0,04,0.0,29.20353982300885,39.04761904761905,-8.176100628930817
İstanbul / Bağcılar,3+1,55000.0,04,0.0,5.011933174224343,10.0,19.565217391304348
İstanbul / Bağcılar,3+2,50000.0,04,0.0,0.0,0.0,0.0
İstanbul / Bağcılar,3.5+1,67500.0,04,0.0,22.727272727272727,22.727272727272727,22.727272727272727
İstanbul / Bağcılar,4+1,75000.0,04,1.3513513513513513,4.895104895104895,7.142857142857142,7.142857142857142
İstanbul / Bağcılar,4+2,55000.0,04,0.0,3.7735849056603774,3.7735849056603774,-8.333333333333332
İstanbul / Bağcılar,4.5+1,80000.0,04,0.0,0.0,0.0,-3.0303030303030303
İstanbul / Bağcılar,5+2,75000.0,04,0.0,0.0,0.0,
İstanbul / Bağcılar,6+1,60750.0,04,0.0,834.6153846153846,834.6153846153846,834.6153846153846
İstanbul / Bağcılar,Stüdyo (1+0),25750.0,04,-2.8301886792452833,3.0,3.0,7.291666666666667
İstanbul / Başakşehir,1+1,31000.0,04,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
İstanbul / Başakşehir,1.5+1,43000.0,04,0.0,19.444444444444446,-1.1494252873563218,-14.000000000000002
İstanbul / Başakşehir,10 Üzeri,450000.0,04,0.0,0.0,0.0,0.0
İstanbul / Başakşehir,2+0,12000.0,04,0.0,0.0,,
İstanbul / Başakşehir,2+1,36750.0,04,2.083333333333333,3.5211267605633805,2.083333333333333,5.0
İstanbul / Başakşehir,2.5+1,66000.0,04,0.0,0.0,15.789473684210526,-5.714285714285714
İstanbul / Başakşehir,3+1,54500.0,04,0.9259259259259258,6.862745098039216,9.0,9.0
İstanbul / Başakşehir,3+2,35000.0,04,0.0,1.4492753623188406,0.0,1.4492753623188406
İstanbul / Başakşehir,3.5+1,125000.0,04,0.0,13.636363636363635,0.0,25.0
İstanbul / Başakşehir,4+1,85000.0,04,0.0,2.719033232628399,2.719033232628399,6.25
İstanbul / Başakşehir,4+2,120000.0,04,-2.0408163265306123,0.0,4.3478260869565215,23.076923076923077
İstanbul / Başakşehir,4+3,140000.0,04,0.0,0.0,0.0,0.0
İstanbul / Başakşehir,4.5+1,85000.0,04,0.0,0.0,0.0,0.0
İstanbul / Başakşehir,5+1,125000.0,04,0.0,4.166666666666666,4.166666666666666,6.382978723404255
İstanbul / Başakşehir,5+2,110000.0,04,-4.3478260869565215,0.0,4.761904761904762,10.0
İstanbul / Başakşehir,5+3,90000.0,04,0.0,-21.73913043478261,-21.73913043478261,-21.73913043478261
İstanbul / Başakşehir,5.5+1,129450.0,04,1.9692792437967706,-0.38476337052712584,-0.4230769230769231,-4.111111111111112
İstanbul / Başakşehir,6+1,185000.0,04,0.0,2.7777777777777777,19.35483870967742,105.55555555555556
İstanbul / Başakşehir,6+2,130000.0,04,-3.7037037037037033,0.0,-3.7037037037037033,-7.142857142857142
İstanbul / Başakşehir,6+3,107500.0,04,0.0,0.0,-2.272727272727273,-2.272727272727273
İstanbul / Başakşehir,7+2,120000.0,04,0.0,0.0,-7.6923076923076925,0.0
İstanbul / Başakşehir,8+1,180000.0,04,0.0,-13.253012048192772,-28.000000000000004,-28.000000000000004
İstanbul / Başakşehir,8+3,340000.0,04,0.0,0.0,0.0,-8.108108108108109
İstanbul / Başakşehir,9+2,295000.0,04,0.0,0.0,,
İstanbul / Başakşehir,Stüdyo (1+0),30000.0,04,0.0,0.0,25.0,36.36363636363637
İstanbul / Beylikdüzü,1+1,29250.0,04,0.8620689655172413,0.8620689655172413,4.464285714285714,8.333333333333332
İstanbul / Beylikdüzü,1.5+1,25000.0,04,11.11111111111111,11.11111111111111,11.11111111111111,19.047619047619047
İstanbul / Beylikdüzü,10 Üzeri,180000.0,04,0.0,0.0,0.0,0.0
İstanbul / Beylikdüzü,2+1,35000.0,04,0.0,0.0,2.941176470588235,2.941176470588235
İstanbul / Beylikdüzü,2+2,40500.0,04,0.0,1.25,-4.705882352941177,1.25
İstanbul / Beylikdüzü,2.5+1,46000.0,04,9.523809523809524,-8.0,-8.0,15.0
İstanbul / Beylikdüzü,3+1,45000.0,04,0.0,0.0,0.0,0.0
İstanbul / Beylikdüzü,3+2,45500.0,04,0.0,1.1111111111111112,0.0,1.1111111111111112
İstanbul / Beylikdüzü,3.5+1,56750.0,04,2.2522522522522523,3.1818181818181817,7.0754716981132075,9.134615384615383
İstanbul / Beylikdüzü,4+1,60000.0,04,0.0,-3.225806451612903,0.0,0.0
İstanbul / Beylikdüzü,4+2,55000.0,04,0.0,5.769230769230769,10.0,14.583333333333334
İstanbul / Beylikdüzü,4.5+1,65000.0,04,0.0,0.0,0.0,6.557377049180328
İstanbul / Beylikdüzü,5+1,65000.0,04,0.0,0.0,0.0,-21.21212121212121
İstanbul / Beylikdüzü,5+2,75000.0,04,0.0,-14.285714285714285,-6.25,7.142857142857142
İstanbul / Beylikdüzü,5+3,135000.0,04,0.0,,,
İstanbul / Beylikdüzü,6+1,87500.0,04,0.0,-2.7777777777777777,-18.6046511627907,-2.7777777777777777
İstanbul / Beylikdüzü,6+2,130000.0,04,0.0,-3.7037037037037033,-3.7037037037037033,-3.7037037037037033
