District,Rooms,Median_Price_Today,inflation_1d_pct,inflation_7d_pct,inflation_15d_pct,inflation_30d_pct
İstanbulBaşakşehir,3.5+1,100000.0,0.0,,,
İstanbulBaşakşehir,4+0,8000.0,0.0,,,
İstanbulBaşakşehir,4+1,80000.0,0.0,,,
İstanbulBaşakşehir,4+2,100000.0,-2.4390243902439024,,,
İstanbulBaşakşehir,4+3,140000.0,0.0,,,
İstanbulBaşakşehir,4.5+1,85000.0,0.0,,,
İstanbulBaşakşehir,5+1,115000.0,0.0,,,
İstanbulBaşakşehir,5+2,100000.0,-2.4390243902439024,,,
İstanbulBaşakşehir,5+3,115000.0,0.0,,,
İstanbulBaşakşehir,5.5+1,135000.0,0.0,,,
İstanbulBaşakşehir,6+1,155000.0,26.53061224489796,,,
İstanbulBaşakşehir,6+2,140000.0,0.0,,,
İstanbulBaşakşehir,6+3,110000.0,0.0,,,
İstanbulBaşakşehir,7+2,110000.0,-8.333333333333332,,,
İstanbulBaşakşehir,8+1,250000.0,0.0,,,
İstanbulBaşakşehir,8+3,370000.0,0.0,,,
İstanbulBaşakşehir,Stüdyo (1+0),25000.0,13.636363636363635,,,
İstanbulBeylikdüzü,1+1,27000.0,0.0,,,
İstanbulBeylikdüzü,1.5+1,20500.0,-2.380952380952381,,,
İstanbulBeylikdüzü,10 Üzeri,180000.0,0.0,,,
İstanbulBeylikdüzü,2+0,25000.0,0.0,,,
İstanbulBeylikdüzü,2+1,33500.0,0.7518796992481203,,,
İstanbulBeylikdüzü,2+2,42500.0,6.25,,,
İstanbulBeylikdüzü,2.5+1,40000.0,0.0,,,
İstanbulBeylikdüzü,3+1,45000.0,0.0,,,
İstanbulBeylikdüzü,3+2,45000.0,0.0,,,
İstanbulBeylikdüzü,3.5+1,52500.0,0.9615384615384616,,,
İstanbulBeylikdüzü,4+1,60000.0,0.0,,,
İstanbulBeylikdüzü,4+2,47750.0,0.0,,,
İstanbulBeylikdüzü,4.5+1,61000.0,0.0,,,
İstanbulBeylikdüzü,5+1,82500.0,17.857142857142858,,,
İstanbulBeylikdüzü,5+2,75000.0,3.4482758620689653,,,
İstanbulBeylikdüzü,6+1,90000.0,0.0,,,
İstanbulBeylikdüzü,6+2,138000.0,2.2222222222222223,,,
İstanbulBeylikdüzü,6+3,100000.0,0.0,,,
İstanbulBeylikdüzü,6.5+1,85000.0,0.0,,,
İstanbulBeylikdüzü,7+1,100000.0,0.0,,,
İstanbulBeylikdüzü,7+2,135000.0,0.0,,,
İstanbulBeylikdüzü,7+3,215000.0,0.0,,,
İstanbulBeylikdüzü,8+1,155000.0,0.0,,,
İstanbulBeylikdüzü,8+2,160000.0,0.0,,,
İstanbulBeylikdüzü,8+3,140000.0,,,,
İstanbulBeylikdüzü,Stüdyo (1+0),17000.0,0.0,,,
İstanbulBeyoğlu,1+1,40000.0,0.0,,,
İstanbulBeyoğlu,1.5+1,17000.0,-42.3728813559322,,,
İstanbulBeyoğlu,2+0,22000.0,0.0,,,
İstanbulBeyoğlu,2+1,36500.0,-3.9473684210526314,,,
İstanbulBeyoğlu,2+2,30000.0,0.0,,,
İstanbulBeyoğlu,2.5+1,55000.0,0.0,,,
İstanbulBeyoğlu,3+1,65000.0,0.0,,,
İstanbulBeyoğlu,3+2,61500.0,0.0,,,
İstanbulBeyoğlu,3.5+1,90000.0,0.0,,,
İstanbulBeyoğlu,4+1,97500.0,0.0,,,
İstanbulBeyoğlu,4+2,520000.0,0.0,,,
İstanbulBeyoğlu,4+3,20000.0,0.0,,,
İstanbulBeyoğlu,4.5+1,65000.0,0.0,,,
İstanbulBeyoğlu,5+1,167500.0,0.0,,,
İstanbulBeyoğlu,5+2,110000.0,0.0,,,
İstanbulBeyoğlu,Stüdyo (1+0),21500.0,7.5,,,
İstanbulBeşiktaş,1+1,45000.0,0.0,,,
İstanbulBeşiktaş,1.5+1,195000.0,34.48275862068966,,,
İstanbulBeşiktaş,10+1,340000.0,0.0,,,
İstanbulBeşiktaş,2+0,35500.0,0.0,,,
İstanbulBeşiktaş,2+1,60000.0,0.0,,,
İstanbulBeşiktaş,2+2,130000.0,0.0,,,
İstanbulBeşiktaş,2.5+1,82500.0,0.0,,,
İstanbulBeşiktaş,3+1,85000.0,1.1904761904761905,,,
İstanbulBeşiktaş,3+2,96500.0,0.0,,,
İstanbulBeşiktaş,3.5+1,295000.0,0.0,,,
İstanbulBeşiktaş,4+0,275000.0,0.0,,,
İstanbulBeşiktaş,4+1,227500.0,1.1111111111111112,,,
İstanbulBeşiktaş,4+2,175000.0,0.0,,,
İstanbulBeşiktaş,4.5+1,455000.0,0.0,,,
İstanbulBeşiktaş,5+1,250000.0,0.0,,,
İstanbulBeşiktaş,5+2,650000.0,73.33333333333333,,,
İstanbulBeşiktaş,5+3,650000.0,0.0,,,
İstanbulBeşiktaş,5.5+1,93000.0,0.0,,,
İstanbulBeşiktaş,6+1,500000.0,0.0,,,
İstanbulBeşiktaş,6+2,252500.0,12.222222222222221,,,
İstanbulBeşiktaş,7+1,206500.0,0.0,,,
İstanbulBeşiktaş,7+2,280000.0,0.0,,,
İstanbulBeşiktaş,8+1,690000.0,0.0,,,
İstanbulBeşiktaş,9+4,370000.0,0.0,,,
İstanbulBeşiktaş,Stüdyo (1+0),21900.0,-0.22779043280182232,,,
İstanbulBüyükçekmece,1+1,29500.0,5.357142857142857,,,
İstanbulBüyükçekmece,1.5+1,22500.0,0.0,,,
İstanbulBüyükçekmece,10 Üzeri,150000.0,0.0,,,
İstanbulBüyükçekmece,10+2,280000.0,0.0,,,
İstanbulBüyükçekmece,2+1,30000.0,0.0,,,
İstanbulBüyükçekmece,2.5+1,37500.0,-10.714285714285714,,,
İstanbulBüyükçekmece,3+1,45000.0,0.0,,,
İstanbulBüyükçekmece,3+2,48250.0,0.0,,,
İstanbulBüyükçekmece,3.5+1,50000.0,-20.0,,,
İstanbulBüyükçekmece,4+1,75000.0,0.0,,,
İstanbulBüyükçekmece,4+2,60000.0,-0.7444168734491315,,,
İstanbulBüyükçekmece,4+3,65000.0,0.0,,,
İstanbulBüyükçekmece,4.5+1,85000.0,0.0,,,
İstanbulBüyükçekmece,5+1,160000.0,6.666666666666667,,,
İstanbulBüyükçekmece,5+2,90000.0,0.0,,,
İstanbulBüyükçekmece,5+3,225000.0,34.32835820895522,,,
İstanbulBüyükçekmece,5.5+1,175000.0,0.0,,,
İstanbulBüyükçekmece,6+1,220000.0,0.0,,,
İstanbulBüyükçekmece,6+2,130000.0,0.0,,,
İstanbulBüyükçekmece,6+3,77500.0,3.3333333333333335,,,
İstanbulBüyükçekmece,7+1,242500.0,0.0,,,
İstanbulBüyükçekmece,7+2,210000.0,-4.545454545454546,,,
İstanbulBüyükçekmece,7+3,155000.0,0.0,,,
İstanbulBüyükçekmece,8+1,160000.0,0.0,,,
İstanbulBüyükçekmece,8+2,300000.0,0.0,,,
İstanbulBüyükçekmece,8+3,117500.0,0.0,,,
İstanbulBüyükçekmece,9+1,240000.0,0.0,,,
İstanbulBüyükçekmece,9+2,275000.0,-8.333333333333332,,,
İstanbulBüyükçekmece,9+5,650000.0,0.0,,,
İstanbulBüyükçekmece,Stüdyo (1+0),21000.0,-4.545454545454546,,,
İstanbulEsenler,1+1,16625.0,-0.7462686567164178,,,
İstanbulEsenler,1.5+1,16000.0,0.0,,,
İstanbulEsenler,2+1,22000.0,0.0,,,
İstanbulEsenler,2+2,30000.0,0.0,,,
İstanbulEsenler,3+1,38500.0,0.0,,,
İstanbulEsenler,3+2,27500.0,0.0,,,
İstanbulEsenler,4+1,50000.0,0.0,,,
İstanbulEsenler,4+2,45000.0,,,,
İstanbulEsenler,Stüdyo (1+0),13000.0,0.0,,,
İstanbulEsenyurt,1+1,20000.0,0.0,,,
İstanbulEsenyurt,1.5+1,21500.0,1.1764705882352942,,,
İstanbulEsenyurt,2+1,20000.0,0.0,,,
İstanbulEsenyurt,2+2,35000.0,9.375,,,
İstanbulEsenyurt,2.5+1,38500.0,20.3125,,,
İstanbulEsenyurt,3+0,18000.0,0.0,,,
İstanbulEsenyurt,3+1,32000.0,1.5873015873015872,,,
İstanbulEsenyurt,3+2,35000.0,0.0,,,
İstanbulEsenyurt,3.5+1,35000.0,0.0,,,
İstanbulEsenyurt,4+1,50000.0,0.0,,,
İstanbulEsenyurt,4+2,36000.0,0.0,,,
İstanbulEsenyurt,5+1,60000.0,0.0,,,
İstanbulEsenyurt,5+2,95000.0,-2.564102564102564,,,
İstanbulEsenyurt,6+2,102500.0,0.0,,,
İstanbulEsenyurt,8+2,105000.0,0.0,,,
İstanbulEsenyurt,9+2,75000.0,0.0,,,
İstanbulEsenyurt,Stüdyo (1+0),14500.0,3.571428571428571,,,
İstanbulEyüpsultan,1+1,43000.0,0.0,,,
İstanbulEyüpsultan,1.5+1,20500.0,0.0,,,
İstanbulEyüpsultan,2+1,40000.0,0.0,,,
İstanbulEyüpsultan,2+2,47875.0,0.0,,,
