District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
Arnavutköy,3+1,20500.0,04,,-29.310344827586203,,,,0,-30.783045977011493,-30.78304597701149,,,,
ArnavutköyHadımköy(Boyalık),2+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
Avcılar,1+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
BayrampaşaAltıntepsi,1+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
BayrampaşaAltıntepsi,2+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
BağcılarGüneşli,2+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
BaşakşehirBahçeşehir,2+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
Başakşehirİkitelli,2+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
BeyoğluHalıcıoğlu,1+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
BeyoğluHalıcıoğlu,2+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
BeyoğluKasımpaşa,1+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
BeşiktaşAbbasağa,Stüdyo (1+0),20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
Esenler,2+1,20500.0,04,,-31.666666666666664,,,,0,-30.783045977011493,-30.78304597701149,,,,
Esenler,3+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
EsenlerSanayi,2+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
Esenyurt,1+1,20500.0,04,,-29.310344827586203,,,,0,-30.783045977011493,-30.78304597701149,,,,
Esenyurt,2+1,20500.0,04,,-31.666666666666664,,,,0,-30.783045977011493,-30.78304597701149,,,,
Esenyurt,3+1,20500.0,04,,-31.666666666666664,,,,0,-30.783045977011493,-30.78304597701149,,,,
EyüpsultanRami,1.5+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
EyüpsultanYeşilpınar,2+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
EyüpsultanYeşilpınar,3+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
EyüpsultanÇırçır,1.5+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
FatihYedikule,2+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
Kağıthane,2+1,20500.0,04,,-31.666666666666664,,,,0,-30.783045977011493,-30.78304597701149,,,,
KağıthaneGültepe,1+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
KağıthaneŞirintepe,1+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
KağıthaneŞirintepe,2+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
KüçükçekmeceHalkalı,1+1,20500.0,04,,,,,,0,-30.783045977011493,-30.78304597701149,,,,
