date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-03-02,,,,,,,,
2026-03-03,1.0026594212783553,1.0026594212783553,,,,,,
2026-03-04,-0.0656949544631776,-0.0656949544631776,,,,,,
2026-03-05,0.5299720868913094,0.5299720868913094,,,,,,
2026-03-06,0.0,0.0,,,,,,
2026-03-07,2.619762524039069,2.6197625240390687,,,,,,
2026-03-08,0.7966668572408374,0.7966668572408373,,,,,,
2026-03-09,0.6777059845563066,0.6777059845563066,1.9241280304383177,1.924128030438318,,,,
2026-03-10,-0.0874809008637676,-0.0874809008637676,1.1186064386084011,1.118606438608401,,,,
2026-03-11,0.9755315493784557,0.9755315493784558,2.9321748863412695,2.9321748863412695,,,,
2026-03-12,,0.0,-30.783045977011493,-30.78304597701149,,,,
2026-03-13,0.4388564107424394,0.4388564107424396,,0.0,,,,
2026-03-14,0.4420110352964597,0.4420110352964597,,0.0,,,,
2026-03-15,0.3612647926757756,0.3612647926757756,,0.0,,,,
2026-03-16,0.4815914890996003,0.4815914890996003,,0.0,,,,
2026-03-17,0.3015806658650549,0.3015806658650549,,0.0,,0.0,,
2026-03-18,1.8731732411818476,1.873173241181848,,0.0,,0.0,,
2026-03-19,0.35938235874637914,0.359382358746379,4.261800094763025,4.261800094763024,,0.0,,
