District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
İstanbul / Arnavutköy,1+1,20000.0,04,0.0,0.0,0.0,
İstanbul / Arnavutköy,2+0,15000.0,04,0.0,-6.25,,
İstanbul / Arnavutköy,2+1,23750.0,04,1.0638297872340425,1.0638297872340425,3.260869565217391,
İstanbul / Arnavutköy,2+2,35750.0,04,0.0,30.0,13.492063492063492,
İstanbul / Arnavutköy,3+1,30000.0,04,0.0,0.0,3.4482758620689653,
İstanbul / Arnavutköy,3+2,30000.0,04,-3.225806451612903,0.0,-3.225806451612903,
İstanbul / Arnavutköy,3.5+1,50000.0,04,0.0,42.857142857142854,17.647058823529413,
İstanbul / Arnavutköy,4+1,48000.0,04,0.0,-8.571428571428571,0.5235602094240838,
İstanbul / Arnavutköy,4+2,37000.0,04,-3.896103896103896,-7.5,-17.77777777777778,
İstanbul / Arnavutköy,4+4,40000.0,04,0.0,,,
İstanbul / Arnavutköy,5+1,45000.0,04,0.0,-16.666666666666664,-25.0,
İstanbul / Arnavutköy,5+2,62000.0,04,0.0,0.0,-42.05607476635514,
İstanbul / Arnavutköy,6+1,177500.0,04,10.9375,7.575757575757576,4.411764705882353,
İstanbul / Arnavutköy,6+2,93000.0,04,-8.374384236453201,-8.374384236453201,-41.875,
İstanbul / Arnavutköy,7+3,90000.0,04,0.0,,0.0,
İstanbul / Arnavutköy,8+3,200000.0,04,0.0,0.0,0.0,
İstanbul / Arnavutköy,9+1,85000.0,04,0.0,0.0,0.0,
İstanbul / Arnavutköy,Stüdyo (1+0),21000.0,04,5.0,5.0,5.0,
İstanbul / Avcılar,1+1,29999.0,04,-0.0033333333333333335,-0.0033333333333333335,5.2596491228070175,
İstanbul / Avcılar,1.5+1,28000.0,04,0.0,0.0,,
İstanbul / Avcılar,2+1,36000.0,04,0.0,2.857142857142857,10.76923076923077,
İstanbul / Avcılar,3+1,48000.0,04,-0.5181347150259068,-4.0,0.0,
İstanbul / Avcılar,3+2,40000.0,04,0.0,0.0,0.0,
İstanbul / Avcılar,3.5+1,52500.0,04,0.0,0.0,-28.08219178082192,
İstanbul / Avcılar,4+1,61500.0,04,-1.6,-2.380952380952381,-0.8064516129032258,
İstanbul / Avcılar,4+2,60000.0,04,0.0,0.0,0.0,
İstanbul / Avcılar,5+1,67500.0,04,0.0,92.85714285714286,68.75,
İstanbul / Avcılar,5+2,45000.0,04,0.0,2.272727272727273,4.651162790697675,
İstanbul / Avcılar,5.5+1,110000.0,04,0.0,-15.384615384615385,0.0,
İstanbul / Avcılar,6+2,180000.0,04,0.0,,0.0,
İstanbul / Avcılar,Stüdyo (1+0),15587.5,04,2.2131147540983607,2.2131147540983607,3.916666666666667,
İstanbul / Bahçelievler,1+1,35750.0,04,-0.6944444444444444,-2.054794520547945,-1.3793103448275863,
İstanbul / Bahçelievler,1.5+1,55000.0,04,0.0,0.0,0.0,
İstanbul / Bahçelievler,2+0,7000.0,04,0.0,0.0,0.0,
İstanbul / Bahçelievler,2+1,44000.0,04,-2.2222222222222223,10.0,7.317073170731707,
İstanbul / Bahçelievler,2+2,67500.0,04,3.8461538461538463,-15.625,-15.625,
İstanbul / Bahçelievler,2.5+1,57500.0,04,4.545454545454546,1.7699115044247788,-0.8620689655172413,
İstanbul / Bahçelievler,3+0,9000.0,04,0.0,-10.0,,
İstanbul / Bahçelievler,3+1,60000.0,04,5.263157894736842,9.090909090909092,9.090909090909092,
İstanbul / Bahçelievler,3+2,74000.0,04,0.0,-11.377245508982035,-10.843373493975903,
İstanbul / Bahçelievler,3.5+1,107500.0,04,0.0,2.380952380952381,4.878048780487805,
İstanbul / Bahçelievler,4+1,85000.0,04,0.0,-15.0,-15.0,
İstanbul / Bahçelievler,4+2,79000.0,04,-16.842105263157894,-24.761904761904763,-19.387755102040817,
İstanbul / Bahçelievler,4+3,60000.0,04,0.0,0.0,0.0,
İstanbul / Bahçelievler,4.5+1,115000.0,04,0.0,0.0,0.0,
İstanbul / Bahçelievler,5+1,100000.0,04,21.21212121212121,21.21212121212121,21.21212121212121,
İstanbul / Bahçelievler,5+2,92500.0,04,0.0,-22.916666666666664,-22.916666666666664,
İstanbul / Bahçelievler,6+2,130000.0,04,0.0,4.0,4.0,
İstanbul / Bahçelievler,Stüdyo (1+0),25500.0,04,2.0,-4.672897196261682,-8.928571428571429,
İstanbul / Bakırköy,1+1,48500.0,04,1.5706806282722512,6.593406593406594,6.593406593406594,
İstanbul / Bakırköy,1.5+1,47500.0,04,35.714285714285715,-20.833333333333336,-20.833333333333336,
İstanbul / Bakırköy,10+1,300000.0,04,0.0,0.0,,
İstanbul / Bakırköy,2+1,80000.0,04,0.0,6.666666666666667,11.11111111111111,
İstanbul / Bakırköy,2.5+1,107500.0,04,0.0,43.333333333333336,-30.64516129032258,
İstanbul / Bakırköy,3+1,100000.0,04,0.0,5.263157894736842,5.263157894736842,
İstanbul / Bakırköy,3+2,135000.0,04,0.0,-3.571428571428571,-1.8181818181818181,
İstanbul / Bakırköy,3.5+1,120000.0,04,0.0,37.142857142857146,37.142857142857146,
İstanbul / Bakırköy,4+1,145000.0,04,7.4074074074074066,11.538461538461538,11.538461538461538,
İstanbul / Bakırköy,4+2,175000.0,04,-6.666666666666667,-5.405405405405405,-10.256410256410255,
İstanbul / Bakırköy,4.5+1,230000.0,04,3.3707865168539324,12.195121951219512,12.195121951219512,
İstanbul / Bakırköy,5+1,245000.0,04,0.0,11.363636363636363,32.432432432432435,
İstanbul / Bakırköy,5+2,135000.0,04,0.0,0.0,-1.8181818181818181,
İstanbul / Bakırköy,5.5+1,460000.0,04,0.0,-4.166666666666666,-4.166666666666666,
İstanbul / Bakırköy,6+1,285000.0,04,0.0,-10.9375,-10.9375,
İstanbul / Bakırköy,6+2,347500.0,04,33.65384615384615,33.65384615384615,33.65384615384615,
İstanbul / Bakırköy,7+2,470000.0,04,,41.35338345864661,0.0,
İstanbul / Bakırköy,8+1,90000.0,04,0.0,0.0,0.0,
İstanbul / Bakırköy,9+2,600000.0,04,0.0,0.0,0.0,
İstanbul / Bakırköy,Stüdyo (1+0),22000.0,04,18.91891891891892,54.385964912280706,57.14285714285714,
İstanbul / Bayrampaşa,1+1,26000.0,04,0.0,0.0,2.9702970297029703,
İstanbul / Bayrampaşa,1.5+1,27000.0,04,-17.557251908396946,0.0,,
İstanbul / Bayrampaşa,2+1,33000.0,04,0.0,1.5384615384615385,0.0,
İstanbul / Bayrampaşa,3+1,57000.0,04,-5.0,1.7857142857142856,3.6363636363636362,
İstanbul / Bayrampaşa,3+2,60000.0,04,0.0,0.0,0.0,
İstanbul / Bayrampaşa,4+1,49000.0,04,-2.0,-40.60606060606061,5.376344086021505,
İstanbul / Bayrampaşa,4+2,70000.0,04,0.0,0.0,27.27272727272727,
