Date,Overall_Normal_Daily_Inflation,Overall_Weighted_Daily_Inflation,Overall_Normal_Weekly_Inflation,Overall_Weighted_Weekly_Inflation,Genel_Yapi_Daily_Inflation,Genel_Yapi_Weekly_Inflation
2026-03-19,,,,,,
2026-03-20,0.0,0.0,,,0.0,
2026-03-21,0.0,0.0,,,0.0,
2026-03-22,0.0,0.0,,,0.0,
2026-03-23,0.0003110218363247585,0.0003110218363247585,0.0003114860480207656,0.0003114860480207656,0.0003110218363247585,0.0003114860480207656
2026-03-24,0.0,0.0,0.0003124186409789116,0.0003124186409789116,0.0,0.0003124186409789116
2026-03-25,0.0,0.0,0.0003119516474946382,0.0003119516474946382,0.0,0.0003119516474946382
2026-03-26,0.0,0.0,0.0003124186409789116,0.0003124186409789116,0.0,0.0003124186409789116
2026-03-27,0.0008151236793428847,0.0008151236793428847,0.0011258569057921673,0.0011258569057921673,0.0008151236793428847,0.0011258569057921673
2026-03-28,-0.00012554121261737876,-0.00012554121261737876,0.0008387264869267415,0.0008387264869267415,-0.00012554121261737876,0.0008387264869267415
2026-03-29,0.0,0.0,0.0008387264869267415,0.0008387264869267415,0.0,0.0008387264869267415
2026-03-30,0.0,0.0,0.0005267748394321033,0.0005267748394321033,0.0,0.0005267748394321033
2026-03-31,-0.00034250602620680356,-0.00034250602620680356,0.00018800280565995888,0.00018800280565995888,-0.00034250602620680356,0.00018800280565995888
2026-04-01,-0.0002887989910103856,-0.0002887989910103856,0.0005352636911472641,0.0005352636911472641,-0.0002887989910103856,0.0005352636911472641
2026-04-03,-0.0004070290790967086,-0.0004070290790967086,-0.00012252249110564578,-0.00012252249110564578,-0.0004070290790967086,-0.00012252249110564578
2026-04-04,-0.00014836795252225516,-0.00014836795252225516,4.5358358636046215e-06,4.5358358636046215e-06,-0.00014836795252225516,4.5358358636046215e-06
2026-04-05,0.0,0.0,4.5358358636046215e-06,4.5358358636046215e-06,0.0,4.5358358636046215e-06
2026-04-06,-0.0010283400146653139,-0.0010283400146653139,-0.0008736019829930995,-0.0008736019829930995,-0.0010283400146653139,-0.0008736019829930995
2026-04-07,0.0,0.0,-0.0011673546954556037,-0.0011673546954556037,0.0,-0.0011673546954556037
2026-04-08,0.00026723402505832904,0.00026723402505832904,-0.001157478248770903,-0.001157478248770903,0.00026723402505832904,-0.001157478248770903
2026-04-10,0.0001872518912441016,0.0001872518912441016,-0.0009924728385898637,-0.0009924728385898637,0.0001872518912441016,-0.0009924728385898637
2026-04-11,0.0,0.0,-0.0005764745572071316,-0.0005764745572071316,0.0,-0.0005764745572071316
2026-04-12,0.0,0.0,-0.0005764745572071316,-0.0005764745572071316,0.0,-0.0005764745572071316
2026-04-13,0.0005132889122910479,0.0005132889122910479,0.0007293964793275528,0.0007293964793275528,0.0005132889122910479,0.0007293964793275528
2026-04-14,0.0,0.0,0.0007272353045739896,0.0007272353045739896,0.0,0.0007272353045739896
2026-04-15,0.0,0.0,0.00034397004704138465,0.00034397004704138465,0.0,0.00034397004704138465
2026-04-16,0.0,0.0,0.00034602053912508886,0.00034602053912508886,0.0,0.00034602053912508886
2026-04-17,-0.0013577765959707643,-0.0013577765959707643,0.0005201633173663745,0.0005201633173663745,-0.0013577765959707643,0.0005201633173663745
2026-04-18,0.0,0.0,0.0005209385235025389,0.0005209385235025389,0.0,0.0005209385235025389
2026-04-19,0.0,0.0,0.0005209385235025389,0.0005209385235025389,0.0,0.0005209385235025389
2026-04-20,-0.0007870340191536673,-0.0007870340191536673,0.0,0.0,-0.0007870340191536673,0.0
2026-04-21,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-22,0.0,0.0,-0.00045365239130292883,-0.00045365239130292883,0.0,-0.00045365239130292883
2026-04-23,0.0,0.0,-0.0013678791004050706,-0.0013678791004050706,0.0,-0.0013678791004050706
2026-04-24,0.0,0.0,-0.00043003995436229374,-0.00043003995436229374,0.0,-0.00043003995436229374
2026-04-25,0.00015476059078568607,0.00015476059078568607,-0.0006602547324451298,-0.0006602547324451298,0.00015476059078568607,-0.0006602547324451298
2026-04-26,0.0,0.0,-0.0006602547324451298,-0.0006602547324451298,0.0,-0.0006602547324451298
2026-04-27,0.0,0.0,0.00015683327726942294,0.00015683327726942294,0.0,0.00015683327726942294
2026-04-28,0.0,0.0,0.00015753656550829926,0.00015753656550829926,0.0,0.00015753656550829926
2026-04-29,0.0,0.0,0.00015753656550829926,0.00015753656550829926,0.0,0.00015753656550829926
2026-05-01,-0.0018504149879438327,-0.0018504149879438327,-0.0004958084429573764,-0.0004958084429573764,-0.0018504149879438327,-0.0004958084429573764
2026-05-02,0.0,0.0,-0.0006545607229693849,-0.0006545607229693849,0.0,-0.0006545607229693849
2026-05-03,0.0,0.0,-0.0006535808416475744,-0.0006535808416475744,0.0,-0.0006535808416475744
2026-05-04,0.0,0.0,-0.0006487251147408317,-0.0006487251147408317,0.0,-0.0006487251147408317
2026-05-05,-0.0013127890489947293,-0.0013127890489947293,-0.0018586512564361644,-0.0018586512564361644,-0.0013127890489947293,-0.0018586512564361644
2026-05-07,8.513648648272257e-05,8.513648648272257e-05,-0.0010572522802848195,-0.0010572522802848195,8.513648648272257e-05,-0.0010572522802848195
2026-05-08,0.0,0.0,-0.0005120977769554175,-0.0005120977769554175,0.0,-0.0005120977769554175
2026-05-10,0.0,0.0,-0.0005136241488688465,-0.0005136241488688465,0.0,-0.0005136241488688465
2026-05-11,0.0,0.0,-0.0005136241488688465,-0.0005136241488688465,0.0,-0.0005136241488688465
2026-05-12,-0.0006739298361525996,-0.0006739298361525996,8.495165841275046e-05,8.495165841275046e-05,-0.0006739298361525996,8.495165841275046e-05
2026-05-13,-0.0007662555163963165,-0.0007662555163963165,0.0004112871526220166,0.0004112871526220166,-0.0007662555163963165,0.0004112871526220166
2026-05-14,0.0,0.0,-0.00037256208264935253,-0.00037256208264935253,0.0,-0.00037256208264935253
2026-05-16,0.0,0.0,-0.0003731115842461805,-0.0003731115842461805,0.0,-0.0003731115842461805
2026-05-17,0.0003563798369228616,0.0003563798369228616,9.322558172729243e-06,9.322558172729243e-06,0.0003563798369228616,9.322558172729243e-06
2026-05-18,0.0,0.0,9.364114895638883e-06,9.364114895638883e-06,0.0,9.364114895638883e-06
