id,sku,name,brand,category,regular_price,shown_price,discount_rate,unit,status
20750969,20750969,Voltomat Termostatlı 2500 W 11 Dilim Yağlı Radyatör Beyaz,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,5000.0,5000.0,0,PIECE,IN_SALE
20750783,20750783,Voltomat Termostatlı 2500 W 11 Dilim Yağlı Radyatör Siyah,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,5000.0,5000.0,0,PIECE,IN_SALE
60089933,60089933,Voltomat Termostatlı 1500 W 7 Dilim Yağlı Radyatör Beyaz,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,2500.0,2500.0,0,PIECE,IN_SALE
21301713,21301713,Voltomat Termostatlı 2000 W 9 Dilim Yağlı Radyatör Beyaz,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,1990.0,1990.0,0,PIECE,IN_SALE
20328126,20328126,Voltomat Termostatlı 600 W 5 Dilim Elektrikli Radyatör Beyaz,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,1390.0,1390.0,0,PIECE,IN_SALE
31922982,31922982,Voltomat 2000W Led Alev Efektli Kule Tipi Seramik Fanlı Isıtıcı,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,3490.0,3490.0,0,PIECE,IN_SALE
25379475,25379475,Voltomat 2000W Termostatlı Kule Tipi Seramik Fanlı Isıtıcı,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,5500.0,5500.0,0,PIECE,IN_SALE
61510348,61510348,Philips CX3120/01 3000 Serisi Kompakt Seramik Isıtıcı,Philips,Tüm Isıtma ve Soğutma Ürünleri,5490.0,5490.0,0,PIECE,IN_SALE
31898694,31898694,Voltomat 1500W Termostatlı Seramik Fanlı Isıtıcı,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,1950.0,1950.0,0,PIECE,IN_SALE
61505742,61505742,Luxell KS-2760 Şömine Quartz Elektrikli Şömine,Luxell,Tüm Isıtma ve Soğutma Ürünleri,1990.0,1990.0,0,PIECE,IN_SALE
60487731,60487731,Veito Infrared CH1200LT 1200W Taşınabilir Isıtıcı,Veito,Tüm Isıtma ve Soğutma Ürünleri,3990.0,3990.0,0,PIECE,IN_SALE
61469088,61469088,Goldsun Supra Plus GSS40P 4000W Çift Ampullü Infrared Isıtıcı,Goldsun,Tüm Isıtma ve Soğutma Ürünleri,17850.0,17850.0,0,PIECE,IN_SALE
61496785,61496785,Veito Nevada R2425 2500W Karbon Infrared Isıtıcı,Veito,Tüm Isıtma ve Soğutma Ürünleri,7990.0,7990.0,0,PIECE,IN_SALE
60704944,60704944,Veito Infrared 2500W Blade S Duvar Tipi Isıtıcı Siyah,Veito,Tüm Isıtma ve Soğutma Ürünleri,9990.0,9990.0,0,PIECE,IN_SALE
60688349,60688349,Luxell Orbit MH-1800 Infrared Kule Tipi Isıtıcı,Luxell,Tüm Isıtma ve Soğutma Ürünleri,2890.0,2890.0,0,PIECE,IN_SALE
60367860,60367860,Veito Infrared CH1800XE 1700W Kademeli Isıtıcı,Veito,Tüm Isıtma ve Soğutma Ürünleri,5300.0,5300.0,0,PIECE,IN_SALE
60089960,60089960,Voltomat  2000W Termostatlı Elektrikli Isıtıcı,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,3290.0,3290.0,0,PIECE,IN_SALE
21276741,21276741,Voltomat 2000 W Dikdörtgen Ayaklı Dekoratif Şömine Antrasit,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,10500.0,10500.0,0,PIECE,IN_SALE
61304912,61304912,Dlc Lotus 1500W Ayaklı Dekoratif Şömine Siyah,Dlc,Tüm Isıtma ve Soğutma Ürünleri,15000.0,15000.0,0,PIECE,IN_SALE
61352595,61352595,Dlc 1800W 101cm 3 Renk Plazma Dekoratif Şömine,Dlc,Tüm Isıtma ve Soğutma Ürünleri,12990.0,12990.0,0,PIECE,IN_SALE
61562288,61562288,DLC Flamix Dekoratif Ayaklı Şömine 1950W,Dlc,Tüm Isıtma ve Soğutma Ürünleri,8500.0,8500.0,0,PIECE,IN_SALE
61376179,61376179,Dlc 1800W Retro Beton Desenli Dekoratif Şömine,Dlc,Tüm Isıtma ve Soğutma Ürünleri,38500.0,38500.0,0,PIECE,IN_SALE
61352601,61352601,Dlc 1800W 127cm 3 Renk Plazma Dekoratif Şömine,Dlc,Tüm Isıtma ve Soğutma Ürünleri,22500.0,22500.0,0,PIECE,IN_SALE
61562297,61562297,Dlc Flame Go Ayaklı Şömine 1500W,Dlc,Tüm Isıtma ve Soğutma Ürünleri,4350.0,4350.0,0,PIECE,IN_SALE
61561814,61561814,Dlc 1800W Madera Şömine Wifi EA2215HW,Dlc,Tüm Isıtma ve Soğutma Ürünleri,18000.0,18000.0,0,PIECE,IN_SALE
61551754,61551754,Demirdöküm DT4 Titanium 65L Termosifon,Demirdöküm,Tüm Isıtma ve Soğutma Ürünleri,13890.0,13890.0,0,PIECE,IN_SALE
61539264,61539264,Baymak Aqua X-Led Prizmatik 80L Termosifon,Baymak,Tüm Isıtma ve Soğutma Ürünleri,14099.0,14099.0,0,PIECE,IN_SALE
61539246,61539246,Baymak Aqua X-Led Prizmatik 50L Termosifon,Baymak,Tüm Isıtma ve Soğutma Ürünleri,12890.0,12890.0,0,PIECE,IN_SALE
61579950,61579950,Panasonic LED Tavan Vantilatörü 36W Led + 30W Fan,Panasonic,Tüm Isıtma ve Soğutma Ürünleri,12990.0,12990.0,0,PIECE,IN_SALE
61577051,61577051,Baymak Aqua X-Led Prizmatik 100L Termosifon,Baymak,Tüm Isıtma ve Soğutma Ürünleri,16999.0,16999.0,0,PIECE,IN_SALE
61579084,61579084,Demirdöküm DT4 Titanium 80L Termosifon,Demirdöküm,Tüm Isıtma ve Soğutma Ürünleri,16599.0,16599.0,0,PIECE,IN_SALE
61563528,61563528,Grill Cup Şömine Odunu 15 KG,Grill Cup,Bahçe,399.0,399.0,0,PIECE,IN_SALE
61561780,61561780,Dlc 1800W London Polistone Şömine MM21065,Dlc,Tüm Isıtma ve Soğutma Ürünleri,28500.0,28500.0,0,PIECE,IN_SALE
61517710,61517710,ECA PKKP 2 Radyatör 60x60cm,ECA,Tüm Isıtma ve Soğutma Ürünleri,2550.0,2550.0,0,PIECE,IN_SALE
61551763,61551763,Demirdöküm Ademix 24KW Tam Yoğuşmalı Kombi,Demirdöküm,Tüm Isıtma ve Soğutma Ürünleri,33390.0,33390.0,0,PIECE,IN_SALE
61557220,61557220,Luxell MHR-1800 Çift Flamet 1800 W Kule Tipi Infrared Isıtıcı,Luxell,Tüm Isıtma ve Soğutma Ürünleri,3490.0,3490.0,0,PIECE,IN_SALE
61552100,61552100,Grill Cup Pelet Sobası 50 cm,GrillCup,Bahçe,4990.0,4990.0,0,PIECE,IN_SALE
25387593,25387593,Voltomat Termostatlı 800 W 6 Dilim Yağlı Radyatör Beyaz,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,1650.0,1650.0,0,PIECE,IN_SALE
61552085,61552085,Grill Cup Pelet Sobası 120 cm,Grill Cup,Bahçe,6190.0,6190.0,0,PIECE,IN_SALE
25382206,25382206,Voltomat Cam Konvektör 2000W Beyaz,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,5500.0,5500.0,0,PIECE,IN_SALE
25378065,25378065,Voltomat Cam Konvektör 2000W Siyah,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,5500.0,5500.0,0,PIECE,IN_SALE
61552580,61552580,Luxell Lx-6335T 2000 Watt Termostatlı Fanlı Isıtıcı,Luxell,Tüm Isıtma ve Soğutma Ürünleri,1190.0,1190.0,0,PIECE,IN_SALE
61539255,61539255,Baymak Aqua X-Led Prizmatik 65L Termosifon,Baymak,Tüm Isıtma ve Soğutma Ürünleri,13590.0,13590.0,0,PIECE,IN_SALE
31905901,31905901,Voltomat 2000W Termostatlı Kule Tipi Seramik Fanlı Isıtıcı,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,2950.0,2950.0,0,PIECE,IN_SALE
24633886,24633886,Voltomat 1800W Termostatlı Seramik Fanlı Isıtıcı,Voltomat,Tüm Isıtma ve Soğutma Ürünleri,2250.0,2250.0,0,PIECE,IN_SALE
61550450,61550450,Dlc Irony 1800W Dekoratif Şömine Koyu Gri,Dlc,Tüm Isıtma ve Soğutma Ürünleri,31500.0,31500.0,0,PIECE,IN_SALE
61550441,61550441,Dlc Seratonya 1800W Doğaltaş Dekoratif Şömine Kahverengi,Dlc,Tüm Isıtma ve Soğutma Ürünleri,37000.0,37000.0,0,PIECE,IN_SALE
61440728,61440728,Dlc Nem Alma Cihazı Yedek Filtre 22 Litre,,Tüm Isıtma ve Soğutma Ürünleri,690.0,690.0,0,PIECE,IN_SALE
61440719,61440719,Dlc Nem Alma Cihazı Yedek Filtre 12L,Dlc,Tüm Isıtma ve Soğutma Ürünleri,690.0,690.0,0,PIECE,IN_SALE
61540071,61540071,Veito Glow Ani Su Isıtıcı 7-8.3kw,Veito,Tüm Isıtma ve Soğutma Ürünleri,3490.0,3490.0,0,PIECE,IN_SALE
61540600,61540600,Osram Ceiling Blade Fan 18W 3 Kanatlı Siyah Kumandalı Tavan Vantilatörü,Ledvance,Tüm Isıtma ve Soğutma Ürünleri,15950.0,15950.0,0,PIECE,IN_SALE
61540594,61540594,Osram Ceiling Blade Fan 18W 3 Kanatlı Beyaz Kumandalı Tavan Vantilatörü,Ledvance,Tüm Isıtma ve Soğutma Ürünleri,15950.0,15950.0,0,PIECE,IN_SALE
