product_name,price (TL)
Eurofresh Yıkanmış Hazır Kök Ispanak 500 g,149.9
Aressa Zencefil Püresi 80 g,109.9
Aressa Sarımsak Püresi 100 g,64.95
Erüst Mini Ispanak 150 g Adet,159.9
Paket Ispanak 700 g,135.9
Banvit Bonfile Göğüs Kg,242.0
Banvit Piliç Baget Kg,109.9
Lezita Tabaklı Fileto Kg,219.9
Banvit Piliç Pirzola Kg,161.0
Lezita Tabaklı Baget Kg,109.9
Banvit Tabaklı Ciğer Kg,69.9
Lezita Tabaklı But Izgara Derisiz Kg,207.9
Banvit Poşetli Bütün Piliç Kg,119.9
Banvit Tabaklı Piliç Izgara Kanat Kg,271.05
Lezita Derili Tabaklı But Pirzola Kg,145.9
Lezita Taze Poşetli Bütün Piliç Kg,119.9
Lezita Tabaklı Kalçalı But Kg,103.9
Banvit Tabaklı Piliç Sarma Küçük Tabak Kg,124.9
Banvit İftarlık İri Piliç Kg,98.9
Banvit Piliç Kök Kanat Kg,141.0
Lezita Tabaklı Ciğer,67.9
Banvit Izgara Tava Kg,333.0
Lezita Piliç Yaprak Döner 200 Gr,91.9
Lezita Tabaklı Kök Kanat,149.9
Lezita Nugget 300 Gr,69.9
Erpiliç Tabaklı Baget Kg,109.9
Lezita Tabaklı Bonfile Kg,234.9
Lezita Çıtır Kova Piliç Parçaları Donuk 850 G,249.9
Lezita Izgara Dilimli Piliç Fileto 120 G,47.9
Erpiliç Poşetli Bütün Piliç,126.9
Erpiliç Tabaklı Bonfile Kg,263.9
Banvit Bütün Piliç XL Kg,119.9
Lezita Çıtır Kıtır Piliç Fileto 270 G,79.9
Banvit Piliç Nuget 300 Gr,65.9
Beypiliç Poşetli Bütün Piliç Kg,125.9
Beypiliç Tabaklı Bonfile,274.9
Lezita Kasap Köfte 300 Gr,69.9
Bolca Hindi Osso Bucco kg,219.0
Erpiliç Tabaklı Sarma,124.9
Lezita Piliç Nugget 700 Gr,132.9
Lezita Cordonbleu 300 Gr,83.9
