Date,Overall_Normal_Daily_Inflation,Overall_Weighted_Daily_Inflation,Overall_Normal_Weekly_Inflation,Overall_Weighted_Weekly_Inflation,Genel_Clothing_Daily_Inflation,Genel_Clothing_Weekly_Inflation
2026-03-08,,,,,,
2026-03-09,0.000752739178231679,0.000752739178231679,,,0.000752739178231679,
2026-03-10,-0.002241257886014249,-0.002241257886014249,,,-0.002241257886014249,
2026-03-11,0.00427400828401696,0.00427400828401696,,,0.00427400828401696,
2026-03-12,-2.4280057332927778e-05,-2.4280057332927778e-05,0.0026995350673386202,0.0026995350673386202,-2.4280057332927778e-05,0.0026995350673386202
2026-03-13,5.965575224037605e-05,5.965575224037605e-05,0.0024840658276022278,0.0024840658276022278,5.965575224037605e-05,0.0024840658276022278
2026-03-14,0.0001095858828409697,0.0001095858828409697,0.002592130501932922,0.002592130501932922,0.0001095858828409697,0.002592130501932922
2026-03-15,4.022475849029088e-05,4.022475849029088e-05,0.00267224068509882,0.00267224068509882,4.022475849029088e-05,0.00267224068509882
2026-03-16,0.00015936550010754724,0.00015936550010754724,0.0022925993613863755,0.0022925993613863755,0.00015936550010754724,0.0022925993613863755
2026-03-17,0.00038658868525249065,0.00038658868525249065,0.004755998520481564,0.004755998520481564,0.00038658868525249065,0.004755998520481564
2026-03-18,0.00016656207950040727,0.00016656207950040727,0.0008684559642852911,0.0008684559642852911,0.00016656207950040727,0.0008684559642852911
2026-03-19,-0.003402194142292135,-0.003402194142292135,-0.0026629150104051113,-0.0026629150104051113,-0.003402194142292135,-0.0026629150104051113
2026-03-20,0.00017901411658886467,0.00017901411658886467,0.000929375002937154,0.000929375002937154,0.00017901411658886467,0.000929375002937154
2026-03-21,-1.6529536711797995e-05,-1.6529536711797995e-05,0.0008034011521303292,0.0008034011521303292,-1.6529536711797995e-05,0.0008034011521303292
2026-03-22,0.0,0.0,0.0007049311498914188,0.0007049311498914188,0.0,0.0007049311498914188
2026-03-23,-0.003198532178448877,-0.003198532178448877,-0.0023775806144930266,-0.0023775806144930266,-0.003198532178448877,-0.0023775806144930266
2026-03-24,0.001414315137065717,0.001414315137065717,0.001750949802043794,0.001750949802043794,0.001414315137065717,0.001750949802043794
2026-03-25,-0.0008660645717126749,-0.0008660645717126749,0.0007061299473240544,0.0007061299473240544,-0.0008660645717126749,0.0007061299473240544
2026-03-26,0.010353216645949096,0.010353216645949096,0.011988949664873955,0.011988949664873955,0.010353216645949096,0.011988949664873955
2026-03-27,-0.005466192876578577,-0.005466192876578577,0.006231090813558446,0.006231090813558446,-0.005466192876578577,0.006231090813558446
2026-03-28,0.0,0.0,0.006277214060264239,0.006277214060264239,0.0,0.006277214060264239
2026-03-29,0.0,0.0,0.0063508774459638,0.0063508774459638,0.0,0.0063508774459638
2026-03-30,0.0,0.0,0.006192067342671806,0.006192067342671806,0.0,0.006192067342671806
2026-03-31,-0.0014655399951372437,-0.0014655399951372437,0.0030296416916127736,0.0030296416916127736,-0.0014655399951372437,0.0030296416916127736
2026-04-01,-0.00035275931284740577,-0.00035275931284740577,0.00021361363616224756,0.00021361363616224756,-0.00035275931284740577,0.00021361363616224756
2026-04-03,-0.004167987257155633,-0.004167987257155633,-0.004865876997089445,-0.004865876997089445,-0.004167987257155633,-0.004865876997089445
2026-04-04,-0.0032984822917226865,-0.0032984822917226865,-0.004961809082786768,-0.004961809082786768,-0.0032984822917226865,-0.004961809082786768
2026-04-05,0.0,0.0,-0.004961809082786768,-0.004961809082786768,0.0,-0.004961809082786768
2026-04-06,-0.005600519358949849,-0.005600519358949849,-0.011065291063665345,-0.011065291063665345,-0.005600519358949849,-0.011065291063665345
2026-04-07,-0.0007883371808535687,-0.0007883371808535687,-0.0017419644156613818,-0.0017419644156613818,-0.0007883371808535687,-0.0017419644156613818
2026-04-08,-0.004256596163399258,-0.004256596163399258,-0.013801353586002173,-0.013801353586002173,-0.004256596163399258,-0.013801353586002173
2026-04-10,-0.0006637401915575658,-0.0006637401915575658,-0.008056122763004374,-0.008056122763004374,-0.0006637401915575658,-0.008056122763004374
2026-04-11,-0.0002719220398945136,-0.0002719220398945136,-0.01488022647647413,-0.01488022647647413,-0.0002719220398945136,-0.01488022647647413
2026-04-12,-0.002103355130527305,-0.002103355130527305,-0.013810819642618448,-0.013810819642618448,-0.002103355130527305,-0.013810819642618448
2026-04-13,-0.002898855356644804,-0.002898855356644804,-0.015838282004825677,-0.015838282004825677,-0.002898855356644804,-0.015838282004825677
2026-04-14,0.0,0.0,0.0001184750674823478,0.0001184750674823478,0.0,0.0001184750674823478
2026-04-15,-0.0029122483600005434,-0.0029122483600005434,-0.0036439702331368716,-0.0036439702331368716,-0.0029122483600005434,-0.0036439702331368716
2026-04-16,0.003929666507056684,0.003929666507056684,0.008237501228088459,0.008237501228088459,0.003929666507056684,0.008237501228088459
2026-04-17,-0.007536828760142461,-0.007536828760142461,-0.009115061515836262,-0.009115061515836262,-0.007536828760142461,-0.009115061515836262
2026-04-18,-0.00010228411335687541,-0.00010228411335687541,-0.0019826878428827847,-0.0019826878428827847,-0.00010228411335687541,-0.0019826878428827847
2026-04-19,0.0001887033649252314,0.0001887033649252314,-0.0019791932431329155,-0.0019791932431329155,0.0001887033649252314,-0.0019791932431329155
2026-04-20,-0.0007411701688671905,-0.0007411701688671905,-0.00573173727512018,-0.00573173727512018,-0.0007411701688671905,-0.00573173727512018
2026-04-21,-0.0025438436987255727,-0.0025438436987255727,-0.002882951839767362,-0.002882951839767362,-0.0025438436987255727,-0.002882951839767362
2026-04-22,0.0,0.0,-0.005655933597415891,-0.005655933597415891,0.0,-0.005655933597415891
2026-04-23,0.0005104113403742402,0.0005104113403742402,-0.008911988539954788,-0.008911988539954788,0.0005104113403742402,-0.008911988539954788
2026-04-24,0.0,0.0,-0.0011301678303712668,-0.0011301678303712668,0.0,-0.0011301678303712668
2026-04-25,-0.0015147219983515064,-0.0015147219983515064,-0.0058131350958219,-0.0058131350958219,-0.0015147219983515064,-0.0058131350958219
2026-04-26,0.0005598547554437253,0.0005598547554437253,-0.003758927505724109,-0.003758927505724109,0.0005598547554437253,-0.003758927505724109
2026-04-27,-0.0014341099127323602,-0.0014341099127323602,-0.002195399975514579,-0.002195399975514579,-0.0014341099127323602,-0.002195399975514579
2026-04-28,-0.03199973019545215,-0.03199973019545215,-0.027720237484033773,-0.027720237484033773,-0.03199973019545215,-0.027720237484033773
2026-04-29,0.0,0.0,-0.027720237484033773,-0.027720237484033773,0.0,-0.027720237484033773
2026-05-01,0.000737199541521347,0.000737199541521347,-0.03376922006820822,-0.03376922006820822,0.000737199541521347,-0.03376922006820822
2026-05-02,9.15960874584663e-05,9.15960874584663e-05,-0.018537887319502504,-0.018537887319502504,9.15960874584663e-05,-0.018537887319502504
2026-05-03,-4.279586104265497e-05,-4.279586104265497e-05,-0.025102753664557848,-0.025102753664557848,-4.279586104265497e-05,-0.025102753664557848
2026-05-04,-1.784430139316886e-05,-1.784430139316886e-05,-0.02948034918059591,-0.02948034918059591,-1.784430139316886e-05,-0.02948034918059591
2026-05-05,-5.421102664869562e-05,-5.421102664869562e-05,0.0007295352343702668,0.0007295352343702668,-5.421102664869562e-05,0.0007295352343702668
2026-05-07,0.007470632681964493,0.007470632681964493,0.007706339802134921,0.007706339802134921,0.007470632681964493,0.007706339802134921
2026-05-08,0.0,0.0,0.007327886638306183,0.007327886638306183,0.0,0.007327886638306183
2026-05-10,9.475023452934836e-05,9.475023452934836e-05,0.007509428875152876,0.007509428875152876,9.475023452934836e-05,0.007509428875152876
2026-05-11,0.0,0.0,0.0074678593717886375,0.0074678593717886375,0.0,0.0074678593717886375
2026-05-12,-0.02049379937136439,-0.02049379937136439,-0.013731541720814042,-0.013731541720814042,-0.02049379937136439,-0.013731541720814042
2026-05-13,-0.0022823525752391797,-0.0022823525752391797,-0.014189164151028466,-0.014189164151028466,-0.0022823525752391797,-0.014189164151028466
2026-05-14,0.0,0.0,-0.02132606242556779,-0.02132606242556779,0.0,-0.02132606242556779
2026-05-16,-0.00017092586326865168,-0.00017092586326865168,-0.02117770028395889,-0.02117770028395889,-0.00017092586326865168,-0.02117770028395889
2026-05-17,0.00019168923174031743,0.00019168923174031743,-0.020544118941384207,-0.020544118941384207,0.00019168923174031743,-0.020544118941384207
2026-05-18,0.030537235412629607,0.030537235412629607,0.011429625154681695,0.011429625154681695,0.030537235412629607,0.011429625154681695
2026-05-19,0.0,0.0,0.029227904938443926,0.029227904938443926,0.0,0.029227904938443926
2026-05-21,-0.0015068014910906158,-0.0015068014910906158,0.029891838772980437,0.029891838772980437,-0.0015068014910906158,0.029891838772980437
2026-05-22,-0.001963326384153942,-0.001963326384153942,0.027685488273588257,0.027685488273588257,-0.001963326384153942,0.027685488273588257
2026-05-23,-0.0010381049706145592,-0.0010381049706145592,0.02673254020309342,0.02673254020309342,-0.0010381049706145592,0.02673254020309342
2026-05-24,0.0001969538097911664,0.0001969538097911664,0.02682104643442658,0.02682104643442658,0.0001969538097911664,0.02682104643442658
