isim,fiyat
Konyalı Ahmet Usta Menü Fiyatları 2026 – Etli Ekmek - Pide ve Konya Mutfağı Spesiyalleri Mayıs 28,2026
İnce hamur - kıyma - domates - biber ve kaşar/tulum peyniri,690
Çok ince hamur - kıyma harcı - kenarsız uzun pide,670
Kuşbaşı dana eti - soğan - biber. (Genellikle Etli Ekmek hamurunda),700
Kıymalı harç - peynir ve sucuk/pastırma ilaveli,780
Yöresel peynirler - tereyağı ile,650
Kendi yağında pişmiş kavurma ve kaşar peyniri,820
İncecik hamur - kıymalı harç,320
Taş fırında pişmiş kemiği ayrılmış kuzu eti (Kilo/Porsiyon),1800
Küçük bamyalı - ekşili - Konya’nın geleneksel çorbası,450
Taze nane ve yoğurtla,380
Kuşbaşı et - domates ve biberle saçta pişirilmiş,750
Izgara köfte - pilav eşliğinde,680
Mevlana Pide menü fiyatları,2026
🥩 Peçenek Döner Porsiyon ve Servis Fiyatları,2026
Porsiyon Döner (Standart) 110-120 gr Yaprak Et,580
1.5 Porsiyon Döner 165-180 gr Yaprak Et,850
Duble Döner (2 Porsiyon) 220-240 gr Yaprak Et,1100
Pilav Üstü Döner Tereyağlı pilav ve 110 gr et,620
Çocuk Porsiyon 70-80 gr Yaprak Et,420
Ekmek Arası Döner (90 gr Et),460
Dürüm Döner (100 gr Et),490
Gobit Arası Döner,480
Kilo ile Pişmiş Döner 1 Kilogram (Sadece Et),5200
Yayık Ayranı Büyük Boy Bardak,80
Mercimek Çorbası Kase,120
Fırın Sütlaç Porsiyon,190
Kadayıf Tatlısı Porsiyon,220
Su / Kutu İçecekler Standart,30
Su / Kutu İçecekler Standart –,75
Güzelyalı Sosyal Tesisleri Menü Fiyatları 2026 – Pendik Sahil Keyfi Mayıs 31,2026
Cookshop Menü Fiyatları 2026 – Magnolia’nın Mucidi ve Lezzet Durağı Aralık 10,2025
Kırçiçeği Menü Fiyatları 2026 – Ege’nin Lezzet Çiçeği Mayıs 31,2026
Sıralı Kebap Menü Fiyatları 2026 – Kebabın Modern Yüzü Aralık 10,2025
110-120 gr Yaprak Et,580
165-180 gr Yaprak Et,850
220-240 gr Yaprak Et,1100
Tereyağlı pilav ve 110 gr et,620
70-80 gr Yaprak Et,420
1 Kilogram (Sadece Et),5200
Büyük Boy Bardak,80
Kase,120
Porsiyon,190
Porsiyon,220
Standart,30
Standart,75
Peçenek Döner menü fiyatları,2026
Hot Döner Tavuk Döner Fiyatları,2026
Tavuk Eko Dürüm 50 gr tavuk - patates - turşu - mayonez,190
Tavuk Midi Dürüm 70 gr tavuk - klasik doyurucu boy,220
Tavuk Jumbo Dürüm 90 gr tavuk - 1.5 lavaş ekmeğine sarılı,260
Tavuk Maxi Dürüm (45 cm) 100 gr tavuk - çift lavaş - dev boy,290
Tombik Ekmek Tavuk Puf ekmek arası soslu döner,210
Yarım Ekmek Tavuk Klasik yarım ekmek arası,190
Hot Taco (Tavuk) Tortilla ekmeği - kaşar - karamelize soğan,230
Porsiyon Tavuk Döner Tabakta pilav ve patates eşliğinde,320
Pilav Üstü Tavuk Tereyağlı pilav üzerinde,350
Et Eko Dürüm,270
Et Midi Dürüm,330
Et Jumbo Dürüm,420
Et Maxi Dürüm (45 cm),480
Tombik Ekmek Et Döner,270
Hot Taco (Et),310
Porsiyon Et Döner,550
İskender (Hot Usulü),620
Tavuk Eko Menü,360
Tavuk Midi Menü,390
Tavuk Maxi Menü,460
Et Midi Menü,480
3’lü Tavuk Maxi Menü (Grup),930
5’li Tavuk Midi Menü,1200
Patates Kızartması (Kova/Porsiyon),90
