isim,fiyat
Kuzu Küşleme –,177
Kuzu Pirzola –,126
Kuzu Çöp Şiş –,113
Kuzu Kaburga –,114
Karışık Izgara –,165
Piliç Adana –,980
Piliç Şiş –,964
Piliç Kanat –,980
Piliç Çöp Şiş –,964
Kasap Köfte –,962
Döner –,104
Beğendili Kebap –,144
Sosyete Kebabı –,166
Altı Ezmeli Kebap –,127
Ali Nazik Kebap –,127
Yoğurtlu Kebap –,115
Abugannuş –,127
Halen İşi –,115
Mantarlı Şiş –,148
Patlıcan Kebap –,122
Domatesli Kebap –,115
Şaşlık 220 gr –,143
Havuç Dilim Baklava –,525
Antep Katmer Tatlısı –,106
Antep Katmer Tatlısı Büyük –,134
Künefe –,582
Kadayıf –,515
Ayva Tatlısı –,440
Kabak Tatlısı –,498
Sütlaç –,442
Emirgan Sütiş Menü Fiyatları – Yeni Fiyat Listesi,2026
Nükteli Menü Fiyatları – Yeni Fiyat Listesi,2026
Makarnam Menü Fiyatları – Yeni Fiyat Listesi,2026
Dürümcü Sedat Usta Menü Fiyatları – Yeni Fiyat Listesi,2026
360 Kule Restoran Menü Fiyatları – Yeni Fiyat Listesi,2026
Luco Restoran Menü Fiyatları – Yeni Fiyat Listesi,2026
Haberler Restoranlar Merkez Restoranlar Blues Restoran Menü Fiyatları – Yeni Fiyat Listesi,2026
Blues Restoran Menü Fiyatları – Yeni Fiyat Listesi,2026
Serpme Türk Kahvaltısı (1 kişi),710
Hızlı Kahvaltı (1 kişi),590
İngiliz Kahvaltısı (1 kişi),690
Menemen,390
Sahanda Yumurta (Sade),290
Sahanda Yumurta (Sucuklu),390
Sahanda Yumurta (Pastırmalı),430
Egg Norwegian,520
Püre Avokadolu Poşe Yumurta,450
Bacon & Eggs on Toast,450
Sade,300
Peynirli,350
Karışık Sebzeli,350
Müsli (Sade),350
Müsli (Meyveli Yoğurtlu),410
Meyve Salatası,320
Yoğurtlu Meyve Salatası,350
Pankek,450
Kruvasan (Sade),200
Kruvasan (Çikolatalı),240
Kaşarlı,320
Beyaz Peynirli,320
Sucuklu,420
Pastırmalı,450
Otlu Peynirli Gözleme,330
Kıymalı Gözleme,380
Günün Çorbası,295
Balık Çorbası,430
Soğuk Meze Tabağı,770
Peynir Tabağı,770
Şarküteri Tabağı,840
Atıştırma Sepeti,510
Fesleğenli Domatesli Bruschetta,350
Avokadolu Bruschetta,400
Ezine Peyniri & Kavun,430
Sade,350
Karamelize Soğanlı,400
Kuzu Etli,450
Sigara Böreği,350
Sebzeli Çin Böreği,390
Izgara Hellim Peyniri,390
Louisiana Tavuk Kanat,460
Çıtır Parmak Tavuk,490
Kalamar Tava,690
Izgara Ahtapot Bacağı,890
Karides Güveç,790
Tempura Karides,790
Patates Tava,325
Fırın Patates,325
Firik Pilavı,325
Coleslaw,325
Dana Burger,520
Amerikan Cheddar Peynirli Burger,575
Blues Burger,680
Bacon & Amerikan Cheddar’lı Burger,680
Çıtır Tavuklu Burger,550
Tavuk Izgara Burger,550
Vegan Burger,400
Margherita,480
Sarımsaklı Pizza,480
Amerikan Pizza,550
Acılı Amerikan Pizza,580
Dört Peynirli Pizza,550
Blues Spesiyal Pizza,620
Deniz Ürünlü Pizza,720
Braseola Pizza,720
Barbekü Tavuklu Pizza,550
Tatlı-Acı Tavuklu Pizza,550
Bolonez Pizza,580
Ton Balıklı Pizza,550
Mantarlı Pizza,550
Sebzeli Pizza,550
Kenar Peynir Dolgulu (Stuffed Crust Cheese),150
Sebzeler,100
Et,150
Vegan Margarita,620
Vegan Sebze Bahçesi,680
Vegan Mantarlı Pizza,720
Napoliten Soslu Penne,550
Spagetti Bolonez,680
Penne Bolonez,680
Karbonara Soslu Tagliatelle,680
Etli Tagliatelle,680
Mantarlı Tagliatelle,580
Tavuk & Mantarlı Tagliatelle,660
Tavuklu Tagliatelle,660
Deniz Mahsullü Spagetti,720
Bahçe Salata,490
Cevizli Tulum Peynirli Salata,490
Roka Salata,470
Sezar Salata,490
Tavuklu Sezar Salata,550
Izgara Hellim Peynirli Salata,550
Çoban Salata,490
Yunan Salatası,520
Izgara Tavuk Salata,550
Levrek Salata,720
Ton Balıklı Salata,520
Kinoa Salata,520
Tavuk Dürüm,470
Köfteli Dürüm,470
Sebzeli Dürüm,400
Çin Usulü Noodle – Tavuk,580
Çin Usulü Noodle – Et,720
Çin Usulü Noodle – Karides,780
Çin Usulü Noodle – Sebzeli,550
Hint Usulü Tavuk Köri,690
Meksika Usulü Fajita – Tavuk,670
Meksika Usulü Fajita – Et,880
Meksika Usulü Quesadilla – Sebzeli,420
Meksika Usulü Quesadilla – Tavuklu,460
Meksika Usulü Quesadilla – Ton Balıklı,460
San Sebastian Cheesecake,350
Lotus Biscoff Cheesecake,350
Orman Meyveli Kurabiyeli Cheesecake,350
Brownie,350
Sütlaç,350
Çikolata Mus,350
Panna Cotta,350
Dondurma (1 Top),100
Meyve Tabağı (2 kişilik),450
Kids Burger,390
Köfte,390
Parmak Tavuk,390
Spagetti Bolonez,390
Limonata,160
Ayran,130
Milkshake,160
Taze Portakal Suyu,160
Vişne Suyu,130
Elma Suyu,130
Şeftali Suyu,130
Blues Bonfile Kavurma,990
Blues Yoğurtlu Bonfile Kebap,990
Blues Yoğurtlu Köfte Kebap,780
Blues Yoğurtlu Tavuk Kebap,780
Blues Kuzu Lokum Güveç,990
Izgara Köfte,720
Izgara Bonfile,1000
Izgara Bonfile (Soslu),1150
Izgara Antrikot,1000
Izgara Antrikot (Soslu),1150
Kuzu Pirzola,1200
Karışık Izgara Tabağı (2–3 kişilik),2900
Izgara Tavuk Şiş,670
Izgara Tavuk Göğsü,670
Tavuk Schnitzel,670
Meksika Usulü Tavuk,690
Teriyaki Soslu Tavuk,690
Izgara Levrek Fileto,880
Izgara Bütün Levrek,830
Izgara Somon,780
Izgara Bütün Çipura,830
Sıcak Deniz Ürünleri Tabağı,2900
Tavuk Baget Sandviç,450
Füme Etli Sandviç,510
Barnathan İstanbul Menü Fiyatları – Yeni Fiyat Listesi,2026
Tatar Salim Menü Fiyatları – Yeni Fiyat Listesi,2026
Parlak Restaurant Menü Fiyatları – Yeni Fiyat Listesi,2026
Balıkçı Kahraman Menü Fiyatları – Yeni Fiyat Listesi,2026
Haberler Restoranlar Merkez Restoranlar Sıralı Kebap Menü Fiyatları – Yeni Fiyat Listesi,2026
Sıralı Kebap Menü Fiyatları – Yeni Fiyat Listesi,2026
Çıtır Sodalı Kabak –,472
Yoğurtlu Sıcak Fellah –,414
Hellumi –,412
Hatay Kırma Zeytin Piyazı –,378
Yabani –,442
Patlıcan Carpaccio –,452
Karataş –,464
Deniz Börülcesi –,318
Babagannuş Salatası (Lübnan) –,438
Fatteh (Lübnan) –,378
Cillop –,415
Hardallı Avokado –,418
Kavun & Peynir –,415
Bezirgani –,396
Van Cacığı –,368
Zaatar (Lübnan) –,432
Antibiyotik –,415
Patlıcan Mutabbel –,394
Közlenmiş Patlıcan Salatası –,358
Pancar Mutabbel –,352
Denizli Kale Biberi –,438
Köz Patlıcanlı Girit –,482
Acılı Ezme –,372
Kıtır Badem & Havuç –,426
Köz Patlıcanlı Acı Nazik –,368
Karışık Beyoğlu Turşusu –,342
Muhammara –,396
Fava –,338
Acı & Tatlı Tavuk –,382
Şakşuka –,348
Kavun Dilim –,242
Avokado Söğüş –,408
Humus (Lübnan) –,394
Haydari –,344
Süzme Yoğurt –,292
Midyat Acur Turşusu –,378
Bamya Tempura –,372
Günün Çorbası –,245
Mercimek Çorbası –,190
Düğün Çorbası –,340
Güveçte Antep Peyniri –,415
Erzincan Tulum & Ceviz –,435
Dilim Ezine Peynir –,155
Sahanda Fırınlanmış Keçi Peyniri –,395
Lübnan Patatesi –,445
Mersin Patatesi –,420
Kıtır Soslu Patates –,425
Kıtır Kuyruk Soğan & Sarımsak –,365
Kıtır Pöç Mantar –,435
İçli Köfte (Kızartma) –,195
Tereyağlı Yaprak Ciğer Tava –,925
Taş Fırında Erzincan Tulum Peynirli Tereyağlı Patlıcan –,470
Tereyağında Sote Kıymalı Patlıcan Söğürme –,515
İçli Köfte (Soslu Haşlama) –,210
Kuzu Etli Lahana Sarma –,365
Tereyağlı Köz Patlıcan Söğürme –,415
Çiğ Köfte –,495
Dana Kaburga Lokma –,345
Tereyağında İstiridye Mantarı –,565
Fırında Kaşarlı Mantar Dolma –,475
Dört Peynirli Sigara Böreği –,380
Karamelize Soğanlı Çıtır Yaprak Ciğer –,970
Kayseri Pastırmalı & Kavrulmuş Susamlı Sıcak Humus –,660
Paçanga Topları –,460
Etli & Sumak Ekşili Kuru Patlıcan Dolma –,190
Altı Cacıklı Arap Köfte –,615
Kuzu Kaburga Kokoreç –,920
Vişneli Yaprak Sarma –,360
Zeytinyağlı Bal Kabağı Sarma –,415
Hamburger (140gr) –,730
Köfte & Patates –,720
Sosis & Patates –,430
Karışık Pizza –,720
Margarita Pizza –,580
Zırh Kıyma (Acılı/Acısız) 200 gr –,870
Sebzeli Beyti Kebap (Acılı/Acısız) 200 gr –,870
Domatesli Kebap 200 gr –,950
Mantarlı Kebap 200 gr –,950
Tavuk Şiş 240 gr –,800
Tavuk Kanat 300 gr –,860
Çıtır Tavuk Kanat –,860
Balkabağı Brule –,445
Cennet Çamuru (Kaymaklı) –,865
