Date,Overall_Normal_Daily_Inflation,Overall_Weighted_Daily_Inflation,Overall_Normal_Weekly_Inflation,Overall_Weighted_Weekly_Inflation,aksesuar_Daily_Inflation,aksesuar_Weekly_Inflation,atlet_Daily_Inflation,atlet_Weekly_Inflation,ayakkabi_Daily_Inflation,ayakkabi_Weekly_Inflation,bluz_Daily_Inflation,bluz_Weekly_Inflation,canta_Daily_Inflation,canta_Weekly_Inflation,ceket_Daily_Inflation,ceket_Weekly_Inflation,dis-giyim_Daily_Inflation,dis-giyim_Weekly_Inflation,elbise_Daily_Inflation,elbise_Weekly_Inflation,etek_Daily_Inflation,etek_Weekly_Inflation,gomlek_Daily_Inflation,gomlek_Weekly_Inflation,hirka_Daily_Inflation,hirka_Weekly_Inflation,kazak_Daily_Inflation,kazak_Weekly_Inflation,pantolon_Daily_Inflation,pantolon_Weekly_Inflation,sort_Daily_Inflation,sort_Weekly_Inflation,sweatshirt_Daily_Inflation,sweatshirt_Weekly_Inflation,tisort_Daily_Inflation,tisort_Weekly_Inflation,tulum_Daily_Inflation,tulum_Weekly_Inflation,yelek_Daily_Inflation,yelek_Weekly_Inflation
2026-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-09,0.0024808415957076058,0.0004979211607127887,,,0.02798929850932841,,0.0,,0.008799867985714194,,0.0029728358424354617,,0.0,,-0.00268759474536151,,0.004061784618184072,,-0.0008220364974347305,,-0.0043365398220613915,,-0.003999361196986628,,-0.007843332450958473,,-0.004819669826946704,,0.0007318691315532089,,0.0,,0.0,,0.0,,0.0,,0.013861015374635466,
2026-03-10,-0.00826542109065509,-0.004075501143744886,,,-0.014424891200429113,,0.0,,-0.008723105806194287,,0.003964268361025924,,-0.0060958959431931525,,-0.013590550622311293,,-0.006827766973286131,,-9.016579610854336e-05,,0.004355427306016013,,-0.006869411967258654,,0.007905336634318028,,-0.04398460040288921,,-0.006426873586288684,,0.0,,0.0,,0.0,,-0.026786120860763152,,-0.009639002949339504,
2026-03-11,0.001494530236731073,-0.002690044476546083,,,-0.03451096811425758,,0.0,,0.024644258131558017,,0.0002054874115435812,,-0.0006322141141028581,,0.011990058480194632,,0.0064673894750955085,,-0.003969949541777096,,0.0,,0.01956436967616182,,-0.010055554424305613,,-0.00577578543446422,,-0.009885193642825807,,0.0,,0.0,,0.0,,0.005096919452464599,,0.0,
2026-03-12,0.00816188254436545,0.008921329229576891,,,0.003141309952088278,,0.0,,-0.0028896687701639445,,0.013774482454011139,,0.005838859761070125,,-0.0072701276626288,,-0.011364901318661746,,0.011670516858315105,,-0.00163130697586511,,0.029330293915389216,,0.04516932762543591,,0.007932429616658743,,0.022141536007819873,,0.07964390188800974,,0.0,,0.0,,0.0,,0.018872280054450075,
2026-03-13,-3.760797215790479e-05,-0.008531352305229167,,,0.003332576270553833,,0.0,,0.0017556404778360513,,0.0019233947724686118,,-0.0018338891645721667,,0.0021117617257009336,,0.011425657834140734,,-0.015646471670563655,,0.003521669165362562,,-0.013486362232860816,,0.0016831975430777746,,-0.0027293058937779557,,-0.00831802020117045,,0.006284613861049948,,0.0,,0.0,,0.0,,0.006774111814761952,
2026-03-14,0.0046784142564777476,0.005073180574381775,,,8.148937916652166e-05,,0.0,,0.008558352277085568,,0.0049089991799111665,,0.01578762310820192,,-0.0038314756104546044,,0.0,,0.006011073341938511,,-0.01582458772156292,,0.004298055308582738,,0.008538091896550304,,0.0027367753909826043,,0.0043741257492087016,,0.009514421960808095,,0.0,,0.022884198518133836,,0.0,,0.022369901257479174,
2026-03-15,0.005872241325042049,0.005690160899205932,0.014387652179177257,0.004779891982803708,0.0051142059232212045,-0.010345751604172171,0.0,0.0,0.0,0.032236361743108066,0.00548745588400501,0.03365575105250551,0.0,0.012987247153743997,0.009489010556729127,-0.004029782265747017,0.006416653663962935,0.0100259240575431,0.004784154107388083,0.001709661939463425,0.025393682705182163,0.011069144448530022,2.6263009627269795e-05,0.028519430161755732,0.0,0.045249994909375646,9.37323576035709e-05,-0.04649465483150672,0.019495189487197973,0.0218032443889693,0.0,0.09676579130167728,0.0,0.0,0.0,0.022884198518133836,0.02231271945700586,0.0,-0.006608892831405089,0.04604908022447529
2026-03-16,-0.05345859571286249,-0.05049220754285311,-0.04221619711268698,-0.046428466302958715,-0.04171211642793571,-0.07744791065572187,0.0,0.0,-0.05038823607346665,-0.028326803589687866,-0.03825676372894249,-0.008835143204616536,-0.06667615152555817,-0.05455484403093702,-0.06414102168036817,-0.06540050490239879,-0.06861994295053075,-0.06308753387334098,-0.03892196352415822,-0.036486801969800475,-0.04952190019429614,-0.03481535918183243,-0.05453256199743983,-0.023663647706541835,-0.06866165694975024,-0.018822903506757416,-0.1422463098412401,-0.17816630453080173,-0.053899656974704224,-0.033978601221421934,-0.00688731796818598,0.08921201656035338,0.0,0.0,-0.03986731031566659,-0.01789544324118042,-0.04464353476793825,-0.04464353476793825,-0.06468857447661525,-0.034994302418607126
2026-03-18,0.020070186323421613,0.014018549499425603,-0.014850623295524334,-0.029103888343068318,0.04319264524632005,-0.023514752079343726,-0.005774281164419581,-0.005774281164419581,0.02857181023568378,0.008230560445048773,0.07666550223355051,0.0629392319708515,0.029829419729764828,-0.020381108817427607,0.0005916554734324286,-0.05196320189925496,0.015522575720691378,-0.04200326067696458,0.01748900577133683,-0.019547510809456714,0.006956898571654158,-0.03231534769102107,0.020907992289132427,0.0036440295261037647,0.032331951637855294,0.004955951823407689,0.0017286699771656977,-0.1388691279955121,0.011040328349285033,-0.01699576382579282,0.019083432768062014,0.1099979208485482,0.0,0.0,0.025724506612001985,0.007368711922839166,0.0227807357686991,0.004013824068815897,0.004649768614537697,-0.021071353098466195
2026-03-19,0.007138015064020342,0.0024666484662336785,-0.009299244439035514,-0.024083770876652477,0.0035168130097504857,0.014946137741664423,0.08143152611505045,0.07518703642319458,0.0,-0.01601892320798204,0.009986315751525643,0.07333352223878875,0.006006117230399122,-0.013873960115171835,0.0026498121715203826,-0.0607131862787913,0.0006435083043137002,-0.047546668471551534,-0.0004816012749720988,-0.016113719088234002,-0.004612833109508663,-0.03677911549475532,-0.005340501893751459,-0.020871956321064533,0.03148150151585494,0.04712287520465952,0.004573695359338714,-0.12990509625076552,0.005010679304416676,-0.0022068665033444512,0.017477669976911026,0.12939809818419667,0.0,0.0,0.018809514479407596,0.02631682829585391,0.0,-0.001077602928321264,0.016289801061333486,-0.005124800187199963
2026-03-20,0.014868787141291584,0.0150936077939543,-0.002708501854242762,-0.018113407631139777,0.0,0.011767861289791792,0.0,0.07518703642319458,0.044298742894188115,0.03054814431434938,0.04659374455801668,0.1080809091587076,0.0,-0.01959838763927313,0.01794304805366509,-0.03685734780523886,-0.00033407504814708666,-0.036919545031490864,0.006356346478360031,-0.021281942580109958,0.03593425175785003,-0.0005360612370952644,0.02528112751368572,-0.024723637750112548,-0.005219331988137621,-0.0033599668934228832,-0.0006673040462090718,-0.13732879273457432,0.016879912753259285,-0.0073431527900282845,-0.00411386439843342,0.04178044778424295,0.0,0.0,0.023412271709447152,0.05034523673989444,0.03883555472706379,0.03771610249124557,-0.0011379680830483352,-0.02466375517087427
2026-03-21,0.0073591996738657794,0.0064643428167685535,0.0046685489604778585,-0.0032626385041735206,0.003022085681150921,0.011454760323052815,0.0,0.07518703642319458,0.008707282238963554,0.03769959046288385,0.004530288544136729,0.11096401303237857,0.007324623499150196,-0.010602870275109755,0.013341333848834624,-0.026064459935065565,0.005159007051301678,-0.04288665575319173,0.004660047903207509,-0.0010916787996474442,0.006157808371959117,0.0020894187654878493,0.016185603618988242,0.004610337786498331,0.007345402879607832,0.0022737309941898154,-0.005356052993662153,-0.1396010134116985,0.010557904750506442,0.011551328033859054,0.0,0.035274149514219255,0.0,0.0,0.011289788519978528,0.06220341233565452,0.0,0.03771610249124557,0.03257820207464435,0.00033456788884311806
2026-03-22,0.002489114782540325,0.002444142179376385,0.0024792709840535387,-0.0058698723292879285,0.0,0.011372344218616437,0.0,0.07518703642319458,0.00713881076017886,0.036239032779321834,0.0027379083320635544,0.10856379191489318,0.0,-0.025980325791487346,0.012759109544228764,-0.009844151707076199,0.0007232962350600669,-0.04219437927477221,0.0033052290999899814,-0.003778418936786765,0.006668720707364129,0.024992151437373877,0.004780630449275014,0.005093062982007401,0.006250149743170841,-2.220446049250313e-16,-0.003996944735444208,-0.1453788866431731,-0.005818574324439996,0.0012857914858528385,0.0,0.0255169485378699,0.0,0.0,0.0,0.03843955540078037,0.0,0.03771610249124557,0.0,-0.021553190622624285
2026-03-23,-0.005718440053466223,-0.0019672234047385384,-0.009072313144790956,-0.01343923785723311,0.004690892164183946,0.010946394782926028,0.0,0.07518703642319458,-0.050509017946378076,-0.016100383124066475,-0.003157005301911875,0.09903315419759218,0.0038245605378284253,-0.022255128582441053,-0.013793315083904134,-0.03268058742242863,0.012433580772395869,-0.03646807637331484,0.007373274779336247,-0.0012113622422441628,-0.004905295140656185,-0.005294961709868318,-0.0077006038966414,-0.0026729533851059806,-0.0062113280129857396,-0.006211328012985962,0.008928890317511318,-0.13782888179054809,0.0047963558793344685,-0.013150503451812678,0.0049323679867121495,0.030575175504668817,0.0,0.0,-0.033785039308893317,0.0033558342016555276,-0.0031153113816031475,0.011904942604783697,-0.009329561843289147,-0.024232930651340023
2026-03-24,0.01163238457689797,0.008708889558806332,0.05907098649485554,0.04807208405109864,-0.004668990433544629,0.05002506343511426,0.04154469095942992,0.11985534957498167,0.0331476241413593,0.07045172583561943,0.012353870821687485,0.15686851318777895,-0.0038099890042332385,0.0436031135394106,0.012921395441763073,0.04697240922481649,-0.0018085909740737094,0.03264964845097351,0.004790979592637301,0.044216781208107125,0.008957360784796142,0.05590541265254734,0.017084533833462867,0.07287239466312223,0.014768872356085483,0.08281358494235502,-0.00031987484789952614,0.004828473771561148,0.0147428245157466,0.05844845410068311,0.013400053524254663,0.05162783328925702,0.0,0.0,0.023412271709447152,0.06948412927263625,0.020000300004499927,0.08037510876341014,0.011793166109002051,0.05555692525483735
2026-03-25,0.014510418203403042,0.012243627083843522,0.05329864927091088,0.04623755485432368,0.01681937895981722,0.023479064734234445,0.0,0.12635926466128478,0.0,0.040716569502657673,0.03385166781342086,0.11086538884996666,0.015518775252455708,0.029101068009196096,0.01089341350449935,0.05775168803054842,0.018182031044620794,0.035353956233966866,0.00631973857209589,0.03275411559001218,0.04358827182278402,0.09431744929843489,0.006296079431338253,0.05751673278491576,0.08282652862404238,0.13577737613356433,0.005119635208925999,0.008229932190955136,0.007151233332774121,0.05437699770804083,0.024766447998958885,0.05749233545036536,0.0,0.0,-0.007843432024406183,0.034484109878913705,-0.0021008712312996503,0.054092379798410084,0.01157406820473117,0.06283208980800037
2026-03-26,-0.005265437919669713,-0.004606948561367563,0.040326702945177706,0.03885510191236752,-0.023122377046172482,-0.0036900399287369545,0.0,0.04154469095942992,0.008570413493898421,0.04963594083324696,0.006052469715712938,0.10653862388484203,-0.011550227758542975,0.011141680815608623,-0.00922697209084744,0.04522220021796297,-0.005843004734629731,0.02864243821451362,-0.00978991856256195,0.023136280640462026,-0.012825164114876775,0.08528890501183017,0.02677516984748629,0.09166194560965546,-0.027007526427731743,0.07137436493778049,0.0003353783078055006,0.003976189401141639,-0.0018364948599144393,0.047193489028144686,0.0012474462004175013,0.040623820540671485,0.0,0.0,-0.020979815669008417,-0.005917387355134918,0.0,0.054092379798410084,-0.011783711566588861,0.03347291483308079
2026-03-27,-0.0036795412268350036,0.0005694373244027329,0.021313090997654882,0.023990947042818567,0.015047635218085054,0.011302068914560426,0.0,0.04154469095942992,0.0,0.005110796096782888,-0.009585334889504527,0.04714182203482742,0.011685194415444133,0.022957067937497966,0.00730896586553631,0.03430314261132472,0.0012709857218735632,0.03029402359193445,0.006313140662003169,0.023092354412536764,-0.005972231605777534,0.04138588571747537,-0.013628300964456552,0.0502333644574664,-0.005423567510661309,0.07115440418635277,-0.009339685215226878,-0.004736488803382177,-0.010947997490121653,0.01853601821507045,-0.013419804210919484,0.030899834740285348,0.0,0.0,-0.008377749183197003,-0.036796347768819015,-0.03719353057132757,-0.023053304223863647,-0.005878943508628831,0.02856766312096637
2026-03-28,0.009611353828198332,0.01089588942445463,0.023596441883326325,0.028499664753541376,-0.003385597793944428,0.004841489782932529,0.0,0.04154469095942992,0.014250845369514042,0.010634593980935136,0.016672784274161856,0.05979939468125939,0.0066690220609386675,0.02229129236791172,0.014583865704018262,0.03557137727193016,0.004448322297308849,0.029565567447622954,0.007150726975633015,0.025628729499425074,0.01080500513966709,0.046195792356150456,0.005451493938780194,0.03913960355025403,0.014403222145678463,0.07865929195294386,0.011717119388998665,0.01234731846652104,0.022199762607190365,0.030269785760929313,-0.012299468614911047,0.018220314577780394,0.0,0.0,0.042545012594422005,-0.0070272881762498685,0.0,-0.023053304223863647,0.021582513816978732,0.017614682172046425
2026-03-29,0.01048193360877181,0.003961192768718869,0.0317575488624513,0.030056146513373516,0.018756323228856564,0.023688621559066814,0.0,0.04154469095942992,0.01219050921743925,0.01570382690565353,0.01088850001736974,0.06841380135982011,0.0213873890890397,0.04415543400012156,0.01968264943272069,0.04265086899938475,0.008863738296626789,0.03794062864777992,0.002413410309078934,0.02471706777681404,0.0015156512207661343,0.040840386447829724,0.007048326429264895,0.04148484452147527,0.0072322306828351834,0.07971204283331801,0.0016469498122819726,0.01808382849116219,0.015247551097102408,0.05210060251564519,0.0,0.018220314577780394,0.0,0.0,0.010479434110558072,0.0033785039308893428,0.02769721693990923,0.004005400347775412,-0.007668888087916104,0.009810709057848754
2026-03-30,-0.007347594461649343,-0.0059388652081541204,0.03006698913911121,0.02595706866012515,-0.033591562249089435,-0.015317716901715572,0.0,0.04154469095942992,-0.0069056206866335845,0.06234791126232708,0.0037966552254791175,0.07586671713186277,-0.015806922402503365,0.02373521278273527,-0.01501376975076063,0.041360563287169416,0.0037893866333298387,0.029078654421272443,-0.004443837390691319,0.012696502177520275,-0.004353028310654317,0.04141804163778762,0.004843720388974848,0.054650955152536485,-0.02315385302860251,0.061304660246846776,-0.00022203265567477537,0.008849870791886483,-0.02258834157638623,0.02342667617794625,0.012452629338634669,0.025840014294291835,0.0,0.0,-0.03134019208688632,0.005917387355135029,0.0,0.007142964287321307,0.006502309252492955,0.025948460181916433
