YearWeek,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-W10,17260.33,,0.0
2026-W11,17296.59,0.21,-0.09
2026-W12,17252.83,-0.25,-0.32
2026-W13,17348.66,0.56,0.68
2026-W14,17415.82,0.39,0.02
2026-W15,17482.13,0.38,0.27
2026-W16,17455.16,-0.15,0.48
2026-W17,17567.59,0.64,0.7
2026-W18,17683.33,0.66,1.0
2026-W19,17725.01,0.24,0.48
2026-W20,17894.63,0.96,1.14
2026-W21,18133.42,1.33,1.63
2026-W22,18213.31,0.44,0.59
