product_id,name,current_price,regular_price,is_discounted,discount_pct,category,product_url,image_url,in_stock,scrape_date,scrape_timestamp
fropie-kajuketen-tohumlu-glutensiz-granola200-gr,240 Gr,77.6,,False,,Atıştırmalık,https://www.happycenter.com.tr/fropie-kajuketen-tohumlu-glutensiz-granola200-gr,https://static.happycenter.com.tr/Uploads/8683555560544-575F4-95x95.png,True,2026-03-06,2026-03-06T21:52:11.616082
7_Days_55_Gr_Kayisili_Kruvasan,7 Days Fındıklı Kruvasan 60 Gr,33.3,,False,,Atıştırmalık,https://www.happycenter.com.tr/7_Days_55_Gr_Kayisili_Kruvasan,https://static.happycenter.com.tr/Uploads/7-days-findikli-kruvasan-60-gr-52436-95x95.png,True,2026-03-06,2026-03-06T21:52:11.616082
7_Days_185_Gr_Kakao_Kremali_Mini_Kruvasan,7 Days Kakao Kremalı Mini Kruvasan 185 gr,127.65,,False,,Atıştırmalık,https://www.happycenter.com.tr/7_Days_185_Gr_Kakao_Kremali_Mini_Kruvasan,https://static.happycenter.com.tr/Uploads/7-days-kakao-kremali-mini-kruvasan-185-gr-31850-95x95.png,True,2026-03-06,2026-03-06T21:52:11.616082
7_Days_60_Gr_Vanilya_Kremali_Kruvasan,7 Days Kruvasan  Kremalı  60 Gr,127.65,,False,,Atıştırmalık,https://www.happycenter.com.tr/7_Days_60_Gr_Vanilya_Kremali_Kruvasan,https://static.happycenter.com.tr/Uploads/7-days-kruvasan--kremali--60-gr-57899-95x95.png,True,2026-03-06,2026-03-06T21:52:11.616082
7_Days_300_Gr_Kakaolu_10lu__Kruvasan,7 Days Kruvasan 240 Gr,127.65,,False,,Atıştırmalık,https://www.happycenter.com.tr/7_Days_300_Gr_Kakaolu_10lu__Kruvasan,https://static.happycenter.com.tr/Uploads/7-days-kruvasan-240-gr-DE6DC-95x95.png,True,2026-03-06,2026-03-06T21:52:11.616082
Eti_C__60_Gr_Alaska_Frigo_Bitter_Cik_soguk_Bar,Alaska Frigo Bitter Çikolatalı Dondurma 60 gr,24.4,,False,,Atıştırmalık,https://www.happycenter.com.tr/Eti_C__60_Gr_Alaska_Frigo_Bitter_Cik_soguk_Bar,https://static.happycenter.com.tr/Uploads/alaska-frigo-bitter-cikolatali-dondurma-60-gr-31717-95x95.png,True,2026-03-06,2026-03-06T21:52:11.616082
Eti_C__60_Gr_Alaska_Frigo_Sutlu_Cik_soguk_Bar,Alaska Frigo Sütlü Çikolatalı Dondurma 60 gr,24.4,,False,,Atıştırmalık,https://www.happycenter.com.tr/Eti_C__60_Gr_Alaska_Frigo_Sutlu_Cik_soguk_Bar,https://static.happycenter.com.tr/Uploads/alaska-frigo-sutlu-cikolatali-dondurma-60-gr-31716-95x95.png,True,2026-03-06,2026-03-06T21:52:11.616082
altin-hasan-kav-tuzlu-aycekirdegi-500-gr,Altın Hasan Kav.Tuzlu Ayçekirdeği 500 gr,19.9,,False,,Atıştırmalık,https://www.happycenter.com.tr/altin-hasan-kav-tuzlu-aycekirdegi-500-gr,https://static.happycenter.com.tr/Uploads/altin-E96F9-95x95.jpg,True,2026-03-06,2026-03-06T21:52:11.616082
kara-sevda-klasik-beyaz-aycekirdegi-135-gr,Altın Hasat Kav. Tuzlu Ayçekirdeği 150 gr,77.6,,False,,Atıştırmalık,https://www.happycenter.com.tr/kara-sevda-klasik-beyaz-aycekirdegi-135-gr,https://static.happycenter.com.tr/Uploads/8683717472395-3F07D-95x95.png,True,2026-03-06,2026-03-06T21:52:11.616082
aptamil-1-bebek-sutu-akilli-kutu-800-gr,Aptamil 1 Bebek Sütü Akıllı Kutu 800 gr,288.6,,False,,Atıştırmalık,https://www.happycenter.com.tr/aptamil-1-bebek-sutu-akilli-kutu-800-gr,https://static.happycenter.com.tr/Uploads/kg-mama-numil-tma-119-2AAF3-95x95.png,True,2026-03-06,2026-03-06T21:52:11.616082
aptamil-2-bebek-sutu-akilli-kutu-800-gr,Aptamil 2 Bebek Sütü Akıllı Kutu 800 gr,288.6,,False,,Atıştırmalık,https://www.happycenter.com.tr/aptamil-2-bebek-sutu-akilli-kutu-800-gr,https://static.happycenter.com.tr/Uploads/kg-mama-numil-tma-120-BBCFE-95x95.png,True,2026-03-06,2026-03-06T21:52:11.616082
aptamil-3-bebek-sutu-akilli-kutu-800-gr,Aptamil 3 Bebek Sütü Akıllı Kutu 800 gr,288.6,,False,,Atıştırmalık,https://www.happycenter.com.tr/aptamil-3-bebek-sutu-akilli-kutu-800-gr,https://static.happycenter.com.tr/Uploads/kg-mama-numil-tma-121-4BE1D-95x95.png,True,2026-03-06,2026-03-06T21:52:11.616082
