id,urun,fiyat,kategori,url
erkek-slim-fit-dar-kesim-mono-yaka-cizgili-gofre-desenli-torba-cepli-esnek-bej-takim-elbise,erkek-slim-fit-dar-kesim-mono-yaka-cizgili-gofre-desenli-torba-cepli-esnek-bej-takim-elbise-p,"8699,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-mono-yaka-cizgili-gofre-desenli-torba-cepli-esnek-bej-takim-elbise-p
erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-desenli-torba-cepli-bordo-takim-elbise,erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-desenli-torba-cepli-bordo-takim-elbise-p,"9999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-desenli-torba-cepli-bordo-takim-elbise-p
erkek-slim-fit-dar-kesim-kirlangic-yaka-desenli-cift-pantolonlu-antrasit-takim-elbise,erkek-slim-fit-dar-kesim-kirlangic-yaka-desenli-cift-pantolonlu-antrasit-takim-elbise-p,"9999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kirlangic-yaka-desenli-cift-pantolonlu-antrasit-takim-elbise-p
erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-bej-takim-elbise,erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-bej-takim-elbise-p,"14999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-bej-takim-elbise-p
erkek-slim-fit-dar-kesim-mono-yaka-desenli-antrasit-takim-elbise-3,erkek-slim-fit-dar-kesim-mono-yaka-desenli-antrasit-takim-elbise-3-p,"7999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-mono-yaka-desenli-antrasit-takim-elbise-3-p
erkek-slim-fit-dar-kesim-kirlangic-yaka-desenli-kapak-cepli-siyah-takim-elbise,erkek-slim-fit-dar-kesim-kirlangic-yaka-desenli-kapak-cepli-siyah-takim-elbise-p,"19999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c | https://www.altinyildizclassics.com/siyah-takim-elbise-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kirlangic-yaka-desenli-kapak-cepli-siyah-takim-elbise-p
erkek-slim-fit-dar-kesim-kirlangic-yaka-armurlu-kapak-cepli-esnek-acik-kahve-takim-elbise,erkek-slim-fit-dar-kesim-kirlangic-yaka-armurlu-kapak-cepli-esnek-acik-kahve-takim-elbise-p,"8864,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kirlangic-yaka-armurlu-kapak-cepli-esnek-acik-kahve-takim-elbise-p
erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-siyah-takim-elbise,erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-siyah-takim-elbise-p,"9999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/siyah-takim-elbise-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-siyah-takim-elbise-p
erkek-regular-fit-normal-kesim-mono-yaka-armurlu-kapak-cepli-esnek-tas-takim-elbise,erkek-regular-fit-normal-kesim-mono-yaka-armurlu-kapak-cepli-esnek-tas-takim-elbise-p,"9999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-regular-fit-normal-kesim-mono-yaka-armurlu-kapak-cepli-esnek-tas-takim-elbise-p
erkek-360-her-yone-esneyen-slim-fit-mono-yaka-beli-baglamali-siyah-takim-elbise,erkek-360-her-yone-esneyen-slim-fit-mono-yaka-beli-baglamali-siyah-takim-elbise-p,"19999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/siyah-takim-elbise-c,https://www.altinyildizclassics.com/erkek-360-her-yone-esneyen-slim-fit-mono-yaka-beli-baglamali-siyah-takim-elbise-p
