YearMonth,TUFE_Code,TUFE_Name,Inflation_%,NumProducts,NumStores
2026-04,1_1_4_1,UNKNOWN,0.56,9205,35
2026-04,1_2_1,UNKNOWN,8.2,143678,37
2026-04,1_2_1_1,UNKNOWN,4.19,2967,4
2026-04,1_2_1_2,UNKNOWN,-9.19,1052,4
2026-04,1_2_1_3,UNKNOWN,14.52,3162,34
2026-04,1_4_3,UNKNOWN,1.76,19290,35
2026-04,1_4_6,UNKNOWN,11.86,1649,34
2026-04,1_7,UNKNOWN,0.41,12105,37
2026-04,1_7_5_3,UNKNOWN,1.62,13809,34
2026-04,1_8,UNKNOWN,-11.89,1024,34
2026-04,1_8_2_4,UNKNOWN,5.61,3901,34
2026-04,1_8_6_1,UNKNOWN,3.29,1824,5
2026-04,2_1,UNKNOWN,7.32,3121,34
2026-04,2_2,UNKNOWN,11.61,704,34
2026-04,3_1,UNKNOWN,21.27,14420,37
2026-04,3_3_1,UNKNOWN,12.78,81025,37
2026-04,3_4_1,UNKNOWN,6.15,775,2
2026-04,3_4_2,UNKNOWN,18.81,1871,4
2026-04,4_1,UNKNOWN,13.41,742,34
2026-04,4_2_2,UNKNOWN,13.97,84,2
2026-04,4_3_1_3,UNKNOWN,8.36,750,2
2026-04,5_1_1,UNKNOWN,49.34,737,34
2026-04,5_3_1,UNKNOWN,18.74,112,3
2026-04,6_1_1,UNKNOWN,-22.99,789,34
2026-04,77,Orange,77.55,26,1
2026-04,78,Mandarin (tangerine),8.73,59,2
2026-04,7_2_1_2,UNKNOWN,-15.21,12,1
2026-04,8_1_2,UNKNOWN,-9.65,865,4
2026-04,8_2_1,UNKNOWN,1.51,457,33
2026-04,8_4_1,UNKNOWN,-36.52,30,1
2026-05,100,Peanuts,0.16,157,4
2026-05,101,Pumpkin seeds,4.16,246,29
2026-05,102,Roasted chickpeas (leblebi),0.1,67,2
2026-05,103,Sunflower seeds,-4.54,152,28
2026-05,106,Cabbage,5.13,34,3
2026-05,107,Cauliflower,-11.4,51,3
2026-05,108,Leaf lettuce (curly),11.23,79,1
2026-05,109,Spinach,1.49,78,3
2026-05,111,Long green pepper (çarliston),-27.26,136,3
2026-05,112,Other peppers,-7.55,54,1
2026-05,113,Cucumber,-23.78,174,4
2026-05,114,Eggplant (aubergine),-14.17,97,4
2026-05,116,Zucchini (courgette),-5.6,45,2
2026-05,120,Carrots,5.59,67,3
2026-05,122,Dried garlic (bulb),11.89,151,3
2026-05,124,Leek,-17.66,26,2
2026-05,131,Chickpeas,0.0,24,24
2026-05,132,Lentils,17.29,57,2
2026-05,139,Cane sugar and beet sugar,0.0,25,1
2026-05,14,Baklava,-18.99,28,2
2026-05,140,Granulated sugar,0.95,206,29
2026-05,141,Sugar cubes,0.54,91,3
2026-05,144,Jam,-0.35,20,1
2026-05,147,Hazelnut paste,-7.62,240,28
2026-05,150,Chocolate,6.8,34,2
2026-05,151,Chocolate spread,-15.87,87,3
2026-05,155,Halva (tahini halva),-5.42,41,3
2026-05,156,Turkish delight,16.13,25,1
2026-05,164,Other ready meals,11.15,24,2
2026-05,168,Salt,9.62,25,1
2026-05,169,Vinegar,0.0,5,1
2026-05,17,Breakfast cereal,8.72,67,3
2026-05,197,Cola drinks,0.0,3,1
2026-05,1_1,UNKNOWN,4.1,603538,35
2026-05,1_10_2,UNKNOWN,-20.39,10207,31
2026-05,1_1_1_3,UNKNOWN,6.77,2465,30
2026-05,1_1_3_1,UNKNOWN,-17.09,2133,31
2026-05,1_1_4_1,UNKNOWN,5.26,7525,32
2026-05,1_2_1,UNKNOWN,-10.19,108560,33
2026-05,1_2_1_1,UNKNOWN,-1.08,2154,4
2026-05,1_2_1_2,UNKNOWN,-16.68,780,20
2026-05,1_2_1_3,UNKNOWN,-1.98,2527,31
2026-05,1_4_3,UNKNOWN,1.72,14565,32
2026-05,1_4_6,UNKNOWN,-6.16,1126,30
2026-05,1_7,UNKNOWN,-1.18,9083,33
2026-05,1_7_5_3,UNKNOWN,5.51,10957,31
2026-05,1_8,UNKNOWN,4.44,758,31
2026-05,1_8_2_4,UNKNOWN,-3.99,3177,31
2026-05,1_8_6_1,UNKNOWN,0.19,1323,5
2026-05,2_1,UNKNOWN,-7.09,2286,31
2026-05,2_2,UNKNOWN,-11.88,499,31
2026-05,3_1,UNKNOWN,5.73,10450,33
2026-05,3_3_1,UNKNOWN,-11.39,60973,33
2026-05,3_4_1,UNKNOWN,4.07,470,2
2026-05,3_4_2,UNKNOWN,-3.82,1468,4
2026-05,4_1,UNKNOWN,9.29,514,31
2026-05,4_2_2,UNKNOWN,4.41,67,2
2026-05,4_3_1_3,UNKNOWN,13.52,453,2
2026-05,5_1_1,UNKNOWN,-45.53,595,31
2026-05,5_3_1,UNKNOWN,-2.74,84,3
2026-05,6_1_1,UNKNOWN,3.08,662,31
2026-05,77,Orange,8.35,24,1
2026-05,78,Mandarin (tangerine),2.01,49,2
2026-05,8_1_2,UNKNOWN,-22.11,636,4
2026-05,8_2_1,UNKNOWN,5.08,393,30
2026-05,8_4_1,UNKNOWN,0.0,25,1
