id,sku,name,brand,category,category_id,regular_price,sale_price,discount_pct,currency,in_stock,url,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
KERASTASE-TANGLETEEZER-BUNDLE-2,kerastase-tangleteezer-bundle-2,nutritive 8h magic night serum & the ultimate detangler,,skincare,cilt-bakimi-c303,1299.0,1299.0,0.0,TRY,False,https://www.sephora.com.tr/p-kerastase%2dtangleteezer%2dbundle%2d2.html,12,,-4.761904761904765,,
P3671004,472404,sports bb compact spf 50 - bb krem,shiseido,makeup/complexion/mattifying powder,cilt-bakimi-c303,4490.0,4490.0,0.0,TRY,True,https://www.sephora.com.tr/p/sports-bb-compact-spf-50-p3671004.html,12,,-4.761904761904762,,
P1000206813,761609,relief sun: rice + probiotics spf50+ - pirinç ve probiyotik i̇çeren güneş kremi,beauty of joseon,skincare/sun care/face sun protection,cilt-bakimi-c303,1219.0,1219.0,0.0,TRY,False,https://www.sephora.com.tr/p/relief-sun--rice-probiotics-spf50----pirinc-ve-probiyotik-i%cc%87ceren-gunes-kremi-761609.html,12,,-4.761904761904765,,
P3921092,502431,caffeine solution 5% + egcg  - koyu halka ve şiş görünüm göz çevresi serumu,the ordinary,skincare/type of care/eye contour care,cilt-bakimi-c303,505.0,505.0,0.0,TRY,True,https://www.sephora.com.tr/p/%255-kafein-solusyonu-egcg---goz-cevresi-502431.html,12,,-4.761904761904762,,
P10056750,705321,hyaluronic acid 2% + b5  - derinlemesine nemlendirici serum,the ordinary,skincare/type of care/serum,cilt-bakimi-c303,515.0,515.0,0.0,TRY,True,https://www.sephora.com.tr/p/hyaluronik-asit-%252-b5---nemlendirici-serum-p10056750.html,12,,-4.761904761904762,,
P10014490,542455,moisture surge™ - 100h auto-replenishing nemlendirici,clinique,skincare/shop by concern/moisturizers care,cilt-bakimi-c303,1275.0,1275.0,0.0,TRY,True,https://www.sephora.com.tr/p/moisture-surge-100h-etki%cc%87li%cc%87-nemlendi%cc%87ri%cc%87ci%cc%87-p10014490.html,12,,-4.761904761904762,,
P1000204684,748663,alpha arbutin 2% + ha  - koyu leke görünümü karşıtı serum,the ordinary,skincare/type of care/endişe odaklı bakım,cilt-bakimi-c303,645.0,645.0,0.0,TRY,True,https://www.sephora.com.tr/p/alpha-arbutine-2%25-ha---aydinlatici-serum-748663.html,12,,-4.761904761904762,,
P10014053,548887,argireline solution 10%  - i̇nce çizgi görünümü karşıtı serum,the ordinary,skincare/type of care/endişe odaklı bakım,cilt-bakimi-c303,570.0,570.0,0.0,TRY,True,https://www.sephora.com.tr/p/%2510-arjirelin-solusyonu---kirisiklik-karsiti-bakim-548887.html,12,,-4.761904761904762,,
P3671003,468444,sports bb spf50+ - bb krem,shiseido,skincare/sun care/face sun protection,cilt-bakimi-c303,3990.0,3990.0,0.0,TRY,True,https://www.sephora.com.tr/p/sports-bb-cream-spf50-wetforce-p3671003.html,12,,-4.761904761904762,,
P3921101,502449,natural moisturizing factors + ha  - yüz nemlendiricisi,the ordinary,skincare/type of care/day cream,cilt-bakimi-c303,385.0,385.0,0.0,TRY,True,https://www.sephora.com.tr/p/dogal-nemlendirici-faktorler-ha---nemlendirici-krem-502449.html,12,,-4.761904761904762,,
P3814088,458692,organic cotton pads - pamuk diskler,sephora collection,skincare/make-up remover and cleanser/cleansing wipe,cilt-bakimi-c303,149.0,149.0,0.0,TRY,True,https://www.sephora.com.tr/p/organic-cotton-pads-50-458692.html,12,,-4.761904761904755,,
P1000208831,775211,cc krem - renkli düzeltici bakım sağlıklı işıltı ve parlaklık,erborian,makeup/complexion/bb and cc cream,cilt-bakimi-c303,1499.0,1499.0,0.0,TRY,True,https://www.sephora.com.tr/p/cc-krem---renkli-duzeltici-bakim---saglikli-isilti-ve-parlaklik-p1000208831.html,12,,-4.7619047619047645,,
P3921099,502430,azelaic acid suspension 10%  - aydınlatmaya yardımcı solüsyon,the ordinary,skincare/type of care/serum,cilt-bakimi-c303,690.0,690.0,0.0,TRY,False,https://www.sephora.com.tr/p/azelaik-asit-suspansiyonu-%2510---aydinlatici-serum-502430.html,12,,-4.761904761904762,,
P10062530,740581,mini skincare must-haves - 5'li mini bakım ürünleri seti,sephora collection,body and bath/body and bath set,cilt-bakimi-c303,2199.0,2199.0,0.0,TRY,True,https://www.sephora.com.tr/p/kit-de-mini-indispensables-soin---5-li-mini-bakim-urunleri-seti-740581.html,12,,-4.761904761904755,,
