canonical_key,tuik_category,sector,product_key,store,relative_compare
caykur didi soguk cay seftali 500 ml,01,market,Çaykur Didi Soğuk Çay Şeftali 500 Ml,Hapeloglu,19.599999999999994
caykur didi soguk cay seftali tetra 330 ml,01,market,Çaykur Didi Soğuk Çay Şeftali Tetra  330 Ml,Hapeloglu,13.513513513513509
caykur elek alti efsane cay 80 gr,01,market,Çaykur Elek Altı Efsane Çay 80 gr,Hapeloglu,0.0
caykur filiz cay 1 kg,01,market,Çaykur Filiz Çay 1 kg,Hapeloglu,0.0
caykur filiz cay 200 g,01,market,Çaykur Filiz Çay 200 g,Hapeloglu,0.0
caykur filiz cay 500 g,01,market,Çaykur Filiz Çay 500 g,Hapeloglu,0.0
caykur filiz cayi 500 gr,01,market,Çaykur Filiz Çayı 500 Gr,Marketzade,0.0
caykur filiz dokme cay 1 kg,01,market,Çaykur Filiz Dökme Çay 1 Kg,Marketzade,0.0
caykur hediyelik anadolu filiz cay 400 g,01,market,Çaykur Hediyelik Anadolu Filiz Çay 400 g,Hapeloglu,0.0
caykur hediyelik cay 400 gr,01,market,Çaykur Hediyelik Çay 400 gr,Hapeloglu,12.13005418924551
caykur her dem adacayi 40gr,01,market,Çaykur Her Dem Adaçayı 40gr,Hapeloglu,0.0
caykur her dem ihlamur 40 g,01,market,Çaykur Her Dem Ihlamur 40 g,Hapeloglu,10.220440881763526
caykur her dem nane limon 40gr,01,market,Çaykur Her Dem Nane Limon 40gr,Hapeloglu,2.8037383177569986
caykur her dem papatya 40gr,01,market,Çaykur Her Dem Papatya 40gr,Hapeloglu,10.220440881763526
caykur kamelya cay 1 kg,01,market,Çaykur Kamelya Çay 1 Kg,Hapeloglu,0.0
caykur kamelya cay 500 gr,01,market,Çaykur Kamelya Çay 500 Gr,Hapeloglu,17.94138670478913
caykur kamelya cayi 500 gr,01,market,Çaykur Kamelya Çayı 500 Gr,Marketzade,0.0
caykur kamelya dokme cay 1 kg,01,market,Çaykur Kamelya Dökme Çay 1 Kg,Marketzade,0.0
caykur mezopotamya cayi 400 gr,01,market,Çaykur Mezopotamya Çayı 400 Gr,Hapeloglu,6.711409395973145
caykur nadidem misafir cayi 100 gr.,01,market,Çaykur Nadidem Misafir Çayı 100 Gr.,Hapeloglu,0.0
caykur nadidem misafir cayi 200 gr.,01,market,Çaykur Nadidem Misafir Çayı 200 Gr.,Hapeloglu,0.0
caykur organik hemsin bardak poset 50gr,01,market,Çaykur Organik Hemşin Bardak Poşet 50Gr,Hapeloglu,0.0
caykur organik hemsin cayi 400 gr,01,market,Çaykur Organik Hemşin Çayı 400 gr,Hapeloglu,12.458333333333327
caykur organik yesil cay zumrut 125 gr,01,market,Çaykur Organik Yeşil Çay Zümrüt 125 gr,Hapeloglu,8.484848484848495
caykur rize cayi hediyelik 500 gr,01,market,Çaykur Rize Çayı Hediyelik 500 gr,"Hapeloglu,Marketzade",6.931872320152454
caykur rize turist 100 gr,01,market,Çaykur Rize Turist 100 gr,Hapeloglu,0.0
caykur rize turist 200 gr,01,market,Çaykur Rize Turist 200 gr,Hapeloglu,0.0
caykur rize turist 500 gr,01,market,Çaykur Rize Turist 500 gr,Hapeloglu,0.0
caykur rize turist cay 1 kg,01,market,Çaykur Rize Turist Çay 1 Kg,Hapeloglu,0.0
caykur rize turist cayi 1 kg,01,market,Çaykur Rize Turist Çayı 1 Kg,Marketzade,0.0
caykur rize turist cayi 2 kg,01,market,Çaykur Rize Turist Çayı 2 Kg,Marketzade,0.0
caykur rize turist cayi 200 gr,01,market,Çaykur Rize Turist Çayı 200 Gr,Marketzade,0.0
caykur rize turist cayi 500 gr,01,market,Çaykur Rize Turist Çayı 500 Gr,Marketzade,0.0
caykur sade yesil suzen cay 25li 40gr,01,market,Çaykur Sade Yeşil Süzen Çay 25li 40gr,Hapeloglu,0.0
caykur siyah suzen cay 50 gr,01,market,Çaykur Siyah Süzen Çay 50 gr,Hapeloglu,0.0
caykur suzme 100'lu bardak 200gr,01,market,Çaykur Süzme 100'lü Bardak 200gr,Hapeloglu,0.0
caykur tamdem bergamot aromali cay 1000 gr,01,market,Çaykur Tamdem Bergamot Aromalı Çay 1000 Gr,Marketzade,0.0
caykur tiryaki cay 1 kg,01,market,Çaykur Tiryaki Çay 1 Kg,Hapeloglu,3.7174721189590976
caykur tiryaki cay 500 gr,01,market,Çaykur Tiryaki Çay 500 Gr,Hapeloglu,0.0
caykur tiryaki dokme cay 1 kg,01,market,Çaykur Tiryaki Dökme Çay 1 Kg,Marketzade,0.0
caykur tiryaki dokme cay 2 kg,01,market,Çaykur Tiryaki Dökme Çay 2 Kg,Marketzade,3.7648612945838877
caykur tiryaki dokme cay 500 gr,01,market,Çaykur Tiryaki Dökme Çay 500 Gr,Marketzade,0.0
