date,compare_date,n_stores,n_products_raw,n_products_deduped,basket_coverage_pct,basket_coverage_full_pct,n_stores_01,n_stores_06,n_stores_04,n_products_01,n_products_06,avg_inflation_compare,median_inflation_compare,median_inflation_nonzero_compare,pct_increased_compare,pct_decreased_compare,pct_unchanged_compare,basic_index_compare,tuik_weighted_products_compare,tuik_weighted_full_compare,n_products_matched_compare,n_stores_03,n_stores_05,n_products_03,n_products_05,avg_inflation_01_compare,median_inflation_01_compare,median_inflation_nonzero_01_compare,basic_index_01_compare,avg_inflation_06_compare,median_inflation_06_compare,median_inflation_nonzero_06_compare,basic_index_06_compare,rent_inflation_04_compare,n_stores_08,n_stores_13,n_products_08,n_products_13,avg_inflation_03_compare,median_inflation_03_compare,median_inflation_nonzero_03_compare,basic_index_03_compare,avg_inflation_05_compare,median_inflation_05_compare,median_inflation_nonzero_05_compare,basic_index_05_compare,avg_inflation_13_compare,median_inflation_13_compare,median_inflation_nonzero_13_compare,basic_index_13_compare
2026-03-01,2026-02-01,14,86535,75292,27.24,38.64,13,1.0,9,61585,13707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,2026-03-01,32,201833,170332,43.06,54.46,11,1.0,27,59149,13694.0,1.655213110908772,0.0,7.194244604316546,16.86038894192075,6.7737286390776195,76.36588241900164,0.9488645692966592,1.9958992456366145,0.9369657396082078,53427.0,9.0,11.0,41349.0,56140.0,2.223892138225146,0.0,7.194244604316546,1.0052730782839747,0.0,0.0,,0.0,-1.5925776934424762,,,,,,,,,,,,,,,,
2026-05-01,2026-04-01,44,262190,233959,50.66,62.06,10,2.0,21,52975,13739.0,1.0447442106009914,0.0,6.666666666666665,14.642210443745556,6.434420520941007,78.92336903531344,-0.7188020736492384,1.1556987804285113,1.252014885657922,136407.0,9.0,14.0,43109.0,81088.0,1.8382134613998944,0.0,9.017132551848505,2.0729562753993624,-0.0015475619946422,0.0,-10.49479166666666,-0.0001404144570393,1.6157606566491154,2.0,7.0,515.0,42533.0,-1.3375071856890697,0.0,-9.488433293908706,-5.255529978138041,1.9452744687924732,0.0,7.14285714285714,1.47714926906104,,,,
2026-06-01,2026-05-01,14,71108,58430,47.87,59.27,3,,3,9608,,0.2163190546128792,0.0,5.333333333333323,8.124926154936789,4.7378992556417625,87.13717458942145,-0.052083698654403765,0.6188318967784168,0.9123757363293841,50782.0,3.0,4.0,7472.0,27685.0,1.2603793333307491,0.0,8.515770237462018,0.7362989789688301,,,,,2.064765723806361,2.0,2.0,1423.0,12242.0,-0.4204705245171696,0.0,-4.201680672268903,-0.304486414182481,0.4196031197463668,0.0,4.166666666666674,0.4708630237359568,-0.6919262747253656,0.0,-7.693728072874995,-1.2127258608693237
