tuik_category,sector,product_key,price,store,basic_inflation_15d,basic_inflation_30d
05,construction,0.50*86*30*30 TRAPEZ MAHYA GLV.,192.5,Yapimaks,,
05,construction,0.50*86*30*30 TRP MAHYA (BORDO),220.0,Yapimaks,,
05,construction,0.50*86*30*30 TRP MAHYA 7016-(A.GRİ),215.0,Yapimaks,,
05,construction,0.50*86*30*30 TRP MAHYA 9002-(BEYAZ),220.0,Yapimaks,,
05,construction,0.50*86*3000 (BORDO),630.0,Yapimaks,,
05,construction,0.50*86*3000 (GRİ),645.0,Yapimaks,,
05,construction,0.50*86*4500 (BORDO),945.0,Yapimaks,,
05,construction,0.50*86*5000 (BORDO),1050.0,Yapimaks,,
05,construction,"05002 MMSS Komple Plastik Tekerlek, Metal Tablalı, Siyah (05002MMS)",15.5,Afeks,0.0,
05,construction,1 İnç Kendinden Vanalı 4'lü Kollektör,697.72,TasciYapi,,
05,construction,1 İnç Kendinden Vanalı 5'li Kollektör,872.44,TasciYapi,,
05,construction,1 İnç Kendinden Vanalı 6'lı Kollektör,1047.16,TasciYapi,,
05,construction,1 İnç Kendinden Vanalı 7'li Kollektör,1221.88,TasciYapi,,
05,construction,1 İnç Kendinden Vanalı 8'li Kollektör,1396.6,TasciYapi,,
05,construction,1 İnç Kollektör Kelepçesi Metal,51.84,TasciYapi,,
05,construction,1 KOSE REKOR,92.57,TasciYapi,,
05,construction,1 KÜRESEL VANA SANAYİ TİPİ KALDE,899.0,Hausmart,0.0,
05,construction,1/2 İnç Radyatör Vanası Düz,228.99,TasciYapi,,
05,construction,1/2 İnç Radyatör Vanası Köşeli,158.9,TasciYapi,,
05,construction,1/2 İnç Radyatör Vanası Pex Düz,285.9,TasciYapi,,
05,construction,1/2 İnç Radyatör Vanası Pex Köşeli,174.9,TasciYapi,,
05,construction,1/2 KOSE REKOR,55.47,TasciYapi,,
05,construction,1/4 ERKEK GÖVDE,128.66,TasciYapi,,
05,construction,1/4 ERKEK UÇ,39.89,TasciYapi,,
05,construction,10 mm Galveniz Zincir (142.12.GZ10),175.0,Afeks,0.0,
05,construction,10 MM HORTUM UÇ,30.66,TasciYapi,,
05,construction,10 mm İskota İpek Örme Halat (138.01.OH10),10.5,Afeks,5.105105105105103,
05,construction,10 mm Lastik Halat (138.05.LH10),19.9,Afeks,0.0,
05,construction,100 ES PİS SU PVC KALDE 110X87,182.0,Yapimaks,0.0,
05,construction,100 KAYAR MANŞON PİS SU PVC KALDE,57.0,Yapimaks,0.0,
05,construction,100 KELEPÇE PİS SU PVC KALDE,21.0,Yapimaks,,
05,construction,100 LİK CONTA KALDE,4.0,Yapimaks,0.0,
05,construction,100 LÜK BANYO ASPİRATÖRÜ 12 WATT IŞILDAR,260.0,Yapimaks,0.0,
05,construction,100 Mm Mermer Delme Panç,1889.0,SanatYapi,,
05,construction,100 TAPA PİS SU KALDE,26.0,Yapimaks,0.0,
05,construction,100 TEMİZLEME PİS SU KALDE,145.0,Yapimaks,0.0,
05,construction,100/100 ÇATAL PİS SU PVC KALDE,115.0,Yapimaks,0.0,
05,construction,100/100 TE PİS SU PVC KALDE,100.0,Yapimaks,0.0,
05,construction,100/100/100 ÇİFT ÇATAL PİS SU PVC KALDE,178.0,Yapimaks,0.0,
05,construction,100/1000 PİS SU BORU KALDE,167.0,Yapimaks,0.0,
05,construction,100/150 PİS SU BORU KALDE,49.0,Yapimaks,0.0,
05,construction,100/2000 PİS SU BORU KALDE,278.0,Yapimaks,,
05,construction,100/250 PİS SU BORUSU KALDE,68.0,Yapimaks,0.0,
05,construction,100/3000 PİS SU BORU KALDE,411.0,Yapimaks,0.0,
05,construction,100/45 PİS SU PVC DİRSEK KALDE,48.0,Yapimaks,0.0,
05,construction,100/50 ÇATAL PİS SU PVC KALDE,66.0,Yapimaks,0.0,
05,construction,100/50 REDİKSİYON PİS SU PVC KALDE,35.0,Yapimaks,0.0,
05,construction,100/50 TE PİS SU PVC KALDE,77.0,Yapimaks,0.0,
05,construction,100/50/100 ÇİFT ÇATAL PİS SU PVC KALDE,109.0,Yapimaks,0.0,
05,construction,100/500 PİS SU BORU PPRC KALDE,111.0,Yapimaks,0.0,
05,construction,100/70 ÇATAL PİS SU PVC KALDE,93.0,Yapimaks,0.0,
05,construction,100/70 REDÜKSİYON PİS SU PVC KALDE,37.0,Yapimaks,0.0,
05,construction,100/90 PİS SU PVC DİRSEK KALDE,60.0,Yapimaks,0.0,
05,construction,1002-220V İkaz Kornası (Döküm),264.37,TasciYapi,,
05,construction,10040216,169.0,Bauhaus,30.0,
05,construction,10040217,39.9,Bauhaus,59.599999999999994,
05,construction,10040218,39.9,Bauhaus,59.599999999999994,
05,construction,10040219,39.9,Bauhaus,59.599999999999994,
05,construction,10040223,76.9,Bauhaus,53.80000000000001,
05,construction,10040228,64.9,Bauhaus,29.80000000000001,
05,construction,10040229,64.9,Bauhaus,29.80000000000001,
05,construction,10040230,64.9,Bauhaus,29.80000000000001,
05,construction,10040231,12.9,Bauhaus,29.000000000000004,
05,construction,10040232,12.9,Bauhaus,29.000000000000004,
05,construction,10040233,12.9,Bauhaus,29.000000000000004,
05,construction,10040238,44.9,Bauhaus,49.666666666666664,
05,construction,10040240,24.9,Bauhaus,24.499999999999993,
05,construction,10040244,39.9,Bauhaus,59.599999999999994,
05,construction,10040245,39.9,Bauhaus,59.599999999999994,
05,construction,10040246,39.9,Bauhaus,59.599999999999994,
05,construction,10072198,119.0,Bauhaus,0.0,
05,construction,10072201,119.0,Bauhaus,0.0,
05,construction,10073081,36.9,Bauhaus,5.730659025787966,
05,construction,10073082,39.9,Bauhaus,0.0,
05,construction,10073083,42.9,Bauhaus,7.518796992481203,
05,construction,10073084,64.9,Bauhaus,8.347245409015038,
05,construction,10073085,79.9,Bauhaus,5.270092226613966,
05,construction,10073086,109.0,Bauhaus,0.0,
05,construction,10073088,66.9,Bauhaus,3.081664098613251,
05,construction,10073332,65.0,Bauhaus,0.0,
05,construction,10073333,60.0,Bauhaus,0.0,
05,construction,10073334,60.0,Bauhaus,0.0,
05,construction,10073335,70.0,Bauhaus,0.0,
05,construction,10073336,70.0,Bauhaus,0.0,
05,construction,10073337,60.0,Bauhaus,0.0,
05,construction,10073338,60.0,Bauhaus,0.0,
05,construction,10073339,70.0,Bauhaus,0.0,
05,construction,10073340,65.0,Bauhaus,0.0,
05,construction,10073341,70.0,Bauhaus,0.0,
05,construction,10073342,90.0,Bauhaus,0.0,
05,construction,10073343,55.0,Bauhaus,0.0,
05,construction,10073344,60.0,Bauhaus,0.0,
05,construction,10073345,65.0,Bauhaus,0.0,
05,construction,10073346,65.0,Bauhaus,0.0,
05,construction,10073347,65.0,Bauhaus,0.0,
05,construction,10073348,65.0,Bauhaus,0.0,
05,construction,10073349,70.0,Bauhaus,0.0,
05,construction,10073350,80.0,Bauhaus,0.0,
05,construction,10073351,90.0,Bauhaus,0.0,
05,construction,10073352,65.0,Bauhaus,0.0,
05,construction,10073353,70.0,Bauhaus,0.0,
05,construction,10073354,65.0,Bauhaus,0.0,
05,construction,10073355,65.0,Bauhaus,0.0,
05,construction,10073356,70.0,Bauhaus,0.0,
05,construction,10073357,85.0,Bauhaus,0.0,
05,construction,10073358,95.0,Bauhaus,0.0,
05,construction,10073375,60.0,Bauhaus,0.0,
05,construction,10073378,65.0,Bauhaus,0.0,
05,construction,10073379,65.0,Bauhaus,0.0,
05,construction,10073380,65.0,Bauhaus,0.0,
05,construction,10073382,60.0,Bauhaus,0.0,
05,construction,10073383,65.0,Bauhaus,0.0,
05,construction,10073384,65.0,Bauhaus,0.0,
05,construction,10073385,70.0,Bauhaus,0.0,
05,construction,10073386,70.0,Bauhaus,0.0,
05,construction,10073388,75.0,Bauhaus,0.0,
05,construction,10073389,70.0,Bauhaus,0.0,
05,construction,10073390,70.0,Bauhaus,0.0,
05,construction,10073393,75.0,Bauhaus,0.0,
05,construction,10073394,65.0,Bauhaus,0.0,
