date,avg_hunger_threshold_TRY,median_hunger_threshold_TRY,min_hunger_threshold_TRY
Feb 2026,69512.36,36748.38,17852.73
Mar 2026,76787.46,36139.65,18047.07
Apr 2026,69125.48,35805.54,18559.08
May 2026,71052.99,38118.64,17020.33
