date,category,product,unit,monthly_qty,avg_unit_price_TRY,monthly_cost_TRY,n_matched,matched_products
Feb-23 2026,Fruits,Seasonal Fruit,Kg,12.9,144.68,1866.37,8,Nar kg; Çilek kg; Deveci Armut kg; Kivi kg; Kanlı Greyfurt kg; Red Globe Üzüm  kg; Armut Deveci Gurme Kg; Armut Santa Maria kg
Feb-23 2026,Vegetables,Onion,Kg,18.0,20.9,376.2,2,Soğan Kuru (Yeni Hasat) Kg; Soğan Gümüş Kg
Feb-23 2026,Vegetables,Eggplant / Zucchini,Kg,34.7,232.71,8075.04,8,Bostan Patlıcan kg; Sakız Kabak kg; Patlıcan Kemer Pazar; Erüs Mini Patlıcan; Erüst Mini Kabak 250 gr; Tat Közlenmis Patlıcan 520 G; Tat Patlıcan Salata Cam 520 G; Fersan Köz Patlıcan 650 g
Feb-23 2026,Vegetables,Other Vegetables,Kg,14.8,507.18,7506.26,21,Mantar 300 g; Kırmızı Lahana kg; Enginar Soyulmuş 5'li; Beyaz Lahana kg; Ispanak kg; Brokoli  kg; Mantar Kestane 350 g; Paket Ispanak 700 g; Mantar İstiridye 200 g; Dilim Mantar 400 g; Mantar Izgaralık 1000 g; Mantar 300 g; Erüst Mini Ispanak 150 g Adet; Erüst Mini Çin Lahanası 2'li; Eurofresh Yıkanmış Hazır Kök Ispanak 500 g; Erüst Mini Ispanak 150 g Adet; Napoli Antica Trüf Mantarlı Tereyağı 125 g; Napoli Antica Trüf Mantarlı Tereyağı 200 g; Tat Enginar 610 G; Casa Verde Enginar Kalbi 280 g; Meze Mantar Salatası Kg
Feb-23 2026,Oils,Olive Oil,Liter,1.0,540.74,540.74,43,"Yudum Egemden Sızma Zeytinyağı Yumuşak Lezze…; Tariş Kuzey Ege Sızma Zeytinyağı 2 Lt; Yudum Egemden Riviera Zeytinyağı 1 Litre; Komili Ege Sızma Yumuşak Zeytinyağı 2 Lt; Carrefour Selection Erken Hasat Soğuk Sıkım …; Carrefour Selection Naturel Sızma Zeytinyağı…; Yudum Egemden Riviera Zeytinyağı 5 lt; Yudum Egemden Natürel Sızma Zeytinyağı 500 ml; Kristal Natürel Sızma Zeytinyağı 1 Lt; Tariş Kuzey Ege Sızma Zeytinyağı 1 Litre; Tariş Güney Ege Sızma Zeytinyağı 1 Lt; Tariş Naturel Sızma Zeytinyağı 750 ml; Komili Sızma Meyvemsi Zeytinyağı 500 ml; Komili Riviera Zeytinyağı 500 ml; Carrefour Selection Naturel Sızma Zeytinyağı…; Kristal Sızma Zeytinyağı 500 ml; Zeytin İskelesi Naturel Sızma Zeytinyağı 0,5…; Tariş Riviera Zeytinyağı 2 Lt; Zeytin İskelesi Naturel Sızma Zeytinyağı 1 L…; Yudum Egemden Sızma Zeytinyağı Yumuşak Lezze…; Yudum Egemden Naturel Sızma Zeytinyağı Yoğun…; Yudum Egemden Natural Sızma Zeytinyağı Yumuş…; Zeytin İskelesi Naturel Sızma Zeytinyağı 2 Lt; Komili Riviera Zeytinyağı 1lt; Tariş Kuzey Ege Sızma Zeytinyağı 750 ml; Tariş Naturel Sızma Zeytinyağı 500 ml; Kristal Ayvalık Sızma Zeytinyağı 500 ml; Kristal Natürel Sızma Zeytinyağı 2 Lt; Tariş Erkence Zeytinyağı 500 ml; Kristal Riviera Zeytinyağı 1 Lt; Tariş Güney Ege Sızma Zeytinyağı Cam 750 ml; Komili Ege Sızma Yumuşak Zeytinyağı 500 ml; Komili Sızma Meyvemsi Zeytinyağı 1 Litre; Komili Sızma Meyvemsi Zeytinyağı 2 Lt; Komili Banmalık Natürel Sızma Zeytinyağı 1 L…; Marmarabirlik Natürel Sızma Zeytinyağı Pet Ş…; Yudum Egemden Sızma Zeytinyağı Ayvalıklı Kad…; Yudum Egemden Soğuk Sıkım Natürel Sızma Zeyt…; Yudum Egemden Özel Tasarım Organik Sızma Zey…; Yudum Egemden Erken Hasat Natürel Sızma Zeyt…; Zeytin İskelesi Organik Sızma Zeytinyağı 1 Lt; Zeytin İskelesi Organik Sızma Zeytinyağı 1 Lt; Zeytin İskelesi Organik Sızma Zeytinyağı 0.5…"
Feb-27 2026,Dairy Products,Yogurt,Kg,59.7,146.74,8760.38,32,"İçim Doğal Kaymaksız Yoğurt 2000 Gr; Carrefour Tam Yağlı Yoğurt 1,5 Kg; Sütaş Kaymaksız Yoğurt 2 kg; Carrefour Az Yağlı Yoğurt 3 Kg; Eker Kaymaksız Yoğurt 2000 Gr; Eker Yoğurt Efsane 750 G; Yörüksüt Yarım Yağlı Yoğurt 3000 g; İçim Doğal Yoğurt 1200 Gr; İçim Homojenize Doğal Yoğurt 500 Gr; Carrefour Yarım Yağlı Yoğurt 2,5 Kg; İçim Kaymaksız Yoğurt 1000 Gr; Sütaş Homojenize Yoğurt 1000 g; Sütaş Homojen Yoğurt 600 g; Eker Bidon Yoğurt 2000 Gr; Yörüksüt Doğal Yoğurt 750 g; Yörüksüt Bidon Yoğurt 2000 Gr; İçim Doğal Yoğurt 750 G; Eker Efsane Yoğurt 350 G; Yörüksüt Çömlek Yoğurt 700 g; Sek %0,6 Yağlı Light Yoğurt 500 g; Pınar Yoğurt 150 G; Eker Tam Yağlı Yoğurt 200 Gr; Sek Çiftlik Kaymaksız Yoğurt 450 G; Sek Çiftlik Kaymaksız Yoğurt 1200 Gr; Sek Çiftlik Kaymaksız Yoğurt 900 Gr; Eker Homojenize Yoğurt 1500 Gr; Sütaş Light Yoğurt 650 g; Eker Efsane Yoğurt 1250 G; Pınar Doğal Yoğurt 500 Gr; Lay’S Yoğurt & Mevsim Yeşillikli Parti Boy 1…; Lay’S Yoğurt & Mevsim Yeşillikleri Süper Boy…; Züber Noutos Yoğurt Ve Mevsim Yeşillikleri 5…"
Feb-27 2026,Dairy Products,White Cheese,Kg,5.3,540.43,2864.28,33,Carrefour Olgunlaştırılmış Beyaz Peynir 600 …; Carrefour Tam Yağlı Taze Beyaz Peynir 500 Gr; Bahçıvan Tam Yağlı Taze Beyaz Peynir 900 Gr; Ekici Beyaz Peynir Tam Yağlı 500 Gr; Ünal Klasik Beyaz Peynir Kg; Ekici Tam Yağlı Beyaz Peynir 800 g; Sütaş Tam Yağlı Beyaz Peynir 500 g; Carrefour Taze Beyaz Peynir 200 Gr; Sütaş Beyaz Peynir 250 g; Altınkılıç Tam Yağlı Otlu Beyaz Peynir 100 Gr; Carrefour Tam Yağlı Taze Beyaz Peynir 1000 Gr; Tahsildaroğlu Klasik İnek Beyaz Peynir 500 Gr; Ünal Olgunlaştırılmış Beyaz Peynir 500 g; Ekici Tam Yağlı Olgunlaştırılmış Beyaz Peyni…; Ekici Tam Yağlı Beyaz Peynir Kg; Sütaş Beyaz Peynir 900 g; İ-Anatolia Ezine Beyaz Peyniri 200 g; Calmio Tam Yağlı Beyaz Peynir Kg; Tahsildaroğlu Klasik İnek Beyaz Peyniri Kg; Ekici Klasik Beyaz Peynir Kg; İçim Kutu Beyaz Peynir 500 Gr; Bahçıvan Gurme Beyaz Peynir 450 G; İçim Beyaz Peynir 900 Gr; Carrefour Olgunlaştırılmış Beyaz Peynir 350 G; Carrefour Otlu Beyaz Peynir 250 G; Antre Gourmet Ezine Beyaz Peynir Kg; Antre Gourmet Beyaz Peynir (Keçi); Sek Tam Yağlı Beyaz Peynir 800 Gr; İ-Anatolia Edirne Beyaz Peyniri 200 g; Furora Anatolian White Vegan Beyaz Peynir 45…; İ-Anatolia Klasik Beyaz Peynir Kg; Boyacıoğulları Ömür Taze Otlu Beyaz Peyniri …; Peysan Taze Beyaz Peynir Az Yağlı 800 g
Feb-27 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,3.3,939.9,3101.67,2,Dana Kuşbaşı Kg; Kuzu Kuşbaşı Kg
Feb-27 2026,Meat and Protein,Chicken,Kg,7.0,192.6,1348.2,40,Banvit Piliç Baget Kg; Banvit İftarlık İri Piliç Kg; Banvit Tabaklı Piliç Izgara Kanat Kg; Banvit Poşetli Bütün Piliç Kg; Lezita Taze Poşetli Bütün Piliç Kg; Banvit Piliç Pirzola Kg; Lezita Izgara Dilimli Piliç Fileto 120 G; Beypiliç Poşetli Bütün Piliç Kg; Banvit Bütün Piliç XL Kg; Banvit Bütün Piliç Kg; Beypiliç Tabaklı Bonfile; Beypiliç Tabaklı Baget; Erpiliç Tabaklı Bonfile Kg; Gedik Poşetli Bütün Piliç; Banvit Piliç Nuget 300 Gr; Beypiliç Tabaklı But; Beypiliç Tabaklı Pirzola; Banvit Piliç Nuget 700 Gr; Erpiliç Tabaklı Baget Kg; Bupiliç Tabak But Pirzola kg; Beypiliç Tabaklı Biftek Izgara; Lezita Dondurulmuş Jumbo Piliç Fileto 700 Gr; Erpiliç Tabaklı Kanat Izgara; Beypiliç Tabaklı Kanat Izgara; Beypiliç Donuk Pekin Ördeği Bütün Kg; Yılbaşı Piliç (Roaster) Kg; Erpiliç Kalçalı But Kg; Erpiliç Tabaklı Ciğer Yürek; Erpiliç Tabaklı But Izgara Kg; Erpiliç Tabaklı Üst Kanat; Erpiliç Tabaklı Taşlık; Beypiliç Tabaklı Ciğer; Beypiliç Piliç Fileto Kg; Beypiliç Tabaklı Taşlık; Lezita Farmelia Poşetli Piliç Kg; Erpiliç Tabaklı Kırlangıç Piliç Bonfile kg; Erpiliç Schitzel 800 gr; Erpiliç Derili But Pirzola Tabak; Erpiliç Poşetli Bütün Piliç; Pınar Piliç Şnitzel 415 Gr
Feb-27 2026,Meat and Protein,Fish,Kg,5.1,701.27,3576.48,7,Norveç Somon Dilim kg; Levrek 400-600 g; Levrek 600-800 g; Levrek 300-400 g; Levrek 800-1000 g; Mezzemarin Soslu Hamsi 200 g; Balık Dünyası Dondulmuş Hamsi 500 g
