Weekly Inflation(%),Date
0.214423798344467,5-1
0.2151557324182617,5-2
0.2139044274774292,5-3
0.21535809517101534,5-4
0.009049792808067378,5-5
0.22679472635218392,5-6
0.21839344332559968,5-7
0.020932726800298375,5-8
-0.20542749768780227,5-9
