Product Name,Product Cost,Rooms
Yakutiye / Terminal,8000.0,2+1
Palandöken,8250.0,3+1
Aşkale,8500.0,2+1
Aziziye / Merkez,9000.0,2+1
Yakutiye / Terminal,7500.0,4+1
Palandöken / Yıldızkent,7500.0,2+1
Aziziye / Merkez,6000.0,3+1
Yakutiye / Merkez,8000.0,Stüdyo (1+0)
Yakutiye / Lalapaşa,8000.0,2+1
Yakutiye / Terminal,9500.0,1+1
Palandöken,9500.0,2+1
Yakutiye / Yağan,6000.0,2+1
Yakutiye / Terminal,7250.0,3+1
Palandöken / Yenişehir,9750.0,3+1
Yakutiye / Yağan,9500.0,2.5+1
Yakutiye / Terminal,7500.0,2+1
Yakutiye / Lalapaşa,9500.0,2+1
Palandöken / Yıldızkent,8500.0,2+1
Palandöken / Yenişehir,5500.0,3+1
Yakutiye / Merkez,8500.0,2+1
Palandöken / Yenişehir,9000.0,3+1
Palandöken,8750.0,3+1
Yakutiye / Yağan,7000.0,2+1
Palandöken / Yenişehir,9000.0,3+1
Yakutiye / Merkez,9000.0,3+1
Palandöken,6000.0,2+1
Palandöken,6000.0,3+1
Yakutiye / Terminal,8000.0,1+1
Yakutiye / Terminal,6000.0,1+1
Palandöken,8500.0,2+1
Palandöken,9800.0,3+1
Yakutiye / Yağan,9500.0,2+1
Yakutiye / Terminal,8000.0,1+1
Yakutiye / Yağan,8500.0,2+1
Palandöken / Yenişehir,9400.0,3+1
Palandöken,8500.0,3+1
Palandöken,9100.0,3+1
Palandöken / Yenişehir,7500.0,3+1
Yakutiye / Lalapaşa,9500.0,3+1
Yakutiye / Yağan,9000.0,3+1
Palandöken / Yenişehir,9000.0,1+1
Aziziye / Dadaşkent,8500.0,Stüdyo (1+0)
Palandöken,8500.0,3.5+1
Palandöken / Yıldızkent,6500.0,6+3
Aziziye / Merkez,7500.0,2+0
Palandöken / Yenişehir,9000.0,3+1
Palandöken / Yenişehir,9000.0,2+1
Palandöken,8500.0,1+1
Yakutiye / Lalapaşa,8000.0,3+1
Yakutiye / Merkez,9500.0,2+1
Palandöken / Yıldızkent,7750.0,2+1
Yakutiye / Yağan,8500.0,3+1
Yakutiye / Lalapaşa,9000.0,2+1
Aziziye / Merkez,8500.0,2+1
Yakutiye / Terminal,8500.0,1+1
Aziziye / Merkez,7000.0,3+1
Yakutiye / Terminal,8000.0,1+1
Yakutiye / İstasyon,8500.0,1+1
Yakutiye / Merkez,9000.0,2+1
Yakutiye / İstasyon,3000.0,2+1
Palandöken / Yenişehir,7000.0,3+1
Yakutiye / İstasyon,6500.0,3+1
Yakutiye / Terminal,8500.0,3+1
Yakutiye / Terminal,7000.0,1+1
Palandöken / Yıldızkent,9000.0,Stüdyo (1+0)
Palandöken / Yenişehir,9500.0,3+1
Palandöken,5500.0,5+1
Yakutiye / Terminal,9000.0,1+1
Yakutiye / İstasyon,7700.0,3+1
Palandöken / Yıldızkent,7500.0,2+1
Palandöken / Yıldızkent,9500.0,2+1
Palandöken,7750.0,3+1
Yakutiye / Lalapaşa,8000.0,3+1
Yakutiye / Terminal,8000.0,1+1
Yakutiye / Terminal,6500.0,1+1
Aşkale,8500.0,3+1
Palandöken,6000.0,3+1
Aziziye / Merkez,8500.0,3+1
Yakutiye / Terminal,8000.0,1+1
Palandöken,4750.0,1+1
Yakutiye / Yağan,9500.0,2+1
Aziziye / Merkez,4500.0,1+1
Palandöken / Yıldızkent,7000.0,10+2
Yakutiye / İstasyon,8000.0,2+1
Aziziye / Merkez,8500.0,2+1
Aziziye / Merkez,9000.0,2+1
Aziziye / Merkez,7500.0,1+1
Aziziye / Merkez,7000.0,3+1
Yakutiye / Merkez,8000.0,4+1
Yakutiye / Lalapaşa,8200.0,3+1
Yakutiye / Yağan,8000.0,2+1
Palandöken,9000.0,3+1
Palandöken,8500.0,3+1
Palandöken,9000.0,3+1
Palandöken / Yenişehir,9000.0,3+1
Aziziye / Merkez,9000.0,2+1
Aziziye / Merkez,8000.0,3+1
Aziziye / Merkez,9900.0,3+1
Yakutiye / Terminal,6000.0,1+1
Yakutiye / Terminal,7250.0,1+1
Palandöken / Yenişehir,6000.0,2+1
Palandöken / Yıldızkent,15000.0,2+1
Yakutiye / Merkez,16000.0,3+1
Yakutiye / İstasyon,17900.0,3+1
Yakutiye / İstasyon,16000.0,2+1
Yakutiye / Lalapaşa,18500.0,3+1
Yakutiye / Yağan,11500.0,3+1
Palandöken / Yıldızkent,16500.0,2+1
Yakutiye / Merkez,19000.0,3+1
Yakutiye / Merkez,14000.0,3+1
Yakutiye / Lalapaşa,12500.0,1+1
Palandöken,10500.0,3+1
Palandöken,12750.0,2+1
Yakutiye / Terminal,16500.0,3+1
Aziziye / Merkez,17000.0,1+1
Palandöken / Yıldızkent,16750.0,2+1
Yakutiye / Lalapaşa,16500.0,3+1
Palandöken,15100.0,2+1
Palandöken / Yenişehir,12500.0,3+1
Yakutiye / Lalapaşa,18500.0,3+1
Yakutiye / Merkez,11000.0,3+1
Palandöken / Yenişehir,10500.0,3+1
Palandöken,14000.0,3+1
Yakutiye / Yağan,14500.0,3+1
Palandöken / Yıldızkent,18500.0,1+1
Palandöken,16000.0,3+1
Palandöken / Yenişehir,16500.0,3+1
Yakutiye / İstasyon,15750.0,3+1
Aziziye / Dadaşkent,16500.0,1+1
Yakutiye / Terminal,19000.0,3+1
