Product Name,Product Cost,Rooms
Yakutiye / İstasyon,7500.0,2+1
Yakutiye / Terminal,8000.0,1+1
Palandöken / Yenişehir,7000.0,3+1
Oltu,8000.0,2+1
Palandöken,9750.0,3+1
Yakutiye / Terminal,8000.0,1+1
Palandöken,8000.0,3+1
Aziziye / Dadaşkent,8500.0,Stüdyo (1+0)
Palandöken / Yıldızkent,8450.0,2+1
Palandöken,8500.0,3+1
Palandöken / Yenişehir,5500.0,2+1
Palandöken,7000.0,3+1
Palandöken,8500.0,1+1
Palandöken / Yenişehir,8500.0,3+1
Palandöken / Yıldızkent,6500.0,6+3
Palandöken / Yıldızkent,8500.0,2+1
Yakutiye / İstasyon,7000.0,2+1
Palandöken,9000.0,3+1
Palandöken / Yenişehir,8500.0,3+1
Palandöken,8000.0,2+1
Palandöken,9500.0,3+1
Palandöken,9500.0,3+1
Palandöken,8500.0,3+1
Yakutiye / Lalapaşa,9000.0,2+1
Palandöken / Yenişehir,9500.0,3+1
Palandöken,8500.0,2+1
Aziziye / Merkez,9000.0,2+1
Palandöken / Yenişehir,9750.0,3+1
Palandöken,8500.0,2+1
Aziziye / Merkez,8500.0,3+1
Aziziye / Merkez,7000.0,2+1
Palandöken / Yenişehir,9000.0,3+1
Yakutiye / Merkez,7500.0,1+1
Yakutiye / Lalapaşa,9000.0,3+1
Palandöken,5500.0,5+1
Yakutiye / Merkez,8500.0,2+1
Yakutiye / Yağan,9000.0,3+1
Aziziye / Merkez,8500.0,3+1
Palandöken / Yenişehir,3000.0,3+1
Yakutiye / İstasyon,6500.0,3+1
Yakutiye / Merkez,8750.0,3+1
Aziziye / Merkez,9500.0,2+1
Yakutiye / Terminal,5500.0,1+1
Yakutiye / Lalapaşa,9500.0,3+1
Yakutiye / Lalapaşa,8999.0,3+1
Aziziye / Merkez,5750.0,1+1
Palandöken,9000.0,3+1
Palandöken,6000.0,2+1
Aşkale,8500.0,3+1
Palandöken,9500.0,2+1
Palandöken / Yenişehir,9000.0,3+1
Aziziye / Merkez,7500.0,1+1
Yakutiye / Lalapaşa,9500.0,3+1
Palandöken,8000.0,3+1
Aziziye / Merkez,4500.0,1+1
Aziziye / Merkez,8500.0,3+1
Palandöken,7500.0,2+1
Aziziye / Merkez,8000.0,3+1
Yakutiye / Terminal,8000.0,1+1
Yakutiye / Merkez,9000.0,3+1
Yakutiye / Merkez,8000.0,Stüdyo (1+0)
Yakutiye / Terminal,7000.0,1+1
Palandöken,5250.0,1+1
Palandöken / Yenişehir,9000.0,3+1
Yakutiye / Merkez,9500.0,2+1
Aziziye / Merkez,8000.0,3+1
Yakutiye / Lalapaşa,7000.0,Stüdyo (1+0)
Yakutiye / Yağan,7250.0,2+1
Yakutiye / Terminal,6900.0,2+1
Yakutiye / Merkez,8750.0,2+1
Yakutiye / Merkez,8500.0,Stüdyo (1+0)
Aziziye / Merkez,8500.0,1+1
Yakutiye / Yağan,7500.0,2+1
Aşkale,8000.0,2+1
Aziziye / Merkez,9000.0,2+1
Yakutiye / Terminal,7500.0,1+1
Palandöken,8500.0,3+1
Yakutiye / Lalapaşa,7500.0,Stüdyo (1+0)
Palandöken / Yenişehir,8000.0,3+1
Yakutiye / Yağan,9000.0,2+1
Horasan,7000.0,3+1
Palandöken,8250.0,3+1
Aziziye / Merkez,7500.0,2+0
Yakutiye / Merkez,8500.0,4+1
Yakutiye / İstasyon,9000.0,2+1
Palandöken / Yenişehir,9400.0,3+1
Yakutiye / Terminal,8500.0,1+1
Palandöken,2000.0,3+1
Palandöken,9000.0,3+1
Yakutiye / Lalapaşa,8000.0,3+1
Yakutiye / Terminal,7000.0,2+1
Palandöken,9000.0,3+1
Aziziye / Merkez,8500.0,3+1
Karaçoban,8000.0,3+1
Palandöken,8600.0,1+1
Yakutiye / Lalapaşa,8200.0,3+1
Aziziye / Merkez,9000.0,2+1
Palandöken / Yenişehir,7500.0,3+1
Palandöken / Yenişehir,9000.0,2+1
Yakutiye / İstasyon,8500.0,1+1
Aziziye / Merkez,8000.0,3+1
Palandöken / Yenişehir,9000.0,3+1
Aziziye / Merkez,9900.0,3+1
Yakutiye / Yağan,8000.0,3+1
Aşkale,8500.0,2+1
Palandöken,9900.0,1+1
Yakutiye / Yağan,4000.0,4+1
Yakutiye / Lalapaşa,7000.0,2+1
Yakutiye / Yağan,9500.0,2+1
Palandöken,9500.0,3+1
Aziziye / Merkez,8750.0,2+1
Palandöken,8500.0,3+1
Palandöken / Yenişehir,9500.0,3+1
Aziziye / Merkez,6500.0,3+1
Yakutiye / Terminal,7250.0,3+1
Yakutiye / Terminal,7500.0,1+1
Palandöken,9000.0,2+1
Aziziye / Merkez,17500.0,1+1
Yakutiye / İstasyon,16000.0,2+1
Palandöken / Yenişehir,13000.0,3+1
Yakutiye / Merkez,13000.0,3+1
Palandöken / Yıldızkent,17000.0,2+1
Yakutiye / Lalapaşa,19500.0,3+1
Palandöken,10500.0,3+1
Aziziye / Merkez,12750.0,1+1
Palandöken / Yenişehir,10000.0,3+1
Palandöken / Yıldızkent,16500.0,2+1
Yakutiye / İstasyon,16000.0,1+1
Palandöken,10000.0,3+1
Yakutiye / Terminal,18500.0,3+1
Yakutiye / Terminal,16500.0,3+1
Palandöken / Yıldızkent,19500.0,3+1
Palandöken / Yıldızkent,18000.0,1+1
Palandöken / Yıldızkent,12000.0,3+1
Palandöken / Yıldızkent,16500.0,1+1
Yakutiye / Merkez,18500.0,1+1
Palandöken / Yenişehir,13500.0,2+1
Horasan,15500.0,3+1
Palandöken,12500.0,3+1
Yakutiye / Terminal,17500.0,3+1
Aziziye / Merkez,12000.0,2+1
Yakutiye / Terminal,13000.0,2+1
Aziziye / Merkez,15500.0,2+0
Palandöken / Yenişehir,14000.0,2+1
Palandöken,10000.0,3+1
Palandöken,13250.0,3+1
Palandöken / Yıldızkent,14750.0,2+1
Palandöken,11000.0,3+1
Yakutiye / Lalapaşa,19500.0,3+1
Palandöken,15500.0,2+1
Palandöken / Yenişehir,14000.0,3+1
Yakutiye / Terminal,14500.0,3+1
Oltu,17000.0,3+1
Aziziye / Merkez,19000.0,1+1
Palandöken,10000.0,3+1
Palandöken / Yıldızkent,14500.0,3+1
Yakutiye / Lalapaşa,12500.0,2+1
Yakutiye / Yağan,14000.0,3+1
Palandöken / Yenişehir,12000.0,3+1
Aziziye / Merkez,16000.0,3+1
Yakutiye / İstasyon,15000.0,1+1
Yakutiye / Terminal,16200.0,3+1
Yakutiye / Merkez,16500.0,1+1
Aziziye / Merkez,12500.0,3+1
Yakutiye / Merkez,16500.0,3+1
Palandöken / Yıldızkent,16500.0,2+1
Palandöken / Yenişehir,15750.0,3+1
Aziziye / Merkez,17000.0,1+1
Palandöken / Yıldızkent,17000.0,2+1
Palandöken / Yenişehir,12000.0,3+1
Yakutiye / Merkez,10000.0,3+1
Palandöken,11500.0,3+1
Palandöken / Yenişehir,10000.0,3+1
Aziziye / Merkez,17500.0,1+1
Yakutiye / Terminal,15500.0,3+1
Aziziye / Dadaşkent,12750.0,1+1
Aziziye / Merkez,18500.0,1+1
Palandöken / Yenişehir,11500.0,3+1
Yakutiye / Merkez,16000.0,3+1
Palandöken,14000.0,2+1
Aziziye / Merkez,12000.0,2+1
Pasinler,10000.0,2+1
Yakutiye / Merkez,14750.0,3+1
Aziziye / Merkez,14500.0,1+1
Palandöken / Yenişehir,17000.0,2+1
Aziziye / Merkez,18000.0,2+1
Palandöken / Yıldızkent,14500.0,2+1
Aziziye / Merkez,19000.0,2+1
Yakutiye / Terminal,18000.0,3+1
Palandöken / Yıldızkent,12500.0,3+1
Yakutiye / Lalapaşa,10000.0,1+1
Aziziye / Merkez,14000.0,1+1
Yakutiye / Merkez,18000.0,2+1
Yakutiye / İstasyon,18500.0,3+1
Yakutiye / İstasyon,15000.0,2+1
Yakutiye / Terminal,13000.0,3+1
Yakutiye / Terminal,17250.0,3+1
Palandöken / Yenişehir,10000.0,3+1
Yakutiye / İstasyon,19000.0,2+1
Yakutiye / Merkez,16200.0,3+1
Palandöken / Yıldızkent,15500.0,1+1
Aziziye / Merkez,18000.0,1+1
Aziziye / Merkez,18000.0,3+1
Yakutiye / Merkez,14000.0,2+1
Palandöken / Yenişehir,19500.0,3+1
Palandöken / Yıldızkent,13000.0,1+1
Oltu / Yağan,15000.0,2+1
Palandöken,12000.0,2+1
Yakutiye / Terminal,17500.0,3+1
Yakutiye / İstasyon,16500.0,3+1
Palandöken / Yıldızkent,14900.0,2+1
Palandöken,12500.0,3+1
Aziziye / Merkez,15000.0,1+1
Yakutiye / Terminal,10000.0,1+1
Aziziye / Merkez,11000.0,1+1
Yakutiye / Terminal,17500.0,3+1
Palandöken,17500.0,3+1
Palandöken / Yenişehir,11000.0,3+1
Aziziye / Merkez,11000.0,2+1
Yakutiye / Lalapaşa,17500.0,3+1
Palandöken / Yıldızkent,13000.0,1+1
Palandöken / Yenişehir,14500.0,2+1
Palandöken / Yıldızkent,19500.0,3+1
Aziziye / Dadaşkent,12000.0,2+1
Aziziye / Merkez,16000.0,2+1
Yakutiye / Terminal,16250.0,3+1
Yakutiye / Terminal,16000.0,3+1
Yakutiye / İstasyon,14000.0,3+1
Palandöken,14000.0,3+1
Yakutiye / Terminal,17500.0,3+1
Palandöken / Yenişehir,10500.0,3+1
Aziziye / Merkez,18500.0,1+1
Palandöken,15500.0,2+1
Aziziye / Merkez,18000.0,2+1
Yakutiye / Terminal,15500.0,3+1
Aziziye / Merkez,17000.0,1+1
Yakutiye / İstasyon,15000.0,3+1
Palandöken / Yenişehir,10000.0,2+1
Palandöken / Yıldızkent,14250.0,2+1
Yakutiye / Lalapaşa,14500.0,2+1
Palandöken / Yenişehir,11900.0,3+1
Yakutiye / Merkez,18350.0,3+1
Yakutiye / Terminal,15500.0,3+1
Palandöken,15000.0,4+1
