Product Name,Product Cost,Rooms
Yakutiye / Terminal,7500.0,1+1
Yakutiye / Terminal,8000.0,2+1
Palandöken,8500.0,1+1
Palandöken / Yenişehir,9900.0,2+1
Palandöken / Yenişehir,9000.0,3+1
Aziziye / Merkez,7500.0,2+0
Yakutiye / İstasyon,8500.0,1+1
Yakutiye / Terminal,8500.0,1+1
Palandöken,7750.0,3+1
Palandöken / Yenişehir,7000.0,3+1
Palandöken / Yenişehir,9500.0,3+1
Palandöken / Yenişehir,7500.0,3+1
Palandöken / Yıldızkent,9500.0,2+1
Palandöken,9500.0,3+1
Yakutiye / Merkez,7500.0,1+1
Aziziye / Merkez,8500.0,2+1
Yakutiye / Terminal,7500.0,1+1
Yakutiye / Yağan,9500.0,3+1
Yakutiye / Yağan,9000.0,2+1
Yakutiye / İstasyon,7700.0,3+1
Aziziye / Merkez,9000.0,2+1
Yakutiye / Merkez,9750.0,2+1
Yakutiye / Terminal,8500.0,3+1
Yakutiye / İstasyon,7000.0,2+1
Yakutiye / İstasyon,6500.0,3+1
Yakutiye / Terminal,9000.0,1+1
Palandöken / Yenişehir,8750.0,3+1
Yakutiye / Terminal,8000.0,1+1
Palandöken,5500.0,5+1
Yakutiye / Merkez,8000.0,Stüdyo (1+0)
Aziziye / Merkez,6500.0,3+1
Palandöken,7000.0,2+1
Palandöken,7000.0,2+1
Aşkale,8500.0,3+1
Yakutiye / Yağan,9500.0,2+1
Yakutiye / Lalapaşa,8200.0,3+1
Yakutiye / Terminal,7500.0,2+1
Palandöken,8500.0,2+1
Aziziye / Merkez,9000.0,2+1
Yakutiye / Yağan,9500.0,2.5+1
Yakutiye / İstasyon,8000.0,2+1
Aziziye / Merkez,4500.0,1+1
Palandöken / Yıldızkent,7000.0,10+2
Yakutiye / Terminal,4500.0,3+1
Yakutiye / Lalapaşa,9500.0,2+1
Yakutiye / Merkez,9000.0,3+1
Palandöken / Yenişehir,8000.0,3+1
Yakutiye / Terminal,6500.0,1+1
Palandöken / Yenişehir,7250.0,2+1
Yakutiye / Yağan,9500.0,2+1
Yakutiye / Terminal,8000.0,1+1
Palandöken,8500.0,2+1
Aziziye / Merkez,7500.0,1+1
Palandöken,8500.0,3+1
Aziziye / Merkez,9000.0,2+1
Yakutiye / Lalapaşa,8750.0,3+1
Aziziye / Merkez,5500.0,2+1
Aziziye / Merkez,9000.0,2+1
Yakutiye / Terminal,9500.0,1+1
Aziziye / Dadaşkent,8500.0,Stüdyo (1+0)
Palandöken,8500.0,3+1
Palandöken,9000.0,3+1
Yakutiye / Lalapaşa,9500.0,3+1
Aziziye / Merkez,8000.0,1+1
Yakutiye / Lalapaşa,9000.0,3+1
Palandöken / Yıldızkent,7500.0,2+1
Aziziye / Merkez,7000.0,2+1
Palandöken,9000.0,3+1
Aşkale,9000.0,3+1
Yakutiye / Yağan,4000.0,4+1
Yakutiye / Terminal,8000.0,1+1
Aşkale,8000.0,2+1
Palandöken / Yenişehir,7500.0,2+1
Yakutiye / Terminal,9000.0,1+1
Aziziye / Merkez,9000.0,2+1
Palandöken / Yıldızkent,9000.0,Stüdyo (1+0)
Aşkale,8500.0,2+1
Yakutiye / Terminal,6900.0,1+1
Yakutiye / Terminal,7500.0,4+1
Yakutiye / Terminal,8000.0,1+1
Palandöken,9500.0,2+1
Palandöken / Yenişehir,9750.0,3+1
Palandöken / Yıldızkent,7500.0,2+1
Yakutiye / Yağan,6000.0,2+1
Palandöken / Yenişehir,5500.0,3+1
Palandöken / Yenişehir,9000.0,3+1
Yakutiye / Terminal,9000.0,1+1
Aziziye / Merkez,8000.0,3+1
Yakutiye / Yağan,9500.0,3+1
Palandöken,6000.0,3+1
Palandöken,9800.0,3+1
Yakutiye / Yağan,9500.0,2+1
Yakutiye / Yağan,8500.0,2+1
Palandöken,9100.0,3+1
Palandöken / Yenişehir,7000.0,3+1
Aziziye / Merkez,8500.0,2+1
Palandöken / Yıldızkent,7500.0,2+1
Palandöken / Yenişehir,6000.0,2+1
Aziziye / Merkez,15000.0,1+1
Yakutiye / İstasyon,17900.0,3+1
Yakutiye / İstasyon,19500.0,2+1
Palandöken,13000.0,3+1
Yakutiye / Merkez,18000.0,3+1
Yakutiye / İstasyon,16000.0,2+1
Aziziye / Merkez,15750.0,3+1
Yakutiye / Terminal,16000.0,2+1
Palandöken / Yenişehir,11500.0,3+1
Aziziye / Merkez,17500.0,1+1
Yakutiye / Yağan,16000.0,3+1
Yakutiye / Lalapaşa,19800.0,3+1
Horasan,14500.0,3+1
Palandöken / Yenişehir,17000.0,3+1
Horasan / Bağbaşı,15000.0,3+1
Yakutiye / Merkez,16000.0,3+1
Yakutiye / Terminal,15000.0,3+1
Yakutiye / Terminal,14400.0,2+1
Yakutiye / Merkez,15000.0,3+1
Palandöken / Yıldızkent,19000.0,3+1
Palandöken / Yıldızkent,17000.0,3+1
Yakutiye / Merkez,18500.0,3+1
Palandöken / Yıldızkent,16500.0,2+1
Yakutiye / Merkez,17500.0,3+1
Palandöken / Yıldızkent,16500.0,2+1
Yakutiye / Terminal,12500.0,3+1
Palandöken,14000.0,3+1
Yakutiye / Terminal,18900.0,2+1
Palandöken / Yenişehir,13500.0,3+1
Palandöken,13250.0,3+1
Palandöken / Yıldızkent,17000.0,1+1
Palandöken,15000.0,2+1
Palandöken,17500.0,3+1
Yakutiye / İstasyon,17500.0,1+1
Palandöken,15500.0,3+1
Yakutiye / Lalapaşa,14750.0,1+1
Palandöken / Yıldızkent,15500.0,1+1
Palandöken / Yenişehir,12000.0,3+1
Palandöken,12000.0,3+1
Aziziye / Merkez,17000.0,2+1
Yakutiye / Yağan,18500.0,3+1
Palandöken,10000.0,3+1
Palandöken / Yenişehir,10000.0,3+1
Aziziye / Merkez,16000.0,2+0
Aziziye / Merkez,17000.0,Stüdyo (1+0)
Yakutiye / Lalapaşa,15500.0,2+1
Yakutiye / Lalapaşa,10500.0,3+1
Yakutiye / Terminal,18800.0,3+1
Palandöken / Yenişehir,12000.0,3+1
Yakutiye / Terminal,18000.0,3+1
Yakutiye / Terminal,10500.0,1+1
Aziziye / Merkez,13750.0,3+1
Aziziye / Merkez,17000.0,1+1
Yakutiye / Terminal,14000.0,2+1
Palandöken,18150.0,3+1
Palandöken / Yenişehir,14950.0,3+1
Yakutiye / Terminal,15000.0,2+1
Yakutiye / İstasyon,13000.0,3+1
Aziziye / Merkez,18500.0,1+1
Aziziye / Merkez,12500.0,1+1
Yakutiye / Lalapaşa,18500.0,1+1
Palandöken / Yıldızkent,15750.0,1+1
Palandöken,17000.0,3+1
Yakutiye / Merkez,16750.0,3+1
Palandöken / Yenişehir,14500.0,3+1
Aziziye / Merkez,17500.0,1+1
Yakutiye / Yağan,11000.0,3+1
Palandöken / Yıldızkent,12500.0,2+1
Palandöken,12500.0,3+1
Yakutiye / Terminal,17250.0,3+1
Yakutiye / Lalapaşa,14000.0,3+1
Yakutiye / İstasyon,17000.0,3+1
Yakutiye / Lalapaşa,11000.0,3+1
Aziziye / Merkez,10000.0,1+1
Yakutiye / Lalapaşa,17500.0,2+1
Hınıs,14000.0,3+1
Aziziye / Merkez,18500.0,1+1
Aziziye / Merkez,18000.0,1+1
Palandöken / Yıldızkent,16000.0,2+1
Palandöken,16500.0,3+1
Aziziye / Merkez,17750.0,1+1
Yakutiye / Merkez,18000.0,3+1
Palandöken / Yıldızkent,18000.0,2+1
Aziziye / Merkez,19000.0,1+1
Yakutiye / Terminal,17000.0,3+1
Yakutiye / Yağan,11000.0,3+1
Yakutiye / Terminal,18000.0,3+1
Palandöken,11000.0,3+1
Palandöken / Yenişehir,10500.0,3+1
Yakutiye / Merkez,14000.0,4+1
Palandöken / Yıldızkent,17500.0,2+1
Yakutiye / İstasyon,15000.0,1+1
Yakutiye / Lalapaşa,10000.0,2+1
Palandöken / Yenişehir,14000.0,3+1
Aziziye / Merkez,18000.0,1+1
Aziziye / Merkez,18500.0,1+1
Yakutiye / Lalapaşa,15500.0,3+1
Aziziye / Merkez,14500.0,1+1
Palandöken / Yıldızkent,19000.0,2+1
Aziziye / Merkez,16750.0,1+1
Aziziye / Merkez,15450.0,1+1
Palandöken / Yıldızkent,16000.0,1+1
Aziziye / Merkez,12000.0,1+1
Palandöken / Yıldızkent,17750.0,1+1
Yakutiye / Lalapaşa,13500.0,2+1
Yakutiye / Lalapaşa,13000.0,2+1
Horasan,13000.0,2+1
Palandöken,17500.0,3+1
Palandöken / Yıldızkent,17750.0,2+1
Palandöken / Yenişehir,12500.0,3+1
Yakutiye / Merkez,15500.0,3+1
Palandöken,13500.0,3+1
Palandöken / Yenişehir,18500.0,3+1
Aziziye / Merkez,16250.0,2+1
Yakutiye / Lalapaşa,11750.0,3+1
Yakutiye / Terminal,12000.0,3+1
Yakutiye / Yağan,13000.0,3+1
Palandöken / Yenişehir,14500.0,2+1
Aziziye / Merkez,18000.0,1+1
Yakutiye / Lalapaşa,12500.0,1+1
Palandöken / Yenişehir,11500.0,3+1
Yakutiye / Lalapaşa,14500.0,1+1
Palandöken / Yıldızkent,17500.0,2+1
Aziziye / Merkez,18500.0,1+1
Aziziye / Merkez,16750.0,1+1
Aziziye / Merkez,16000.0,1+1
Palandöken / Yıldızkent,18000.0,1+1
Palandöken / Yıldızkent,16000.0,2+1
Aziziye / Merkez,16000.0,2+0
Yakutiye / Merkez,17000.0,3+1
Yakutiye / İstasyon,17500.0,1+1
Yakutiye / Terminal,17500.0,3+1
Palandöken / Yenişehir,13250.0,3+1
Palandöken / Yenişehir,10500.0,3+1
Aziziye / Merkez,15000.0,1+1
Aziziye / Merkez,16500.0,1+1
Palandöken / Yenişehir,12000.0,3+1
Palandöken / Yıldızkent,15000.0,2+1
Aziziye / Merkez,18000.0,1+1
Yakutiye / Terminal,17500.0,3+1
Palandöken / Yenişehir,15500.0,2+1
Aziziye / Merkez,19500.0,2+1
Yakutiye / Terminal,15250.0,3+1
Yakutiye / Terminal,18000.0,3+1
Aziziye / Merkez,16500.0,1+1
Palandöken / Yıldızkent,16000.0,2+1
Yakutiye / Terminal,17500.0,3+1
Yakutiye / Lalapaşa,16000.0,3+1
Palandöken,11000.0,3+1
Palandöken / Yıldızkent,19000.0,2+1
Palandöken / Yıldızkent,16000.0,3+1
Yakutiye / Lalapaşa,12500.0,3+1
Aziziye / Merkez,18000.0,1+1
Aziziye / Merkez,10000.0,3+1
Yakutiye / Yağan,13500.0,2+1
Yakutiye / Merkez,15500.0,3+1
Palandöken,19500.0,3+1
Yakutiye / Lalapaşa,15500.0,2+1
Aziziye / Merkez,16250.0,1+1
Yakutiye / Merkez,14500.0,4+1
Yakutiye / Lalapaşa,18250.0,2+0
Aziziye / Merkez,18500.0,1+1
Palandöken / Yıldızkent,16300.0,2+1
Yakutiye / Terminal,13000.0,2+1
Aziziye / Merkez,16000.0,2+1
Yakutiye / Lalapaşa,14000.0,3+1
Palandöken / Yıldızkent,18000.0,2+1
Palandöken,13500.0,3+1
Yakutiye / Merkez,17500.0,3+1
Yakutiye / Merkez,17500.0,2+1
Aziziye / Merkez,14000.0,3+1
Palandöken / Yenişehir,12500.0,2+1
Aziziye / Merkez,14250.0,3+1
Palandöken / Yenişehir,13500.0,3+1
Palandöken,13250.0,3+1
Yakutiye / İstasyon,15500.0,3+1
Palandöken / Yenişehir,10500.0,3+1
Palandöken,15000.0,3+1
Palandöken,15500.0,3+1
Palandöken / Yenişehir,16000.0,3+1
Hınıs,15000.0,3+1
Yakutiye / Merkez,14000.0,2+1
Yakutiye / Lalapaşa,12000.0,3+1
Yakutiye / Merkez,17500.0,3+1
Yakutiye / Lalapaşa,18000.0,4+1
Aziziye / Merkez,18000.0,2+1
Yakutiye / Lalapaşa,13000.0,1+1
Palandöken / Yıldızkent,12750.0,2+1
Palandöken / Yıldızkent,15000.0,1+1
Palandöken,15500.0,3+1
Yakutiye / Yağan,14500.0,3+1
Aziziye / Merkez,10000.0,2+1
Yakutiye / Lalapaşa,18000.0,3+1
Aziziye / Merkez,10000.0,2+1
Aziziye / Merkez,19750.0,1+1
Yakutiye / Terminal,17000.0,3+1
