item_name,price
Merkez - 2+1,12000.0
Merkez / Çiçekli(Buğulu) - 3+1,25000.0
Merkez / Tunceli - 1+1,21750.0
Merkez / Tunceli - 3+1,22000.0
Merkez / Tunceli - 3+1,20000.0
Merkez / Tunceli - 1+1,19000.0
Merkez / Tunceli - 3+1,18000.0
Merkez / Tunceli - 2+1,28000.0
Merkez / Tunceli - 3+1,23000.0
Pertek - 2+1,23000.0
Merkez / Tunceli - 2+1,26000.0
Merkez / Tunceli - 2+1,19000.0
Merkez / Tunceli - 3+1,30000.0
Merkez / Tunceli - 3+1,25000.0
Merkez / Tunceli - 2+1,20000.0
Merkez / Tunceli - 3+1,19000.0
Merkez / Tunceli - 1+1,20000.0
Merkez - 2+1,14000.0
Merkez - 3.5+1,20000.0
