category,product_name,color,price
Pantolon,Hacimli poplin pantolon,Beyaz,1590.0
Pantolon,Hacimli poplin pantolon,Siyah,1590.0
Pantolon,Hacimli poplin pantolon,Açık mavi,1590.0
Pantolon,Hacimli poplin pantolon,Kiremit rengi,1590.0
Pantolon,"Kemerli, keten görünümlü düz paça pantolon",Ekru,1590.0
Pantolon,"Kemerli, keten görünümlü düz paça pantolon",Açık sarı,1590.0
Pantolon,"Kemerli, keten görünümlü düz paça pantolon",Kahverengi,1590.0
Pantolon,Ayarlanabilir düğmeli keten karışımlı bol paça pantolon,Kahverengi,1590.0
Pantolon,Ayarlanabilir düğmeli keten karışımlı bol paça pantolon,Ekru,1590.0
Pantolon,Ayarlanabilir düğmeli keten karışımlı bol paça pantolon,Mavi,1590.0
Pantolon,Keten görünümlü dökümlü pantolon,Ekru,1190.0
Pantolon,Keten görünümlü dökümlü pantolon,Siyah,1190.0
Pantolon,Keten görünümlü dökümlü pantolon,Koyu lacivert,1190.0
Pantolon,Keten görünümlü dökümlü pantolon,Kahverengi,1190.0
Pantolon,Keten görünümlü dökümlü pantolon,Krem rengi,1190.0
Pantolon,Keten görünümlü dökümlü pantolon,Haki,1190.0
Pantolon,Düz kesim dökümlü kemerli pantolon,Ekru,1590.0
Pantolon,Düz kesim dökümlü kemerli pantolon,Siyah,1590.0
Pantolon,Düz kesim dökümlü kemerli pantolon,Lacivert,1590.0
Pantolon,Düz kesim dökümlü kemerli pantolon,Koyu Gri,1590.0
Pantolon,Düz kesim dökümlü kemerli pantolon,Kahverengi,1590.0
Pantolon,Düz kesim dökümlü kemerli pantolon,Mor,1590.0
Pantolon,Yumuşak dokulu kumaş pantolon,Siyah,1790.0
Pantolon,Yumuşak dokulu kumaş pantolon,Lacivert,1790.0
Pantolon,Yumuşak dokulu kumaş pantolon,Koyu Gri,1790.0
Pantolon,Yumuşak dokulu kumaş pantolon,Kahverengi,1790.0
Pantolon,Yumuşak dokulu kumaş pantolon,Krem rengi,1790.0
Pantolon,Yumuşak dokulu kumaş pantolon,Haki,1790.0
Pantolon,Yumuşak dokulu kumaş pantolon,Mor,1790.0
Pantolon,Geniş paça pensli klasik pantolon,Siyah,1590.0
Pantolon,Geniş paça pensli klasik pantolon,Lacivert,1590.0
Pantolon,Geniş paça pensli klasik pantolon,Bordo,1590.0
Pantolon,Geniş paça pensli klasik pantolon,Koyu gri,1590.0
Pantolon,Geniş paça pensli klasik pantolon,Kahverengi,1590.0
Pantolon,Tokalı detaylı geniş paça pantolon,Lacivert,950.0
Pantolon,Tokalı detaylı geniş paça pantolon,Siyah,950.0
Pantolon,Tokalı detaylı geniş paça pantolon,Açık mavi,950.0
Pantolon,Tokalı detaylı geniş paça pantolon,Koyu kırmızı,950.0
Pantolon,Tokalı detaylı geniş paça pantolon,Kahverengi,950.0
Pantolon,Liyosel fular pantolon,Kahverengi,1590.0
Pantolon,Liyosel fular pantolon,Ekru,1590.0
Pantolon,Çizgili çapraz belli günlük pantolon,Lacivert,1590.0
Pantolon,Çizgili çapraz belli günlük pantolon,Beyaz,1590.0
Pantolon,Çizgili çapraz belli günlük pantolon,Açık mavi,1590.0
Pantolon,Çizgili çapraz belli günlük pantolon,Koyu Gri,1590.0
Pantolon,Çizgili çapraz belli günlük pantolon,Kahverengi,1590.0
Pantolon,Dökümlü pareo pantolon,Krem rengi,1490.0
Pantolon,Dökümlü pareo pantolon,Haki,1490.0
Pantolon,Dar kesim düz paça klasik pantolon,Siyah,1490.0
