Product Title,Monthly Inflation(%)
%100 PAMUK KISA KOLLU GÖMLEK,0.0
%100 PAMUK KISA KOLLU POLO TİŞÖRT,0.0
%100 PAMUK KRİNKIL KUMAŞ TUNİK,0.0
%100 PAMUK LEONARDO DA VINCI BOXY FIT SLOGAN DESENLİ TİŞÖRT,0.0
%100 PAMUK LOOSE FIT POLO TİŞÖRT,0.0
%100 PAMUK LOOSE FIT POLO YAKA TİŞÖRT,0.0
%100 PAMUK LOOSE FIT RENK BLOKLU SWEATSHİRT,-30.00030000300003
%100 PAMUK LOOSE FIT SLOGAN BASKILI SWEATSHİRT KUMAŞI POLO YAKA TİŞÖRT,0.0
%100 PAMUK LOOSE FIT TUNİK,0.0
%100 PAMUK LOOSE FIT ÇİZGİLİ SWEATSHİRT,-15.78963989094622
%100 PAMUK LOOSE FİT BASKILI TİŞÖRT,0.0
%100 PAMUK NEFES ALABİLEN BOXY FİT TİŞÖRT,0.0
%100 PAMUK NEFES ALABİLEN LOOSE FİT TİŞÖRT,0.0
%100 PAMUK ONE PIECE BASKILI BOXY FIT TİŞÖRT,0.0
%100 PAMUK ONE PIECE BOXY FIT BASKILI TİŞÖRT,0.0
%100 PAMUK ONE PIECE BOXY FIT TİŞÖRT,0.0
%100 PAMUK ONE PİECE LOOSE FIT TİŞÖRT,0.0
%100 PAMUK OVERSHIRT FIT SIRT BASKILI TİŞÖRT,0.0
%100 PAMUK OVERSIZE AYICIKLI TİŞÖRT,0.0
%100 PAMUK OVERSIZE BASKILI SWEATSHİRT,-30.00042857755111
%100 PAMUK OVERSIZE FULAR YAKA POPLİN GÖMLEK,0.0
%100 PAMUK OVERSIZE GÖMLEK YAKA ÇİZGİLİ OXFORD GÖMLEK,0.0
%100 PAMUK OVERSIZE KARELİ POPLİN GÖMLEK,0.0
%100 PAMUK OVERSIZE SPOR BASKILI TİŞÖRT,0.0
%100 PAMUK OVERSIZE ÇİZGİLİ POPLİN GÖMLEK,0.0
%100 PAMUK OXFORD GÖMLEK,0.0
%100 PAMUK POLO TİŞÖRT,37.931688477387546
%100 PAMUK POLO YAKA GÖMLEK,0.0
%100 PAMUK POPLİN GÖMLEK TUNİK,0.0
%100 PAMUK POPLİN ÇİZGİLİ MİDİ ELBİSE,0.0
%100 PAMUK PUANTİYELİ POPLİN TUNİK,0.0
%100 PAMUK REGULAR FIT BASKILI GECELİK,-40.00080001600032
%100 PAMUK REGULAR FIT DANTELLİ HIRKA,-40.00036363966945
%100 PAMUK REGULAR FIT FLAMLI UZUN KOLLU TUNİK,0.0
%100 PAMUK REGULAR FIT POLO YAKA SWEATSHİRT TUNİK,0.0
%100 PAMUK REGULAR FIT POPLİN MİDİ ELBİSE,0.0
%100 PAMUK REGULAR FIT SWEATSHİRT TUNİK,-30.00030000300003
%100 PAMUK REGULAR FIT TİŞÖRT TUNİK,0.0
%100 PAMUK REGULAR FIT UZUN KOLLU TUNİK,0.0
%100 PAMUK REGULAR FIT ÇİZGİLİ TUNİK,0.0
%100 PAMUK RELAX FIT GÖMLEK YAKA FLAMLI GÖMLEK,0.0
%100 PAMUK RELAX FIT JEAN PANTOLON,-30.000200001333344
%100 PAMUK RELAX FIT KAYIK YAKA PREMİUM TİŞÖRT,-40.00057143673481
%100 PAMUK RELAX FIT KAYIK YAKA PREMİUM ÇİZGİLİ TİŞÖRT,-40.00057143673481
%100 PAMUK RELAX FIT POPLİN GÖMLEK TUNİK,0.0
%100 PAMUK RELAX FIT YARIM BALIKÇI YAKA PREMİUM TİŞÖRT,-40.00057143673481
%100 PAMUK RELAX FİT GÖMLEK,0.0
%100 PAMUK RICK AND MORTY BOXY FIT BASKILI TİŞÖRT,0.0
%100 PAMUK RICK AND MORTY BOXY FIT TİŞÖRT,0.0
%100 PAMUK SLIM FIT FITİLLİ KAŞKORSE TİŞÖRT,0.0
%100 PAMUK SLIM FIT KAYIK YAKA RİBANA TİŞÖRT,-20.00040000800016
%100 PAMUK SLIM FIT RİBANA TİŞÖRT,0.0
%100 PAMUK SLIM FIT UZUN KOLLU TUNİK,0.0
%100 PAMUK SLİM FIT RİBANA TİŞÖRT,20.00040000800016
%100 PAMUK STAR WARS BOXY FIT BASKILI TİŞÖRT,0.0
%100 PAMUK STAR WARS BOXY FİT TİŞÖRT,0.0
%100 PAMUK STRAIGHT FIT NORMAL BEL GABARDİN PANTOLON,0.0
%100 PAMUK STRAIGHT FIT YÜKSEK BEL JEAN PANTOLON,-11.304446125618483
%100 PAMUK STRAIGHT WIDE FIT YÜKSEK BEL JEAN PANTOLON,0.0
%100 PAMUK STRAIGHT WIDE JEAN PANTOLON,0.0
%100 PAMUK STRAIGHT WIDE YÜKSEK BEL GENİŞ PAÇA JEAN KAR YIKAMALI PANTOLON,0.0
%100 PAMUK STRAIGHT WIDE YÜKSEK BEL JEAN PANTOLON,-10.434873346724755
%100 PAMUK SWEATSHİRT TUNİK,-50.00050000500005
%100 PAMUK TİŞÖRT,10.00020000400008
%100 PAMUK UZUN KOLLU GÖMLEK,0.0
%100 PAMUK UZUN KOLLU TUNİK,0.0
%100 PAMUK V YAKA BASIC PENYE TİŞÖRT,0.0
%100 PAMUK VAN GOGH BOXY FIT SLOGAN DESENLİ TİŞÖRT,0.0
%100 PAMUK VIKINGS BASKILI TİŞÖRT,0.0
%100 PAMUK VIKINGS BOXY FIT SIRT BASKILI TİŞÖRT,0.0
%100 PAMUK VIKINGS VALHALLA BOXY FIT BASKILI TİŞÖRT,0.0
%100 PAMUK VIKINGS VALHALLA BOXY FIT TİŞÖRT,0.0
%100 PAMUK WIDE LEG JEAN PANTOLON,-30.000200001333344
%100 PAMUK WIDE LEG NORMAL BEL GABARDİN PANTOLON,-30.00030000300003
%100 PAMUK WIDE LEG NORMAL BEL JEAN PANTOLON,-20.000153847337288
%100 PAMUK ÇİZGİLİ GÖMLEK,-2.1739366732246967
%100 PAMUK ÇİZGİLİ TİŞÖRT,0.0
%100 PAMUK ÇİZGİLİ UZUN KOLLU GÖMLEK,0.0
%100 PAMUK ÇİÇEKLİ BOXER,0.0
%100 PAMUK ÖRGÜ GÖRÜNÜMLÜ GÖMLEK,0.0
%100 PAMUKLU 2'Lİ ATLET ERKEK ÇOCUK,-4.545578515777708
%100 PAMUKLU 2'Lİ ATLET KIZ ÇOCUK,0.0
%100 PAMUKLU 2'Lİ PİJAMA TAKIMI ERKEK ÇOCUK,0.0
%100 PAMUKLU 2'Lİ PİJAMA TAKIMI KIZ ÇOCUK,0.0
%100 PAMUKLU 5'Lİ ATLET KIZ ÇOCUK,0.0
%100 PAMUKLU ARAÇ BASKILI 2'Lİ PİJAMA TAKIMI ERKEK BEBEK,0.0
%100 PAMUKLU BASKILI 2'Lİ ATLET ERKEK ÇOCUK,0.0
%100 PAMUKLU BASKILI 2'Lİ PİJAMA TAKIMI ERKEK BEBEK,0.0
%100 PAMUKLU BASKILI 5'Lİ ATLET ERKEK ÇOCUK,0.0
%100 PAMUKLU BASKILI BELİ LASTİKLİ PİJAMA TAKIMI ERKEK BEBEK,0.0
%100 PAMUKLU BLUZ KIZ ÇOCUK,0.0
%100 PAMUKLU BİSİKLET YAKA TİŞÖRT ERKEK BEBEK,0.0
%100 PAMUKLU DESENLİ 2'Lİ ATLET ERKEK ÇOCUK,0.0
