Product Title,Category,Monthly Inflation(%)
%100 PAMUK BARREL FIT JEAN PANTOLON,Women,0.0
%100 PAMUK BARREL FIT NORMAL BEL JEAN PANTOLON,Women,-26.666871796449716
%100 PAMUK BARREL FIT NORMAL BEL KİRAZ CHARMLI GABARDİN PANTOLON,Women,0.0
%100 PAMUK BARREL FIT NORMAL BEL POPLİN PANTOLON,Women,0.0
%100 PAMUK BARREL FIT YÜKSEK BEL JEAN PANTOLON,Women,-31.442549558073523
%100 PAMUK BARREL FIT YÜKSEK BEL KATLAMALI PAÇA JEAN PANTOLON,Women,0.0
%100 PAMUK BARREL FIT YÜKSEK BEL UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK BASIC DÜZ TİŞÖRT,Women,0.0
%100 PAMUK BASIC FLAMLI TİŞÖRT,Women,0.0
%100 PAMUK BASIC GÖMLEK,Women,-10.000142859183716
%100 PAMUK BASIC PREMIUM TİŞÖRT,Women,0.0
%100 PAMUK BASIC PREMİUM TİŞÖRT,Women,0.0
%100 PAMUK BASIC TİŞÖRT,Women,0.0
%100 PAMUK BASKILI KISA KOLLU PİJAMA ÜSTÜ,Women,-40.00080001600032
%100 PAMUK BASKILI OVERSİZE TİŞÖRT,Men,0.0
%100 PAMUK BASKILI PENYE TİŞÖRT,Women,0.0
%100 PAMUK BASKILI POPLİN UZUN KOLLU ELBİSE,Women,0.0
%100 PAMUK BASKILI TİŞÖRT,Men,-31.579612202362156
%100 PAMUK BASKILI TİŞÖRT,Women,0.0
%100 PAMUK BASKILI TİŞÖRT TUNİK,Women,0.0
%100 PAMUK BATMAN 85 BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK BATMAN BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK BAĞCIKLI FLAMLI GÖMLEK,Women,0.0
%100 PAMUK BAĞLAMALI CEKET YAKA KOLSUZ BLUZ,Women,0.0
%100 PAMUK BELİ LASTİKLİ BAĞCIKLI ŞORT,Women,0.0
%100 PAMUK BELİ LASTİKLİ BERMUDA ŞORT,Women,0.0
%100 PAMUK BELİ LASTİKLİ CEPLİ ŞORT,Women,0.0
%100 PAMUK BELİ LASTİKLİ DANTEL PLAJ PANTOLONU,Women,0.0
%100 PAMUK BELİ LASTİKLİ LOOSE FİT RAHAT JEAN BERMUDA,Men,0.0
%100 PAMUK BELİ LASTİKLİ RAHAT JEAN UZUN BERMUDA ŞORT,Men,0.0
%100 PAMUK BODYCON VÜCUDU SARAN YUVARLAK YAKA RİBANA MİNİ ELBİSE,Women,0.0
%100 PAMUK BOL RAHAT KESİM WİDE LEG GENİŞ PAÇA YAZLIK KETEN GÖRÜNÜMLÜ PANTOLON,Men,0.0
%100 PAMUK BOL RAHAT KESİM WİDE LEG KARGO CEPLİ GENİŞ PAÇA YAZLIK PANTOLON,Men,0.0
%100 PAMUK BOXY FIT BASIC PENYETİŞÖRT,Women,0.0
%100 PAMUK BOXY FIT BASKILI TİŞÖRT,Men,0.0
%100 PAMUK BOXY FIT GÖMLEK,Men,0.0
%100 PAMUK BOXY FIT SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK BOXY FIT TİŞÖRT,Men,0.0
%100 PAMUK BOXY FIT ÇİZGİLİ PENYE TİŞÖRT,Women,0.0
%100 PAMUK BOXY FİT ATLET,Men,0.0
%100 PAMUK BOXY FİT BASKILI BİSİKLET YAKA ATLET,Men,0.0
%100 PAMUK BOXY FİT BASKILI TİŞÖRT,Men,-4.6258366438277605
%100 PAMUK BOXY FİT BİSİKLET YAKA BASKILI ATLET,Men,0.0
%100 PAMUK BOXY FİT BİSİKLET YAKA BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT BİSİKLET YAKA BASİC DÜZ KISA KOLLU SİYAH TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT BİSİKLET YAKA BASİC DÜZ KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT BİSİKLET YAKA DESENLİ KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT BİSİKLET YAKA KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT BİSİKLET YAKA SIRT BASKILI ATLET,Men,0.0
%100 PAMUK BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT GÖMLEK,Men,-3.0970472825835578
%100 PAMUK BOXY FİT POLO YAKA ÇİZGİLİ KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT SIRT BASKILI TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT TİŞÖRT,Men,-5.454664465406518
%100 PAMUK BOXY FİT ÇİZGİLİ TİŞÖRT,Men,0.0
%100 PAMUK BOYFRIEND YÜKSEK BEL JEAN ŞORT,Women,0.0
%100 PAMUK BRODE GÖMLEK,Women,0.0
%100 PAMUK BRODE PLAJ GÖMLEĞİ,Women,0.0
%100 PAMUK BÜYÜK BEDEN POLO TİŞÖRT,Men,-14.285918370262433
%100 PAMUK BÜYÜK BEDEN TİŞÖRT,Men,-4.081724283606367
