pk,sku,base_code,name,brand,category,color,size,regular_price,sale_price,discount_pct,currency,stock
1502355,8684846362410,6SKG60005EW,Viskon Kare Yaka Fırfır Detaylı Kolsuz Crop Bluz,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > WOVEN TOPS > BLOUSE SS,SARI DESENLİ,9/10 Yaş,699.99,699.99,0.0,TRY,217
1489942,8684846239767,6SKB10113TK,Pamuklu Kısa Kollu Bisiklet Yaka Baskılı Tişört,Koton,KIDSWEAR > BOYSWEAR > BOYS > JERSEY > TSHIRT SS,YEŞİL,7/8 Yaş,259.99,259.99,0.0,TRY,0
1486151,8684846238364,6SKB10085TK,Pamuklu Kısa Kollu Bisiklet Yaka Baskılı Tişört,Koton,KIDSWEAR > BOYSWEAR > BOYS > JERSEY > TSHIRT SS,ANTRASİT,11/12 Yaş,359.99,359.99,0.0,TRY,226
1480965,8684846240619,6SKB10136TK,Stitch Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Oversize Lisanslı Tişört,Koton,KIDSWEAR > BOYSWEAR > BOYS > JERSEY > TSHIRT SS,GRİ,11/12 Yaş,559.99,559.99,0.0,TRY,13
1530243,8684846252292,6SKG60004EW,Çiçek Desenli Bisiklet Yaka Kolsuz Fiyonk Detaylı Viskon Bluz,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > WOVEN TOPS > BLOUSE SS,PEMBE DESENLİ,13/14 Yaş,999.99,999.99,0.0,TRY,149
1517282,8684847723647,6SKG70037AW,Beli Lastikli Brodeli Pamuklu Bol Kesim Midi Etek,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > WOVEN BOTTOMS > SKIRTS,PEMBE,5/6 Yaş,1799.99,1799.99,0.0,TRY,2
1499551,8684846254432,6SKG80003AD,Pamuklu Kolsuz Kuşak Detaylı Gömlek Yaka Denim Elbise,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > DENIM > DRESSES,ORTA İNDİGO,7/8 Yaş,1399.99,1399.99,0.0,TRY,32
1504098,8684846254159,6SKG80001AD,Pamuklu Düğmeli Kısa Kollu Gömlek Yaka Denim Elbise,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > DENIM > DRESSES,ORTA İNDİGO,11/12 Yaş,1299.99,1299.99,0.0,TRY,0
1482041,8684846425320,6SKG40022AD,Pamuklu Cepli Normal Bel Loose Fit Geniş Paça Jean Pantolon,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > DENIM > TROUSERS,ORTA İNDİGO,11/12 Yaş,1499.99,1499.99,0.0,TRY,1
1530165,8684846141794,6SKB60053TW,Pamuklu Devrik Yaka Basic Kısa Kollu Gömlek,Koton,KIDSWEAR > BOYSWEAR > BOYS > WOVEN TOPS > SHIRTS SS,EKRU,13/14 Yaş,799.99,799.99,0.0,TRY,2
1530199,8684848674993,6SKB60163TW,Pamuklu Klasik Yaka  Kısa Kollu Basic Oversize Gömlek,Koton,KIDSWEAR > BOYSWEAR > BOYS > WOVEN TOPS > SHIRTS SS,HAKİ ÇİZGİLİ,13/14 Yaş,999.99,999.99,0.0,TRY,14
1512099,8684847204054,6SKB60091TW,Pamuklu Devrik Yaka Basic Kısa Kollu Gömlek,Koton,KIDSWEAR > BOYSWEAR > BOYS > WOVEN TOPS > SHIRTS SS,KIRIK BEYAZ,11/12 Yaş,899.99,899.99,0.0,TRY,46
1520632,8684846359601,6SKB60015TW,Pamuklu Cepli Devrik Yaka Çizgili Kısa Kollu Gömlek,Koton,KIDSWEAR > BOYSWEAR > BOYS > WOVEN TOPS > SHIRTS SS,BEJ ÇİZGİLİ,7/8 Yaş,999.99,999.99,0.0,TRY,80
1511912,8684846552880,6SKG90011HT,Pamuklu Desenli Kare Yaka Crop Askılı Triko Atlet,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > KNITWEAR > TANKTOPS,SİYAH,7/8 Yaş,1099.99,1099.99,0.0,TRY,0
1511904,8684846552910,6SKG90012HT,Pamuklu Beli Lastikli Desenli Triko Şort,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > KNITWEAR > SHORTS,SİYAH,13/14 Yaş,1199.99,1199.99,0.0,TRY,9
1507844,8684846625652,6SKG90020HT,Pamuklu Kare Yaka Ajurlu Askılı Triko Atlet,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > KNITWEAR > TANKTOPS,BEJ,6/7 Yaş,899.99,899.99,0.0,TRY,3
1498733,8684846625409,6SKG90006HT,Beli Lastikli Pamuklu Ajurlu Triko Şort,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > KNITWEAR > SHORTS,BEJ,13/14 Yaş,899.99,899.99,0.0,TRY,17
1524252,8684846242699,6SKB40002TD,Pamuklu Yıpratılmış Detaylı Düğmeli Cepli Bermuda Denim Şort,Koton,KIDSWEAR > BOYSWEAR > BOYS > DENIM > SHORTS,AÇIK İNDİGO,11/12 Yaş,799.99,799.99,0.0,TRY,0
1515892,8684846244945,6SKB40035TW,Beli Bağcıklı Cep Detaylı Pamuklu Kargo Şort,Koton,KIDSWEAR > BOYSWEAR > BOYS > DENIM > SHORTS,KHAKI,11/12 Yaş,999.99,999.99,0.0,TRY,2
1530104,8684969005249,6SKB40059TD,Beli Bağcıklı Cep Detaylı Slim Fit Denim Şort,Koton,KIDSWEAR > BOYSWEAR > BOYS > DENIM > SHORTS,SİYAH,6/7 Yaş,999.99,999.99,0.0,TRY,2
1481826,8684846143538,6SKG60018AK,Asimetrik Yaka Kolsuz Viskon Karışımlı Dokulu Crop Bluz,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > BLOUSE SS,KAHVERENGİ,13/14 Yaş,459.99,459.99,0.0,TRY,0
1483232,8684847111505,6SKG60018AK,Asimetrik Yaka Kolsuz Viskon Karışımlı Dokulu Crop Bluz,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > BLOUSE SS,LACİVERT,5/6 Yaş,459.99,459.99,0.0,TRY,4
1491569,8684847111406,6SKG40018AK,Beli Lastikli Dokulu Geniş Paça Pantolon,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > TROUSERS,LACİVERT,7/8 Yaş,899.99,899.99,0.0,TRY,17
1504370,8684847641545,6SKB40086TK,Beli Bağcıklı Kapaklı Cepli Pamuklu Şort,Koton,KIDSWEAR > BOYSWEAR > BOYS > JERSEY > SHORTS,BEJ,7/8 Yaş,659.99,659.99,0.0,TRY,220
1531497,8684969729411,6SKB40145TK,Pamuk Karışımlı Biyeli Beli Lastikli Şort,Koton,KIDSWEAR > BOYSWEAR > BOYS > JERSEY > SHORTS,EKRU,13/14 Yaş,499.99,499.99,0.0,TRY,152
1519960,8684846244679,6SKB40033TK,Beli Bağcıklı Cepli Basic Şort,Koton,KIDSWEAR > BOYSWEAR > BOYS > JERSEY > SHORTS,GRİ,6/7 Yaş,299.99,299.99,0.0,TRY,85
1503649,8684846245218,6SKB40043TK,Pamuklu Dokulu Beli Bağcıklı Baskılı Şort,Koton,KIDSWEAR > BOYSWEAR > BOYS > JERSEY > SHORTS,EKRU,5/6 Yaş,359.99,359.99,0.0,TRY,30
