pk,sku,base_code,name,brand,category,color,size,regular_price,sale_price,discount_pct,currency,stock
1323354,8684291613174,5WAL10712IK,Şardonlu Fermuarlı Arkası Baskılı Köpek Sweatshirt,Koton,OLE > OLE > TEENAGE > JERSEY > SWEATSHIRTS,LACİVERT,S,899.99,899.99,0.0,TRY,29
1317273,8684291674526,5WAL10711IK,Baskılı Biyeli Pamuklu Bisiklet Yaka Köpek Sweatshirt,Koton,OLE > OLE > TEENAGE > JERSEY > SWEATSHIRTS,YEŞİL,M,899.99,899.99,0.0,TRY,36
1315573,8684291675400,5WAL90121HT,Biyeli Dik Yaka Örgü Dokulu Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,LACİVERT,S,799.99,799.99,0.0,TRY,111
1307771,8684291675486,5WAL90122HT,Leopar Desenli Dik Yaka Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,EKRU DESENLİ,M,799.99,799.99,0.0,TRY,62
1310221,8684291675578,5WAL90122HT,Leopar Desenli Dik Yaka Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,KAHVERENGİ DESENLİ,M,799.99,799.99,0.0,TRY,3
1323217,8684291613433,5WAL10716IK,Bisiklet Yaka Fermuarlı Şardonlu Köpek Sweatshirtü,Koton,OLE > OLE > TEENAGE > JERSEY > SWEATSHIRTS,SİYAH,M,899.99,899.99,0.0,TRY,65
1324773,8684291676032,5WAL90126HT,Bisiklet Yaka Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,LACİVERT DESENLİ,S,799.99,799.99,0.0,TRY,7
1323528,8684291674625,5WAL10713IK,Şardonlu Kapüşonlu Fermuarlı Köpek Sweatshirtü,Koton,OLE > OLE > TEENAGE > JERSEY > SWEATSHIRTS,SİYAH,S,899.99,899.99,0.0,TRY,0
1269506,8684288723305,5WAL10131IK,Şardonlu Köpek Sweatshirt Kapüşonlu Renk Bloklu Baskılı,Koton,OLE > OLE > TEENAGE > JERSEY > SWEATSHIRTS,EKRU,M,799.99,799.99,0.0,TRY,3
1475235,8684847415573,6SMG40010AD,Pamuklu Cep Detaylı Fiyonklu Geniş Paça Denim Pantolon - Wide Leg Jeans,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > DENIM > TROUSERS,LIGHT INDIGO,3/4 Yaş,1099.99,1099.99,0.0,TRY,58
1479809,8684847415504,6SMG40010AD,Pamuklu Cep Detaylı Fiyonklu Geniş Paça Denim Pantolon - Wide Leg Jeans,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > DENIM > TROUSERS,KOYU İNDİGO,24/36 Ay,999.99,999.99,0.0,TRY,20
1473388,8684846570402,6SMG10005AK,Pamuklu Uzun Kollu Bisiklet Yaka Fiyonk Baskılı Sweatshirt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SWEATSHIRTS,EKRU,4/5 Yaş,399.99,399.99,0.0,TRY,0
1476972,8684846267012,6SMB10049TK,Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU,12/18 Ay,359.99,359.99,0.0,TRY,9
1477694,8684846266794,6SMB10045TK,Pamuklu Kısa Kollu Bisiklet Yaka Aplikeli Çizgili Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU ÇİZGİLİ,24/36 Ay,459.99,459.99,0.0,TRY,28
1476981,8684846266923,6SMB10047TK,Dinozor Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Oversize Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU,3/4 Yaş,359.99,359.99,0.0,TRY,117
1496289,8684848013051,6SMB40012TD,Cep Detaylı Pamuklu Çizgili Denim Pantolon,Koton,KIDSWEAR > BABYBOY > BABYBOY > DENIM > TROUSERS,DARK INDIGO,9/12 Ay,1199.99,1199.99,0.0,TRY,0
1469302,8684847291450,6SMG10040AK,Uzun Kollu Bisiklet Yaka Pamuklu Çiçekli Sweatshirt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SWEATSHIRTS,PEMBE DESENLİ,12/18 Ay,459.99,459.99,0.0,TRY,4
1469304,8684847292099,6SMG40018AK,Pamuklu Beli Lastikli Çiçekli Jogger Eşofman Altı,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SWEAT BOTTOMS,PEMBE DESENLİ,4/5 Yaş,399.99,399.99,0.0,TRY,0
1471336,8684847787366,6SMG30022AK,Brodeli Beli Lastikli Fırfırlı Askılı Atlet,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > TANKTOPS,PEMBE,18/24 Ay,499.99,499.99,0.0,TRY,4
1498560,8684847787557,6SMG70007AK,Fırfırlı Katmanlı Beli Lastikli Brodeli Etek,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SKIRTS,PEMBE,24/36 Ay,499.99,499.99,0.0,TRY,3
1475362,8684847595589,6SMB40039TK,Beli Bağcıklı Cep Detaylı Pamuklu Jogger Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,YEŞİL,3/4 Yaş,699.99,699.99,0.0,TRY,0
1475456,8684847595015,6SMB10098TK,Pamuklu Uzun Kollu Yarım Fermuarlı Dik Yaka Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,YEŞİL,12/18 Ay,599.99,599.99,0.0,TRY,11
1473477,8684847594988,6SMB10098TK,Pamuklu Uzun Kollu Yarım Fermuarlı Dik Yaka Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,KAHVERENGİ,3/4 Yaş,599.99,599.99,0.0,TRY,20
1476531,8684847595497,6SMB40039TK,Beli Bağcıklı Cep Detaylı Pamuklu Jogger Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,KAHVERENGİ,12/18 Ay,699.99,699.99,0.0,TRY,5
1475365,8684847443149,6SMG80041AW,Pamuklu Kısa Kollu A Kesim Bebe Yaka Çiçekli Elbise,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > WOVEN DRESSES > DRESSES,PEMBE DESENLİ,18/24 Ay,1099.99,1099.99,0.0,TRY,106
1470999,8684846146348,6SMG80001AD,Pamuklu Kare Yaka Askılı Denim Jile Elbise,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > DENIM > DRESSES,PINK STRIPE,12/18 Ay,1699.99,1699.99,0.0,TRY,4
1473170,8684847787311,6SMG10070AK,Pamuklu Bisiklet Yaka Çiçekli 2'li Şort ve Tişört Takımı,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SETS,PEMBE DESENLİ,24/36 Ay,699.99,699.99,0.0,TRY,0
1479328,8684847973189,6SMG10083AK,Fırfır Detaylı Nakışlı Pamuklu 2'li Tayt ve Tişört Seti,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SETS,PEMBE,3/4 Yaş,699.99,699.99,0.0,TRY,19
1472225,8684846265650,6SMB10014TK,Pamuklu Uzun Kollu Bisiklet Yaka Oversize Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,EKRU,4/5 Yaş,599.99,599.99,0.0,TRY,13
1472246,8684847647103,6SMB40043TK,Pamuklu Şerit Detaylı Beli Bağcıklı Jogger Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,EKRU,24/36 Ay,499.99,499.99,0.0,TRY,10
1471346,8684846146218,6SMG40007AK,Pamuklu Cepli Yırtmaç Detaylı İspanyol Paça Tayt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > LEGGINGS,SİYAH,9/12 Ay,359.99,359.99,0.0,TRY,3
1469529,8684846145938,6SMG40003AK,Viskon Karışımlı Beli Lastikli Fiyonk Detaylı İspanyol Paça Tayt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > LEGGINGS,SİYAH,12/18 Ay,499.99,499.99,0.0,TRY,14
