pk,sku,base_code,name,brand,category,color,size,regular_price,sale_price,discount_pct,currency,stock
433,8682659759021,2KAL56059AA,Ponpon Bere,Koton,ACCESSORIES > ACCESSORIES > WOMEN > ACCS TEXTILE > BEANIE,LİLA,Tek Beden,349.99,349.99,0.0,TRY,0
14760,8681974306019,9YKB66363OW,Desenli Gömlek,Koton,KIDSWEAR > BOYSWEAR > BOYS > WOVEN TOPS > SHIRTS LS,LACİVERT DESENLİ,3/4 Yaş,719.99,719.99,0.0,TRY,0
20824,8681974185737,9YKB16125OK,Baskılı Tişört Kısa Kollu,Koton,KIDSWEAR > BOYSWEAR > BOYS > JERSEY > TSHIRT SS,GRİ,4/5 Yaş,239.99,239.99,0.0,TRY,1
28752,8682361544434,0YMB68980ZW,Klasik Yaka Kısa Kollu Cepli Gömlek,Koton,KIDSWEAR > BABYBOY > BABYBOY > WOVEN TOPS > SHIRTS SS,MAVİ DESENLİ,9/12 Ay,599.99,599.99,0.0,TRY,0
59616,8682262797120,0YMG39220OK,Fırfır Detaylı Atlet,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > TANKTOPS,TURUNCU,12/18 Ay,499.99,499.99,0.0,TRY,0
59666,8682262797861,0YMG39232OK,Püskül Detaylı Pamuklu Atlet,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > TANKTOPS,NEON SARI,6/9 Ay,549.99,549.99,0.0,TRY,0
60904,8682359923975,0YMG69546ZW,Çizgili Gömlek,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > WOVEN TOPS > SHIRTS SS,KIRMIZI ÇİZGİLİ,6/9 Ay,719.99,719.99,0.0,TRY,1
69621,8682360053296,0YMG49115OD,Düğme Detaylı Jean Şort,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > DENIM > SHORTS,ORTA İNDİGO,9/12 Ay,999.99,999.99,0.0,TRY,0
69947,8681974579161,9YMG49782OK,Desenli Şort,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SHORTS,FUŞYA,18/24 Ay,319.99,319.99,0.0,TRY,1
71399,8682361471358,0YMG49328OK,İşlemeli Tayt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > LEGGINGS,TURUNCU,12/18 Ay,499.99,499.99,0.0,TRY,0
