Week_Start,Overall_Avg_Rent,Overall_Median_Rent,Normal_Inflation,Weighted_Inflation,Normal_Inflation_Percent,Weighted_Inflation_Percent,Compared_Bucket_Count,Used_Bucket_Count,Excluded_Outlier_Bucket_Count,Listing_Count,Bucket_Count
2026-03-02,18121.723409250997,16000.0,,,,,0,0,0,8518,93
2026-03-09,18046.112010633155,16000.0,-0.01186093770873746,-0.0010283417474805585,-1.186093770873746,-0.10283417474805584,87,87,0,8276,93
2026-03-16,18204.141415431783,16000.0,0.000943176913697588,0.012495886561905666,0.0943176913697588,1.2495886561905665,86,85,1,7828,91
2026-03-23,17892.160278745643,16000.0,0.012748093437340095,0.004933073905539698,1.2748093437340096,0.4933073905539698,84,84,0,8036,90
2026-03-30,18212.713294099893,16000.0,0.007208792959401521,0.0035882779911821645,0.7208792959401521,0.35882779911821644,85,85,0,6627,87
2026-04-06,18076.75958398839,16000.0,-0.009271819426632603,-0.0035097098816533764,-0.9271819426632603,-0.3509709881653376,79,77,2,8269,86
2026-04-13,17898.496282132994,16000.0,0.007014046003793521,0.00775142501253673,0.7014046003793521,0.775142501253673,78,76,2,4707,84
2026-04-20,17940.52523503216,16000.0,-0.004820332715483235,0.0006653862733080054,-0.48203327154832354,0.06653862733080054,78,78,0,8084,85
2026-04-27,18321.204139674515,16000.0,0.012840419783684371,-0.0001529416533012504,1.2840419783684371,-0.015294165330125039,80,78,2,6329,88
2026-05-04,18485.06999654338,16000.0,0.012698538123345737,0.009890795535745135,1.2698538123345737,0.9890795535745135,83,81,2,5786,85
2026-05-11,18538.108089064262,16000.0,0.0076298207410858115,0.006501717048026491,0.7629820741085811,0.6501717048026492,83,82,1,7096,85
2026-05-18,18550.90326449034,16000.0,-0.008569161757617313,0.020223199758214485,-0.8569161757617313,2.0223199758214485,81,78,3,7505,89
