urun_id,urun_adi,kategori,fiyat,urun_url
22,Bando 22X3800 Düz Kayış,Hırdavat Aksesuar,"1.144,00TL",https://www.hancivata.com/hirdavat-aksesuar/bando-22x3800-duz-kayis
22,Bando 22X4250 Düz Kayış,Hırdavat Aksesuar,"1.315,59TL",https://www.hancivata.com/hirdavat-aksesuar/bando-22x4250-duz-kayis
22,Bando 22X5300 Düz Kayış,Hırdavat Aksesuar,"1.601,61TL",https://www.hancivata.com/hirdavat-aksesuar/bando-22x5300-duz-kayis
2,Basınçlı Bahçe İlaçlama Sprey Pompası 2 lt,Hırdavat Aksesuar,"223,08TL",https://www.hancivata.com/hirdavat-aksesuar/basincli-bahce-ilaclama-sprey-pompasi-2-lt-175
12,Gfb Hss Matkap Ucu 12 mm,Hırdavat Aksesuar,"114,39TL",https://www.hancivata.com/hirdavat-aksesuar/gfb-hss-matkap-ucu-12-mm-92
3,Gfb Matkap Ucu 3.0mm 10 ADET,Hırdavat Aksesuar,"74,80TL",https://www.hancivata.com/hirdavat-aksesuar/gfb-matkap-ucu-3-0mm-10-adet-93
10,Hss 10 Adet Matkap Ucu Demir Delici 6mm,Hırdavat Aksesuar,"171,60TL",https://www.hancivata.com/hirdavat-aksesuar/hss-10-adet-matkap-ucu-demir-delici-6mm
350,Karbosan 350X3.5X25.4 910860 A 30/36 P BF80 Düz Metal Sabit Tezgah Kesme Taşı,Hırdavat Aksesuar,"308,00TL",https://www.hancivata.com/hirdavat-aksesuar/karbosan-350x3.5x25.4-910860-a-30-36-p-bf80-duz-metal-sabit-tezgah-kesme-tasi
115,Karbosan Inox Metal Kesici Ince Taş 115 Mm Kesici 5Li,Hırdavat Aksesuar,"143,01TL",https://www.hancivata.com/hirdavat-aksesuar/karbosan-inox-metal-kesici-ince-tas-115-mm-kesici-5li-85
12,MAIER UZUN FULLY GROUND MATKAP UCU 12mm,Hırdavat Aksesuar,"228,80TL",https://www.hancivata.com/hirdavat-aksesuar/maier-uzun-fully-ground-matkap-ucu-12mm
5,MERCURE 5X25mm ŞERİT METRE 12 ADET,Hırdavat Aksesuar,"1.184,04TL",https://www.hancivata.com/hirdavat-aksesuar/mercure-5x25mm-serit-metre-12-adet
10,OTO SPANZET TURUNCU 10mt.,Hırdavat Aksesuar,"343,20TL",https://www.hancivata.com/hirdavat-aksesuar/oto-spanzet-turuncu-10mt.
115,Pferd Metal Kesici Taş 115X1 Inox Kesme Taşı,Hırdavat Aksesuar,"60,00TL",https://www.hancivata.com/hirdavat-aksesuar/pferd-metal-kesici-tas-115x1-inox-kesme-tasi-83
50,"Pimli Mobilya Tekerleği Koltuk Tekeri, Çap:50, 5Li Set, Geniş Tip",Hırdavat Aksesuar,"171,60TL",https://www.hancivata.com/hirdavat-aksesuar/pimli-mobilya-tekerlegi-koltuk-tekeri-cap-50-5li-set-genis-tip-142
50,Sapanjet Spanzet 50 Mm 10 Metre,Hırdavat Aksesuar,"400,40TL",https://www.hancivata.com/hirdavat-aksesuar/sapanjet-spanzet-50-mm-10-metre-26
,SDR Köpük Tabancası Kısa,Hırdavat Aksesuar,"343,20TL",https://www.hancivata.com/hirdavat-aksesuar/sdr-kopuk-tabancasi-kisa
88,SDR Köpük Tabancası Uzun,Hırdavat Aksesuar,"352,00TL",https://www.hancivata.com/hirdavat-aksesuar/sdr-kopuk-tabancasi-uzun-88
35,Sds Max Beton Delme Matkap Ucu 35 x 570,Hırdavat Aksesuar,"1.320,00TL",https://www.hancivata.com/hirdavat-aksesuar/sds-max-beton-delme-matkap-ucu-35-x-570
40,Sds Max Beton Delme Matkap Ucu 40 x 1000,Hırdavat Aksesuar,"2.574,00TL",https://www.hancivata.com/hirdavat-aksesuar/sds-max-beton-delme-matkap-ucu-40-x-1000
8,Sds Plus Matkap Ucu 8 x 160MM,Hırdavat Aksesuar,"57,20TL",https://www.hancivata.com/hirdavat-aksesuar/sds-plus-matkap-ucu-8-x-160mm-223
1948,SİAFLEX 1948 150mm CIRT ZIMPARA DELİKLİ 80 KUM 10 ADET,Hırdavat Aksesuar,"308,00TL",https://www.hancivata.com/hirdavat-aksesuar/siaflex-1948-150mm-cirt-zimpara-delikli-80-kum-10-adet
50449,Todrill 50449 Sds Max 4 Elmaslı Matkap Uç 38X570 mm,Hırdavat Aksesuar,"1.760,00TL",https://www.hancivata.com/hirdavat-aksesuar/todrill-50449-sds-max-4-elmasli-matkap-uc-38x570-mm
2,TOMAX YILDIZ BİTS UÇ PH2X200 1 PAKET 10 ADET,Hırdavat Aksesuar,"616,00TL",https://www.hancivata.com/hirdavat-aksesuar/tomax-yildiz-bits-uc-ph2x200-1-paket-10-adet
,UÇAN KAPI ASKI MAKARASI (BÖCEK),Hırdavat Aksesuar,"352,00TL",https://www.hancivata.com/hirdavat-aksesuar/ucan-kapi-aski-makarasi-bocek
1,1/2x30 AKB CİVATA 6.8 BEYAZ 5 KG.,Bağlantı Elamanları,"440,00TL",https://www.hancivata.com/baglanti-elamanlari/1-2x30-akb-civata-6.8-beyaz-5-kg.
8,M/8X25 İMBUS CİVATA İNOX PASLANMAZ 10 ADET,Bağlantı Elamanları,"68,64TL",https://www.hancivata.com/baglanti-elamanlari/m-8x25-imbus-civata-inox-paslanmaz-10-adet-316
36,M36X150 AKB CİVATA 8.8 DIN:931 GALVANİZLİ,Bağlantı Elamanları,"220,00TL",https://www.hancivata.com/baglanti-elamanlari/m36x150-akb-civata-8.8-din931-galvanizli
35,Makine Bağlantı Elemanı 35-50 ERKEK JACK,Bağlantı Elamanları,"285,99TL",https://www.hancivata.com/baglanti-elamanlari/makine-baglanti-elemani-35-50-erkek-jack
5,M/5 CİVATA 8.8 SİYAH TÜM BOYLAR,Bağlantı Elamanları,"1,20TL",https://www.hancivata.com/baglanti-elamanlari/m-5-civata-8.8-siyah-tum-boylar
16,ABM AKÜLÜ İLAÇLAMA MAKİNASI 16lt.,Bahçe Yapı Market,"2.059,20TL",https://www.hancivata.com/bahce-yapi-market/abm-akulu-ilaclama-makinasi-16lt.
40,Bahçe Süpürgesi 40 Cm Sert,Bahçe Yapı Market,"176,00TL",https://www.hancivata.com/bahce-yapi-market/bahce-supurgesi-40-cm-sert-1039
40,BAHÇE SÜPÜRGESİ 40cm SERT,Bahçe Yapı Market,"176,00TL",https://www.hancivata.com/bahce-yapi-market/bahce-supurgesi-40cm-sert-1040
1871,Bay-Tec MK1871 Benzinli Kesim Motoru Zinciri 3/25 1.3mm 36DIŞ,Bahçe Yapı Market,"396,00TL",https://www.hancivata.com/bahce-yapi-market/bay-tec-mk1871-benzinli-kesim-motoru-zinciri-3-25-1-3mm-36dis-536
1872,Bay-Tec MK1872 Benzinli Kesim Motoru Zinciri 3/25 1.3mm 38 Diş,Bahçe Yapı Market,"374,00TL",https://www.hancivata.com/bahce-yapi-market/bay-tec-mk1872-benzinli-kesim-motoru-zinciri-3-25-1-3mm-38-dis-537
1890,Bay-Tec MK1890 Benzinli Kesim Motoru Zinciri 3/8 1.3 mm 34 Diş,Bahçe Yapı Market,"422,40TL",https://www.hancivata.com/bahce-yapi-market/bay-tec-mk1890-benzinli-kesim-motoru-zinciri-3-8-1-3-mm-34-dis-535
1891,Bay-Tec MK1891 Benzinli Kesim Motoru Zinciri 3/8 1.3 mm 36 Diş,Bahçe Yapı Market,"440,00TL",https://www.hancivata.com/bahce-yapi-market/bay-tec-mk1891-benzinli-kesim-motoru-zinciri-3-8-1-3-mm-36-dis-428
871,Beşel Fare Kapanı,Bahçe Yapı Market,"71,50TL",https://www.hancivata.com/bahce-yapi-market/besel-fare-kapani-871
5,DELTA KOLİ KAPAMA TELİ 5/8 (35/15),Bahçe Yapı Market,"114,40TL",https://www.hancivata.com/bahce-yapi-market/delta-koli-kapama-teli-5-8-35-15-86
