id,sku,name,brand,category,regular_price,shown_price,discount_rate,unit,status,image_url,product_url,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
MTIyNDY=,ST21030188,Lole's Bitkisel Katı Sabun Nar 100 gr,Lole's,Kişisel Bakım,46.0,46.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/6/4/640822fbe68d53e1a315a762c3b29c9e72e6f1abb9b6b08bd2e6bff200577252.jpeg,https://www.rossmann.com.tr/lole-s-bitkisel-kati-sabun-nar-100-gr-p-st21030188,12,0.0,0.0,,
MTIyOTc=,SR21060353,For Your Beauty Toka Havlu Mandal Set 4H1M HMTK1 1 adet,For Your Beauty,Kişisel Bakım,42.5,42.5,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/3/7/373afbaf80e3037114b88c1b887fb3dc54bd580f9850b724980f8598e5ceef3a.jpeg,https://www.rossmann.com.tr/for-your-beauty-toka-havlu-mandal-set-4h1m-hmtk1-1-adet-p-sr21060353,12,0.0,0.0,,
MTM0ODA=,ST21100232,Eyüp Sabri Tuncer Kolonya Bodrum Mandalinası 150 ml,Eyüp Sabri Tuncer,Kişisel Bakım,118.0,118.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/8/4/84c9b87aacea9a23801fb8ce002fc17656c519abd68a4354cef7c474c92e6832.jpeg,https://www.rossmann.com.tr/eyup-sabri-tuncer-kolonya-bodrum-mandalinasi-150-ml-p-st21100232,12,0.0,0.0,,
MTM0ODE=,ST21100233,Eyüp Sabri Tuncer Kolonya Çeşme Limonu 150 ml,Eyüp Sabri Tuncer,Kişisel Bakım,118.0,118.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/c/f/cf8bf94d4a779d02a64374ed8d1215094ae1f5c978f26d7f4e167c9f4cfa8417.jpeg,https://www.rossmann.com.tr/eyup-sabri-tuncer-kolonya-cesme-limonu-150-ml-p-st21100233,12,0.0,0.0,,
MTg1NDk=,ST22100013,Dalin Bıcı Bıcı Bebek Kolonyası 50 ml,Dalin,Kişisel Bakım,73.0,73.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/7/d/7d165f760a6e6bb953e04ba013f0a867172a1bc5ed481233814e11a333e3712a.jpeg,https://www.rossmann.com.tr/dalin-bici-bici-bebek-kolonyasi-50-ml-p-st22100013,12,0.0,0.0,,
MjA0Nzc=,ST23030103,Remove Care Tüy Dökücü Krem İnatçı Tüyler 2x100 ml,Remove,Kişisel Bakım,299.0,299.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/e/c/ec6fc542aa40245414bb10cdff792040a722eaf2706dc316de72498cb5029566.jpeg,https://www.rossmann.com.tr/remove-care-tuy-dokucu-krem-inatci-tuyler-2x100-ml-p-st23030103,12,0.0,0.0,,
MjExNjE=,ST23050260,Koleston Intense Saç Boyası 10/81 Çok Açık Küllü İnci Sarısı,Koleston,Kişisel Bakım,252.0,252.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/b/9/b9c7432cdaae1e73111fd1571e8d54406d8db2de88b24e1459a195a000f21255.jpeg,https://www.rossmann.com.tr/koleston-intense-sac-boyasi-acik-kullu-inci-sari-10-81-p-st23050260,12,0.0,24.137931034482758,,
MjQwNDE=,ST24040099,Balmy Nektarin Sabun Dolgulu Kabak Banyo Lifi,Balmy,Kişisel Bakım,473.0,473.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/f/0/f072c62a71a06eb4dbe6053b6c2b6b697f62fe62755241f5bb71826efeb33397.jpeg,https://www.rossmann.com.tr/balmy-nektarin-sabun-dolgulu-kabak-banyo-lifi-p-st24040099,12,0.0,0.0,,
MjQyNQ==,SR12063913,Isana Men Tıraş Bıçağı 4 adet,Isana Men,Kişisel Bakım,649.0,649.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/b/4/b4258b0235dbe34959eed77a884e09db1e7b88675a7e264d0bc6e5d8b7936275.jpeg,https://www.rossmann.com.tr/isana-men-tiras-bicagi-4-adet-p-sr12063913,12,0.0,8.347245409015025,,
MjUyMDk=,ST25010022,Bioxcin Besleyici Yağlar Saç Bakım Yağı 100 ml,Bioxcin,Kişisel Bakım,1015.0,1015.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/0/2/029a5882490f406c47bab25850db9c4d9d8fdbbe209790b1a184537f7fcd9bba.jpeg,https://www.rossmann.com.tr/bioxcin-sac-bakim-yagi-100ml-besleyici-yaglar-p-st25010022,12,0.0,0.0,,
MjU2NzA=,ST25010176,Rexona Deo Roll on Vitamin+Bright Rose Glow 45 ml,Rexona,Kişisel Bakım,378.0,378.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/1/f/1f0fe70b710647475f2ddd148f171e9c7df7716816c7037237e54524ee85763c.jpeg,https://www.rossmann.com.tr/rexona-deo-roll-on-vitamin-bright-rose-glow-45-ml-p-st25010176,12,0.0,0.0,,
MjY0MDU=,ST25050282,Blade Erkek Deodorant Black Alpha 150 ml,Blade,Kişisel Bakım,280.0,280.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/1/d/1da1c740f0be2732e06cfdb73090a0125faece363bbee5e22ce8f3c4e7d03b25.jpeg,https://www.rossmann.com.tr/blade-erkek-deodorant-black-alpha-150-ml-p-st25050282,12,0.0,0.0,,
MjY0OTE=,ST25070002,Listerine Ağız Bakım Suyu Cool Mint 80 ml,Listerine,Kişisel Bakım,96.0,96.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/d/8/d8e9e651eea58348177ae743bb70b53af0802b176c2d35c4d28fd1c445294021.jpeg,https://www.rossmann.com.tr/listerine-80-ml-nane-aromali-p-st25070002,12,0.0,0.0,,
MjY3MzI=,ST25090040,Dr. White Diş Macunu Daily Whitening Strawberry Watermelon 75 ml,Dr. White,Kişisel Bakım,299.0,299.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/e/d/ed1d0083050c49870933d41e2e6ec11ce3d458ab2585ceba2a4f00450bd0e62b.jpeg,https://www.rossmann.com.tr/dr-white-dis-macunu-daily-whitening-strawberry-watermelon-75-ml-p-st25090040,12,0.0,0.0,,
MjY4MDM=,ST25070433,Gelee Body Mist 468 Hot 90 ml,Gelee,Kişisel Bakım,299.0,299.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/f/0/f09e9f6bc7564927a5af7159f3863552dc92e83078c4771216d883ac934931ea.jpeg,https://www.rossmann.com.tr/gelee-body-mist-90-ml-468-hot-p-st25070433,12,0.0,0.0,,
MjcwOQ==,SR12063914,Isana Men Yedek Tıraş Bıçağı Başlığı 6 Bıçaklı 8'li,Isana Men,Kişisel Bakım,999.0,999.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/f/f/ff26c3e89e819600d429d033d5de4b7962e0ce3f43f5e5f8fc984da355bbd7c7.jpeg,https://www.rossmann.com.tr/isana-men-yedek-tiras-bicagi-basligi-6-bicakli-8-li-p-sr12063914,12,0.0,25.660377358490567,,
Mjc4MDk=,ST26020200,Dermokil Ayak Maskesi Yoğun Nemlendirme 30 ml,Dermokil,Kişisel Bakım,170.0,170.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/8/a/8afaaeca129192ea38e4d3865dbc4377d8031470daecc7d1d036bdcde8c298a9.jpeg,https://www.rossmann.com.tr/dermokil-ayak-maskesi-yogun-nemlendirme-30ml-p-st26020200,12,0.0,0.0,,
NjI3NA==,ST17090012,Duru Katı Sabun Okyanus Esintisi 150 gr,Duru,Kişisel Bakım,80.0,80.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/0/7/072f2f30c5e7643926134779a840f9efaa5d0f842b94aa1b44961772c8fe79ae.jpeg,https://www.rossmann.com.tr/duru-kati-sabun-okyanus-esintisi-150-gr-p-st17090012,12,0.0,0.0,,
NzQ3Ng==,SR20070001,For Your Beauty Masaj Eldiveni Aktif Kömür 1 adet,For Your Beauty,Kişisel Bakım,149.0,149.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/b/9/b9a41ffc9fbdaac1fc319c68ddc23e9ce06d1a4d6aa6a2919b83a73b987bd19f.jpeg,https://www.rossmann.com.tr/for-your-beauty-masaj-eldiveni-aktif-komur-1-adet-p-sr20070001,12,0.0,0.0,,
Nzg3MQ==,ST12040633,Koleston Naturals Saç Boyası 4/0 Kahve,Koleston,Kişisel Bakım,252.0,252.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/1/d/1da1cee99325ba63dc41a69cdfd1ea88d196ef33889b56b4a0877afcab3a937e.jpeg,https://www.rossmann.com.tr/koleston-naturals-sac-boyasi-kahve-4-0-1-adet-p-st12040633,12,0.0,24.137931034482758,,
ODA3Ng==,ST16040151,Rocs Diş Fırçası 0 - 3 Yaş 1 adet,Rocs,Kişisel Bakım,299.0,299.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/f/8/f89b8bdfec7857931c842f2d39b9e23035d59b78b15ef77760a7a70b148f9926.jpeg,https://www.rossmann.com.tr/rocs-dis-fircasi-0-3-yas-1-adet-p-st16040151,12,0.0,0.0,,
ODg1Mw==,ST20100184,Natura Balance Krem Saç Boyası Badem 7.37 1 adet,Natura Balance,Kişisel Bakım,599.0,599.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/d/8/d81bc834c1f775b12f52a44e464c9dd2d1161fe277fa01606ab6c4f9fb857f8a.jpeg,https://www.rossmann.com.tr/natura-balance-krem-sac-boyasi-badem-7-37-1-adet-p-st20100184,12,0.0,0.0,,
MTIyNTM=,ST21040163,Dalan Katı Sabun Botanica Frezya 150x4 gr,Dalan,Kişisel Bakım,185.0,185.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/3/6/36091195bbb3cf9fec3011296c7c80bc2ba2a843794f2911984aecb6c369ff03.jpeg,https://www.rossmann.com.tr/dalan-kati-sabun-botanica-frezya-150x4-gr-p-st21040163,12,0.0,12.121212121212121,,
MjE1MjE=,ST23080018,Gliss Aqua Canlandırıcı Saç Kremi Hyaluron ve Deniz Yosunu 360 ml,Gliss,Kişisel Bakım,261.0,261.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/d/e/deff233e6a13b8147fda165fc7a2153434e6d3f5751fee7b0afff218344d0f38.jpeg,https://www.rossmann.com.tr/gliss-aqua-canlandirici-sac-kremi-hyaluron-ve-deniz-yosunu-360-ml-p-st23080018,12,0.0,17.040358744394617,,
MjI1NjY=,ST18110230,Derby Samurai Klasik 3 10'lu,Derby,Kişisel Bakım,235.0,235.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/4/a/4ad504edd5e411e60702782e7d7f80f46a341453e4284df1ede39b48951004ad.jpeg,https://www.rossmann.com.tr/derby-samurai-klasik-3-10-lu-p-st18110230,12,0.0,0.0,,
MjMwMDQ=,ST24010195,Sincere Kabak Lifli Sabun Hyaluronik Asit 120 gr,Sincere,Kişisel Bakım,99.0,99.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/a/5/a53b0ab21e6482c7f3e6cccb7744defb9e36b1740d2ad2dbb5564436f743f8bb.jpeg,https://www.rossmann.com.tr/sincere-kabak-lifli-sabun-hyaluronik-asit-120-gr-p-st24010195,12,0.0,0.0,,
MjMzMDU=,ST24040329,Kativa Total Plex Yeniden Yapılandırma Bakım Kiti 130 ml,Kativa,Kişisel Bakım,945.0,945.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/d/0/d04ac32eb465c3a27af5d8a332e93cff092a80dee87a73c89a03ec2c52d74cfd.jpeg,https://www.rossmann.com.tr/kativa-total-plex-yeniden-yapilandirma-bakim-kiti-130-ml-p-st24040329,12,0.0,0.0,,
MjQwNzY=,ST24030375,L’Oréal Paris Excellence Creme Saç Boyası Açık Kahve 6,L’Oréal Paris,Kişisel Bakım,556.0,556.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/5/7/57916d828a0878d430aaa2a1fae50292b3d9de148e05818061f4618ff0073038.jpeg,https://www.rossmann.com.tr/l-oreal-paris-excellence-creme-sac-boyasi-acik-kahve-6-p-st24030375,12,0.0,0.0,,
MjUzNjc=,ST25010012,Head & Shoulders DermaXPro Scalp Revitalizer Saç Kremi 220 ml,Head & Shoulders,Kişisel Bakım,520.0,520.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/a/5/a5f8e989eb02bb1941bf5a9e9e6c368a9fd964e949e0be515e4bf4ec9ae4b8f6.jpeg,https://www.rossmann.com.tr/head-shoulders-dermaxpro-scalp-revitalizer-sac-kremi-220-ml-p-st25010012,12,14.537444933920703,14.537444933920703,,
MjU2NDU=,ST25040218,Creme Supreme Saç Boyası 9-16 Küllü Soğuk Sarı 1 adet,Creme Supreme,Kişisel Bakım,746.0,746.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/4/a/4a2bfe2f7222a0b1090a2cd53ef671de439da63ad49536206857cc2493c54732.jpeg,https://www.rossmann.com.tr/creme-supreme-sac-boyasi-9-16-kullu-soguk-sari-1-adet-p-st25040218,12,0.0,0.0,,
MjYyNDA=,ST25070109,Otacı Botanics+ Şampuan Onarıcı Güçlendirici 375 ml,Otacı,Kişisel Bakım,739.0,739.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/f/a/fa8c349dbea9a36aa42dddc3e460d408327a448bf268a76651a50fc90cd01ffc.jpeg,https://www.rossmann.com.tr/otaci-botanics-sampuan-375ml-onarici-guclendirici-p-st25070109,12,0.0,0.0,,
Mjc0NjM=,ST25110270,Clooe Roll-On Fresh Bloom 50 ml,Clooe,Kişisel Bakım,449.0,449.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/0/f/0f855ada1a208cff0526d93ed6839b267fb78570a30672b641e9a5dd2ba86abb.jpeg,https://www.rossmann.com.tr/clooe-roll-on-fresh-bloom-50-ml-p-st25110270,12,0.0,0.0,,
Mjc2Njc=,ST26010024,Edenland Vanilla Latte 50 ml,Edenland,Kişisel Bakım,799.0,799.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/7/4/749d632e5464b1d1827a2847c4d63050357595d1c100923067b7aa3b1d97b70f.jpeg,https://www.rossmann.com.tr/edenland-vanilla-latte-50-ml-p-st26010024,12,0.0,0.0,,
MzY0OQ==,ST10060004,FA Sport Deodorant 150ml,FA,Kişisel Bakım,217.0,217.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/5/3/53ff95fce5c5749d84a3e0e452b542478ab7ffe6060d0b36065a62ea3bc24ce4.jpeg,https://www.rossmann.com.tr/fa-sport-deodorant-150ml-p-st10060004,12,0.0,0.0,,
