District,Rooms,price_numeric,city,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Akçadağ,2+1,12625.0,malatya,04,0.0,-1.9417475728155338,-5.607476635514018,-5.607476635514018
Akçadağ / Köyler,3+1,8750.0,malatya,04,0.0,0.0,-28.57142857142857,-2.7777777777777777
Arapgir,3+1,21500.0,malatya,04,0.0,0.0,-28.333333333333332,-28.333333333333332
Battalgazi,2+1,14000.0,malatya,04,0.0,0.0,7.6923076923076925,16.666666666666664
Battalgazi,3+1,14000.0,malatya,04,0.0,3.7037037037037033,0.0,12.0
Battalgazi / Köyler,2+1,25000.0,malatya,04,,0.0,,38.88888888888889
Battalgazi / Merkez,1+1,18500.0,malatya,04,0.0,1.36986301369863,1.36986301369863,0.0
Battalgazi / Merkez,1.5+1,19750.0,malatya,04,0.0,,,
Battalgazi / Merkez,2+0,18000.0,malatya,04,0.0,0.0,10.76923076923077,0.5586592178770949
Battalgazi / Merkez,2+1,15000.0,malatya,04,-0.8264462809917356,0.0,0.0,-4.0
Battalgazi / Merkez,2.5+1,17500.0,malatya,04,0.0,0.0,20.689655172413794,
Battalgazi / Merkez,3+1,16000.0,malatya,04,0.0,0.0,0.0,3.225806451612903
Battalgazi / Merkez,3+2,19000.0,malatya,04,0.0,0.0,-5.0,-5.0
Battalgazi / Merkez,3.5+1,19000.0,malatya,04,0.0,0.0,16.923076923076923,15.151515151515152
Battalgazi / Merkez,4+1,20000.0,malatya,04,-2.4390243902439024,0.0,0.0,-15.789473684210526
Battalgazi / Merkez,4.5+1,28000.0,malatya,04,0.0,-6.666666666666667,-15.151515151515152,
Battalgazi / Merkez,5+1,23000.0,malatya,04,0.0,-2.127659574468085,-2.127659574468085,1.098901098901099
Battalgazi / Merkez,Stüdyo (1+0),16000.0,malatya,04,0.0,18.51851851851852,0.0,0.0
Darende,2+1,17000.0,malatya,04,0.0,0.0,0.0,
Darende,3+1,17500.0,malatya,04,0.0,,-12.5,9.375
Doğanşehir,2+1,20000.0,malatya,04,0.0,0.0,0.0,
Doğanşehir,3+1,12000.0,malatya,04,0.0,0.0,-14.285714285714285,0.0
Doğanşehir / Köyler,3+1,6500.0,malatya,04,0.0,0.0,-10.344827586206897,-10.344827586206897
Hekimhan,2+1,12000.0,malatya,04,0.0,0.0,0.0,
Hekimhan,3+1,12500.0,malatya,04,0.0,-16.666666666666664,,
Kale / Köyler,2+1,9000.0,malatya,04,0.0,9.090909090909092,1.4084507042253522,-11.11111111111111
Kale / Köyler,3+1,13000.0,malatya,04,0.0,0.0,0.0,
Pütürge,2+1,13000.0,malatya,04,-10.344827586206897,0.0,,0.0
Yeşilyurt,1+1,14000.0,malatya,04,0.0,0.0,0.0,0.0
Yeşilyurt,2+1,18000.0,malatya,04,0.0,0.0,0.0,-21.73913043478261
Yeşilyurt,2.5+1,18500.0,malatya,04,0.0,0.0,,
Yeşilyurt,3+1,18000.0,malatya,04,0.0,0.0,-4.0,0.0
Yeşilyurt,3.5+1,18000.0,malatya,04,0.0,-10.0,-10.0,-10.0
Yeşilyurt,4+1,22000.0,malatya,04,0.0,0.0,10.0,4.761904761904762
Yeşilyurt / Köyler,1+1,8500.0,malatya,04,0.0,0.0,6.25,6.25
Yeşilyurt / Köyler,2+1,19000.0,malatya,04,0.0,7.042253521126761,24.59016393442623,31.03448275862069
Yeşilyurt / Köyler,2.5+1,19500.0,malatya,04,0.0,0.0,0.0,-4.878048780487805
Yeşilyurt / Köyler,3+1,12750.0,malatya,04,-1.9230769230769231,-1.9230769230769231,10.869565217391305,27.500000000000004
Yeşilyurt / Köyler,3.5+1,9250.0,malatya,04,15.625,15.625,-2.631578947368421,5.714285714285714
Yeşilyurt / Köyler,4+1,20000.0,malatya,04,0.0,2.564102564102564,0.0,5.263157894736842
Yeşilyurt / Köyler,5+1,25000.0,malatya,04,4.166666666666666,0.0,0.0,0.0
Yeşilyurt / Merkez,1+1,16000.0,malatya,04,-3.0303030303030303,6.666666666666667,23.076923076923077,23.076923076923077
Yeşilyurt / Merkez,1.5+1,21000.0,malatya,04,0.0,0.0,,
Yeşilyurt / Merkez,2+0,10000.0,malatya,04,0.0,-13.043478260869565,0.0,-28.31541218637993
Yeşilyurt / Merkez,2+1,16000.0,malatya,04,0.0,4.918032786885246,6.666666666666667,6.666666666666667
Yeşilyurt / Merkez,2.5+1,10000.0,malatya,04,0.0,0.0,0.0,-28.57142857142857
Yeşilyurt / Merkez,3+1,20000.0,malatya,04,0.0,0.0,5.263157894736842,5.263157894736842
Yeşilyurt / Merkez,3.5+1,20000.0,malatya,04,9.58904109589041,0.0,14.285714285714285,11.11111111111111
Yeşilyurt / Merkez,4+1,25000.0,malatya,04,0.0,0.0,4.166666666666666,4.166666666666666
Yeşilyurt / Merkez,4.5+1,21500.0,malatya,04,0.0,-2.272727272727273,7.5,-14.000000000000002
Yeşilyurt / Merkez,5+1,32500.0,malatya,04,16.071428571428573,25.0,25.0,25.0
Karakoçan,1+1,13000.0,elazig,04,0.0,18.181818181818183,0.0,0.0
Karakoçan,2+1,9000.0,elazig,04,0.0,12.5,20.0,20.0
Karakoçan,3+1,13000.0,elazig,04,0.0,0.0,,
Kovancılar,1+1,15000.0,elazig,04,0.0,0.0,0.0,0.0
Kovancılar,2+1,18000.0,elazig,04,0.0,12.5,-12.195121951219512,24.137931034482758
Kovancılar,3+1,10500.0,elazig,04,0.0,-4.545454545454546,-4.545454545454546,-12.5
Kovancılar / Köyler,1+1,18500.0,elazig,04,0.0,0.0,0.0,
Merkez,1+1,18500.0,elazig,04,5.714285714285714,0.0,0.0,-9.75609756097561
Merkez,2+1,11000.0,elazig,04,0.0,0.0,-4.3478260869565215,-2.2222222222222223
Merkez,3+1,10000.0,elazig,04,0.0,-4.761904761904762,-6.976744186046512,-4.761904761904762
Merkez,3.5+1,12000.0,elazig,04,0.0,0.0,0.0,
Merkez,4+0,8000.0,elazig,04,,,,
Merkez,4+1,25000.0,elazig,04,8.695652173913043,8.695652173913043,8.695652173913043,11.11111111111111
Merkez,5+1,42000.0,elazig,04,0.0,0.0,0.0,0.0
Merkez,Stüdyo (1+0),13500.0,elazig,04,0.0,0.0,0.0,0.0
Merkez / 1800 Evler,1+1,21750.0,elazig,04,3.571428571428571,8.75,8.75,27.941176470588236
Merkez / 1800 Evler,2+1,20000.0,elazig,04,-1.2345679012345678,-2.4390243902439024,-2.4390243902439024,11.11111111111111
Merkez / 1800 Evler,3+1,16000.0,elazig,04,3.225806451612903,0.0,0.0,0.0
Merkez / 1800 Evler,4+1,22500.0,elazig,04,0.0,-2.1739130434782608,12.5,-1.639344262295082
Merkez / 1800 Evler,4+2,25000.0,elazig,04,0.0,0.0,0.0,0.0
Merkez / 1800 Evler,5+1,26000.0,elazig,04,,-14.754098360655737,-14.754098360655737,
Merkez / 1800 Evler,6+1,27000.0,elazig,04,0.0,0.0,0.0,-1.8181818181818181
Merkez / Aksaray,3+1,13000.0,elazig,04,0.0,4.0,8.333333333333332,1.9607843137254901
Merkez / Doğukent,1+1,21500.0,elazig,04,0.0,7.5,-4.444444444444445,-4.444444444444445
Merkez / Doğukent,2+1,22000.0,elazig,04,4.761904761904762,17.333333333333336,11.39240506329114,0.0
Merkez / Doğukent,3+1,20000.0,elazig,04,0.0,2.564102564102564,5.263157894736842,11.11111111111111
Merkez / Doğukent,4+1,26500.0,elazig,04,0.0,0.0,-3.6363636363636362,
Merkez / Harput,2+1,12000.0,elazig,04,0.0,0.0,,
Merkez / Köyler,2+1,10750.0,elazig,04,0.0,0.0,8.860759493670885,22.857142857142858
Merkez / Köyler,3+1,10000.0,elazig,04,0.0,0.0,0.0,0.0
Merkez / Mustafapaşa,1+1,7000.0,elazig,04,,,,0.0
Merkez / Mustafapaşa,2+1,10750.0,elazig,04,0.0,-2.272727272727273,-2.272727272727273,2.380952380952381
Merkez / Mustafapaşa,3+1,13500.0,elazig,04,-1.8181818181818181,-6.086956521739131,-3.571428571428571,-3.571428571428571
Merkez / Mustafapaşa,4+0,10000.0,elazig,04,0.0,0.0,0.0,
Merkez / Mustafapaşa,4.5+1,12500.0,elazig,04,0.0,0.0,0.0,0.0
Merkez / Mustafapaşa,5+2,30000.0,elazig,04,0.0,0.0,0.0,-3.225806451612903
Merkez / Nailbey,2+1,12500.0,elazig,04,-8.75912408759124,16.27906976744186,,-19.35483870967742
Merkez / Nailbey,3+1,11000.0,elazig,04,-4.3478260869565215,-15.384615384615385,-15.384615384615385,10.0
Merkez / Nailbey,4+1,16250.0,elazig,04,0.0,0.0,14.035087719298245,6.557377049180328
Merkez / Nailbey,7+1,11000.0,elazig,04,0.0,0.0,0.0,
Merkez / Sürsürü,1+1,20000.0,elazig,04,0.0,0.0,-2.4390243902439024,2.564102564102564
Merkez / Sürsürü,2+0,16000.0,elazig,04,-3.0303030303030303,3.225806451612903,3.225806451612903,-11.11111111111111
Merkez / Sürsürü,2+1,16000.0,elazig,04,6.666666666666667,-1.5384615384615385,-1.5384615384615385,-3.0303030303030303
Merkez / Sürsürü,3+1,17750.0,elazig,04,4.411764705882353,0.0,-1.3888888888888888,7.575757575757576
Merkez / Sürsürü,3.5+1,14250.0,elazig,04,0.0,0.0,-5.0,
Merkez / Sürsürü,4+1,25000.0,elazig,04,0.0,0.0,0.0,0.0
Merkez / Sürsürü,5.5+1,21000.0,elazig,04,0.0,-4.545454545454546,0.0,-6.666666666666667
Merkez / Yurtbaşı,1+1,14000.0,elazig,04,0.0,-16.417910447761194,-12.5,-20.0
Merkez / Yurtbaşı,2+0,16500.0,elazig,04,0.0,0.0,0.0,
Merkez / Yurtbaşı,2+1,8000.0,elazig,04,0.0,-5.88235294117647,-13.513513513513514,-20.0
Merkez / Yurtbaşı,3+1,13000.0,elazig,04,0.0,1.9607843137254901,4.0,4.0
Merkez / Yurtbaşı,3+2,18000.0,elazig,04,0.0,,-10.0,-10.0
Merkez / Yurtbaşı,4+1,25000.0,elazig,04,,,,
Merkez / İzzetpaşa,1+1,20000.0,elazig,04,0.0,0.0,0.0,0.0
Merkez / İzzetpaşa,1.5+1,12000.0,elazig,04,0.0,,0.0,0.0
Merkez / İzzetpaşa,2+0,22000.0,elazig,04,0.0,7.317073170731707,-2.2222222222222223,10.0
Merkez / İzzetpaşa,2+1,17250.0,elazig,04,-1.4285714285714286,4.545454545454546,1.4705882352941175,-0.7194244604316548
Merkez / İzzetpaşa,3+1,12500.0,elazig,04,0.0,-7.4074074074074066,-3.8461538461538463,0.0
Merkez / İzzetpaşa,3.5+1,12500.0,elazig,04,,,,
Merkez / İzzetpaşa,4+1,17000.0,elazig,04,-5.555555555555555,-10.526315789473683,-5.555555555555555,6.25
Merkez / İzzetpaşa,Stüdyo (1+0),9500.0,elazig,04,-5.0,-13.636363636363635,-13.636363636363635,
Palu,2+1,6000.0,elazig,04,0.0,0.0,-21.311475409836063,-26.153846153846157
