item_name,price_numeric,city,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Merkez / Doğukent - 1+1,185000.0,elazig,04,0.0,-2.631578947368421,-11.904761904761903,-13.953488372093023
Merkez / Doğukent - 2+0,230000.0,elazig,04,0.0,0.0,,
Merkez / Doğukent - 2+1,220000.0,elazig,04,0.0,-4.3478260869565215,18.91891891891892,-1.1235955056179776
Merkez / Doğukent - 3+1,180000.0,elazig,04,0.0,0.0,0.5586592178770949,-10.0
Merkez / Köyler - 2+1,110000.0,elazig,04,0.0,0.0,11.39240506329114,12.82051282051282
Merkez / Köyler - 3+1,100000.0,elazig,04,0.0,0.0,0.0,0.0
Merkez / Mustafapaşa - 2+1,123750.0,elazig,04,0.0,10.0,10.0,12.5
Merkez / Mustafapaşa - 3+1,125000.0,elazig,04,0.0,0.0,2.0408163265306123,-10.714285714285714
Merkez / Mustafapaşa - 4+0,130000.0,elazig,04,,,,
Merkez / Mustafapaşa - 4+1,150000.0,elazig,04,0.0,-3.225806451612903,,
Merkez / Mustafapaşa - 4.5+1,125000.0,elazig,04,0.0,0.0,0.0,0.0
Merkez / Nailbey - 2+1,110000.0,elazig,04,4.761904761904762,-4.3478260869565215,-8.333333333333332,-21.428571428571427
Merkez / Nailbey - 3+1,110000.0,elazig,04,0.0,-4.3478260869565215,0.0,0.0
Merkez / Nailbey - 4+1,160000.0,elazig,04,0.0,-1.5384615384615385,6.666666666666667,6.666666666666667
Merkez / Nailbey - 7+1,110000.0,elazig,04,0.0,0.0,0.0,0.0
Merkez / Sürsürü - 1+1,205000.0,elazig,04,0.0,2.5,0.0,0.0
Merkez / Sürsürü - 2+0,165000.0,elazig,04,1.5384615384615385,-2.941176470588235,-5.714285714285714,0.0
Merkez / Sürsürü - 2+1,180000.0,elazig,04,-2.7027027027027026,20.0,20.0,20.0
Merkez / Sürsürü - 3+1,197500.0,elazig,04,-1.25,3.9473684210526314,9.722222222222223,16.176470588235293
Merkez / Sürsürü - 4+0,155000.0,elazig,04,0.0,0.0,0.0,
Merkez / Sürsürü - 4+1,237500.0,elazig,04,-4.040404040404041,-5.0,-3.061224489795918,-6.862745098039216
Merkez / Yurtbaşı - 1+1,140000.0,elazig,04,0.0,-15.151515151515152,16.666666666666664,0.0
Merkez / Yurtbaşı - 2+0,150000.0,elazig,04,0.0,-25.0,-26.82926829268293,-17.80821917808219
Merkez / Yurtbaşı - 2+1,90000.0,elazig,04,-2.7027027027027026,-2.7027027027027026,0.0,16.129032258064516
Merkez / Yurtbaşı - 2.5+1,220000.0,elazig,04,0.0,0.0,0.0,
Merkez / Yurtbaşı - 3+1,110000.0,elazig,04,2.3255813953488373,0.0,-10.204081632653061,-13.725490196078432
Merkez / Yurtbaşı - 3+2,180000.0,elazig,04,0.0,0.0,0.0,0.0
Merkez / Yurtbaşı - 4+1,170000.0,elazig,04,0.0,0.0,0.0,
Merkez / İzzetpaşa - 1+1,205000.0,elazig,04,-1.2048192771084338,-2.380952380952381,-8.88888888888889,2.5
Merkez / İzzetpaşa - 2+0,200000.0,elazig,04,2.564102564102564,-5.88235294117647,0.0,-9.090909090909092
Merkez / İzzetpaşa - 2+1,180000.0,elazig,04,0.0,0.0,2.857142857142857,2.857142857142857
Merkez / İzzetpaşa - 3+1,132500.0,elazig,04,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231
Merkez / İzzetpaşa - 4+1,150000.0,elazig,04,-4.761904761904762,-16.666666666666664,-13.043478260869565,-11.76470588235294
Merkez / İzzetpaşa - Stüdyo (1+0),150000.0,elazig,04,0.0,0.0,0.0,
Merkez / İçme - 2+1,100000.0,elazig,04,0.0,0.0,0.0,
Palu - 2+1,65000.0,elazig,04,0.0,0.0,8.333333333333332,8.333333333333332
Sivrice - 2+1,79000.0,elazig,04,0.0,0.31746031746031744,3.2679738562091507,-1.25
Sivrice - 3+1,225000.0,elazig,04,0.0,0.0,,-43.75
Sivrice - 4+1,400000.0,elazig,04,0.0,0.0,0.0,33.33333333333333
Merkez - 1+1,120000.0,tunceli,04,0.0,0.0,,
Merkez - 2+1,100000.0,tunceli,04,0.0,0.0,,
Merkez - 3+1,107500.0,tunceli,04,0.0,0.0,,
Merkez / Tunceli - 1+1,205000.0,tunceli,04,0.0,-10.869565217391305,,9.333333333333334
Merkez / Tunceli - 2+1,250000.0,tunceli,04,0.0,16.27906976744186,,56.25
Merkez / Tunceli - 3+1,205000.0,tunceli,04,0.0,-6.8181818181818175,-10.869565217391305,-18.0
Merkez / Çiçekli(Buğulu) - 1+1,240000.0,tunceli,04,,,,
Merkez / Çiçekli(Buğulu) - 3+1,240000.0,tunceli,04,0.0,,,
Pertek - 3+1,100000.0,tunceli,04,0.0,-33.33333333333333,-33.33333333333333,-33.33333333333333
