Date,Price,District,Rooms
2026-03-10,19500,"Merkez
Tepebaşı",1+1
2026-03-10,12500,Yahşihan,2+1
2026-03-10,20000,"Merkez
Tepebaşı",3+1
2026-03-10,18500,"Merkez
Tepebaşı",2+1
2026-03-10,10000,"Merkez
Fabrikalar",3+1
2026-03-10,27500,Yahşihan,3+1
2026-03-10,11000,"Merkez
Tepebaşı",2+1
2026-03-10,16500,"Merkez
Fabrikalar",3+1
2026-03-10,25000,Yahşihan,2+1
2026-03-10,13000,"Merkez
Fabrikalar",3+1
2026-03-10,20000,"Merkez
Tepebaşı",3+1
2026-03-10,15000,Yahşihan,2+1
2026-03-10,15000,"Merkez
Yuva",3+1
2026-03-10,15000,"Merkez
Tepebaşı",2+1
2026-03-10,10500,"Merkez
Yuva",2+1
2026-03-10,11500,"Merkez
Tepebaşı",3+1
2026-03-10,15500,"Merkez
Fabrikalar",3+1
2026-03-10,13500,"Merkez
Sanayi",3+1
2026-03-10,20000,Yahşihan,3+1
2026-03-10,13000,Bahşılı,2+1
2026-03-10,20500,"Merkez
Tepebaşı",3+1
2026-03-10,12500,"Merkez
Sanayi",2+1
2026-03-10,26000,Yahşihan,3+1
2026-03-10,15000,"Merkez
Tepebaşı",3+1
2026-03-10,15000,Yahşihan,3+1
2026-03-10,18500,Yahşihan,2+1
2026-03-10,14500,Yahşihan,2+0
2026-03-10,11000,"Merkez
Fabrikalar",2+1
2026-03-10,10500,"Merkez
Tepebaşı",4+1
2026-03-10,17500,Yahşihan,2+1
2026-03-10,13500,"Merkez
Fabrikalar",3+1
2026-03-10,10000,Yahşihan,2+1
2026-03-10,9750,"Merkez
Tepebaşı",2+1
2026-03-10,18500,Yahşihan,3+1
2026-03-10,14000,"Merkez
Tepebaşı",3+1
2026-03-10,9800,Yahşihan,2+1
2026-03-10,22000,"Merkez
Fabrikalar",3+1
2026-03-10,25000,"Merkez
Sanayi",3+1
2026-03-10,20000,Yahşihan,3+0
2026-03-10,10000,"Merkez
Sanayi",3+1
2026-03-10,13000,"Merkez
Yuva",3+1
2026-03-10,25000,Yahşihan,3+1
2026-03-10,25000,"Merkez
Sanayi",3+1
2026-03-10,15300,Yahşihan,2+1
2026-03-10,23000,Yahşihan,1+1
2026-03-10,20000,"Merkez
Tepebaşı",3+1
2026-03-10,36000,"Merkez
Sanayi",4+1
2026-03-10,12100,Yahşihan,2+0
2026-03-10,12500,Yahşihan,2+1
2026-03-10,18000,Yahşihan,3+1
2026-03-10,25500,Yahşihan,4+1
2026-03-10,13500,"Merkez
Tepebaşı",3+1
2026-03-10,10000,"Merkez
Yuva",3+1
2026-03-10,15000,Yahşihan,2+1
2026-03-10,10000,"Merkez
Tepebaşı",1+1
2026-03-10,20000,"Merkez
Fabrikalar",3+1
2026-03-10,11250,"Merkez
Fabrikalar",3+1
2026-03-10,16000,Yahşihan,2+1
2026-03-10,22000,"Merkez
Tepebaşı",3+1
2026-03-10,27000,Yahşihan,3+1
2026-03-10,27250,"Merkez
Sanayi",3+1
2026-03-10,12000,"Merkez
Yuva",2+1
2026-03-10,23000,"Merkez
Sanayi",3+1
2026-03-10,35000,Yahşihan,4+1
2026-03-10,15700,"Merkez
Fabrikalar",2+1
2026-03-10,12000,"Merkez
Fabrikalar",3+1
2026-03-10,12500,Yahşihan,2+0
2026-03-10,13500,Yahşihan,1+1
2026-03-10,13000,Yahşihan,2+1
2026-03-10,11000,"Merkez
Fabrikalar",3+1
2026-03-10,15000,Yahşihan,3+1
2026-03-10,26500,Yahşihan,3+1
2026-03-10,21000,"Merkez
Sanayi",3+1
2026-03-10,15000,"Merkez
Sanayi",3+1
2026-03-10,18500,"Merkez
Tepebaşı",3+1
2026-03-10,12500,"Merkez
Tepebaşı",3+1
2026-03-10,20000,"Merkez
Tepebaşı",3+1
2026-03-10,9000,Yahşihan,3+0
2026-03-10,15500,Yahşihan,2+1
2026-03-10,23000,Yahşihan,3+1
2026-03-10,30500,"Merkez
Sanayi",3+1
2026-03-10,20000,"Merkez
Tepebaşı",3+1
2026-03-10,25000,Yahşihan,4+1
2026-03-10,15500,Yahşihan,2+1
2026-03-10,19000,"Merkez
Fabrikalar",3+1
2026-03-10,10000,"Merkez
Fabrikalar",2+1
2026-03-10,12500,Yahşihan,2+0
2026-03-10,28000,Yahşihan,4+1
2026-03-10,11000,"Merkez
Tepebaşı",3+1
