Date,Price,District,Rooms
2026-03-30,11000,Yahşihan,2+0
2026-03-30,31000,"Merkez
Fabrikalar",3+1
2026-03-30,19000,Yahşihan,2+1
2026-03-30,13000,"Merkez
Fabrikalar",3+1
2026-03-30,21000,Yahşihan,2+1
2026-03-30,30000,Yahşihan,3+0
2026-03-30,22000,"Merkez
Sanayi",3+1
2026-03-30,34000,"Merkez
Sanayi",3+1
2026-03-30,13000,Yahşihan,2+0
2026-03-30,22500,Yahşihan,4+1
2026-03-30,27000,"Merkez
Sanayi",3+1
2026-03-30,21000,Yahşihan,4+1
2026-03-30,25000,Yahşihan,2+1
2026-03-30,17000,Yahşihan,2+0
2026-03-30,20000,"Merkez
Tepebaşı",3+1
2026-03-30,12500,Yahşihan,2+1
2026-03-30,12000,"Merkez
Tepebaşı",2+1
2026-03-30,16000,"Merkez
Tepebaşı",3+1
2026-03-30,13000,Bahşılı,2+1
2026-03-30,25000,Yahşihan,3+1
2026-03-30,15500,"Merkez
Tepebaşı",3+1
2026-03-30,12500,"Merkez
Sanayi",3+1
2026-03-30,25500,Yahşihan,4+1
2026-03-30,10000,Yahşihan,2+1
2026-03-30,12000,Yahşihan,2+1
2026-03-30,20000,Yahşihan,2+1
2026-03-30,15000,"Merkez
Fabrikalar",2+1
2026-03-30,16500,Yahşihan,2+1
2026-03-30,26000,"Merkez
Fabrikalar",3+1
2026-03-30,16500,"Merkez
Tepebaşı",2+1
2026-03-30,10000,Yahşihan,3+2
2026-03-30,18500,Yahşihan,2+1
2026-03-30,14000,Yahşihan,2+0
2026-03-30,11000,Yahşihan,2+1
2026-03-30,36000,Yahşihan,4+1
2026-03-30,19500,Yahşihan,3+1
2026-03-30,23000,"Merkez
Tepebaşı",3+1
2026-03-30,45000,Yahşihan,4+1
2026-03-30,20000,"Merkez
Tepebaşı",3+1
2026-03-30,15000,"Merkez
Fabrikalar",3+1
2026-03-30,25900,"Merkez
Sanayi",3+1
2026-03-30,10000,"Merkez
Tepebaşı",3+1
2026-03-30,11000,Yahşihan,1+1
2026-03-30,12000,Yahşihan,2+0
2026-03-30,8500,Yahşihan,1+1
2026-03-30,14500,Yahşihan,3+1
2026-03-30,13000,Yahşihan,2+0
2026-03-30,13500,"Merkez
Fabrikalar",3+1
2026-03-30,25500,Yahşihan,4+1
2026-03-30,16500,"Merkez
Fabrikalar",3+1
2026-03-30,14500,Yahşihan,2+0
2026-03-30,35000,Yahşihan,4+1
2026-03-30,24000,"Merkez
Tepebaşı",3+1
2026-03-30,12000,Bahşılı,2+1
2026-03-30,25000,"Merkez
Sanayi",4+1
2026-03-30,26000,"Merkez
Fabrikalar",6+1
2026-03-30,10000,Yahşihan,1+1
2026-03-30,12100,Yahşihan,2+0
2026-03-30,10000,"Merkez
Sanayi",3+1
2026-03-30,13750,Yahşihan,2+1
2026-03-30,16500,"Merkez
Fabrikalar",2+1
2026-03-30,21000,"Merkez
Fabrikalar",3+1
2026-03-30,11500,"Merkez
Fabrikalar",3+1
2026-03-30,43500,Yahşihan,4+1
2026-03-30,18000,"Merkez
Tepebaşı",2+1
