category,product_name,price,date
Banyo,After Rain Çubuklu Oda Kokusu 100 ml,3199.99,2026-05-03
Banyo,Albie Banyo Seti Şeffaf,2999.99,2026-05-03
Banyo,Aloe Vera Maske 25 ml Yeşil,699.95,2026-05-03
Banyo,Aloe Vera Nemlendirici Jel 300 ml,699.95,2026-05-03
Banyo,Aloe Vera – Ylang Ylang 5li Aromaterapi Set,3499.99,2026-05-03
Banyo,"Anna Banyo Sıvı Sabunluk 14,5 cm Pembe",251.99,2026-05-03
Banyo,"Anna Banyo Sıvı Sabunluk 14,5 cm Şeffaf",1499.99,2026-05-03
Banyo,Apple Rose Kolonya 200 ml Şeffaf,227.99,2026-05-03
Banyo,Apple Rose Oda Spreyi 300 ml Şeffaf,1499.99,2026-05-03
Banyo,Apple Rose Çubuklu Oda Kokusu 95 ml Şeffaf,2999.99,2026-05-03
Banyo,Aqua Pamuk Banyo Havlusu 90x150 cm Fildişi,719.99,2026-05-03
Banyo,Aqua Pamuk Banyo Havlusu 90x150 cm Gri,899.99,2026-05-03
Banyo,Aqua Pamuk Banyo Havlusu 90x150 cm Lacivert,899.99,2026-05-03
Banyo,Aqua Pamuk Yüz Havlusu 50x80 cm Fildişi,1999.99,2026-05-03
Banyo,Aqua Pamuk Yüz Havlusu 50x80 cm Gri,1999.99,2026-05-03
Banyo,Aqua Pamuk Yüz Havlusu 50x80 cm Lacivert,1999.99,2026-05-03
Banyo,Aqua Pamuk Yüz Havlusu 50x80 cm Yeşil,1999.99,2026-05-03
Banyo,Areka 3’lü Set Banyo Seti Şeffaf,629.99,2026-05-03
Banyo,Artistic Leafy Pamuklu Brodeli Yüz Havlusu 50x80 cm Ekru - Yeşil,2199.99,2026-05-03
Banyo,Artistic Leafy Pamuklu Brodeli Yüz Havlusu 50x80 cm Ekru-Sarı,1999.99,2026-05-03
Banyo,"Ashle Banyo Sıvı Sabunluk 14,5 cm Beyaz",300.99,2026-05-03
Banyo,Aurora Çubuklu Oda Kokusu 200 ml,4999.99,2026-05-03
Banyo,Ava Pamuklu Banyo Paspası Açık Gri,3999.99,2026-05-03
Banyo,Avin Temizlik Fırçası Pudra,999.99,2026-05-03
Banyo,Avokado Yağı Maske 25 ml Yeşil,699.95,2026-05-03
Banyo,Avokado Yağı Yüz & Vücut Spreyi,699.95,2026-05-03
Banyo,Azure Bliss Çubuklu Oda Kokusu 100 ml,1749.99,2026-05-03
Banyo,Bamboo Bambu Duş Kaydırmazı Bej,4999.99,2026-05-03
Banyo,Bamboo Bambu Duş Kaydırmazı Kahve,5999.99,2026-05-03
Banyo,Barbara Müslin %100 Pamuklu Bornoz Antrasit,6999.99,2026-05-03
Banyo,"Barton 3lü Banyo Seti 14,5 cm Şeffaf",3499.99,2026-05-03
Banyo,Becca Duş Kaydırmazı 50x70 cm Kahve,489.99,2026-05-03
