kategori,isim,fiyat,link,resim
Et Ve Tavuk,Akdeniz Toros Pizza Vejeteryan Küçük 4'Lü 4*185 Gr,"₺369,95",https://ardenmarket.com.tr/akdeniz-toros-pizza-vejeteryan-kucuk-4-lu-190-gr.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/_/k_k_boy_vejetaryen_pizza__al_ma_y_zeyi_1.jpg
Et Ve Tavuk,Akdeniz Toros Pizza Margarita Orta 2'Li 2*290 Gr,"₺239,95",https://ardenmarket.com.tr/akdeniz-toros-pizza-margarita-orta-2-li-340-gr.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/o/r/orta_boy_margarita_pizza__al_ma_y_zeyi_1.jpg
Et Ve Tavuk,Akdeniz Toros Pizza Margarita Küçük 4'Lü 4*180 Gr,"₺359,95",https://ardenmarket.com.tr/akdeniz-toros-pizza-margarita-kucuk-4-lu-190-gr.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/_/k_k_boy_margarita_pizza__al_ma_y_zeyi_1.jpg
Et Ve Tavuk,Akdeniz Toros Pizza Karışık Orta 2'Li 2*340 Gr,"₺299,95",https://ardenmarket.com.tr/akdeniz-toros-pizza-karisik-orta-2-li-340-gr.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/o/r/orta_boy_kar_k_pizza__al_ma_y_zeyi_1.jpg
Et Ve Tavuk,Akdeniz Toros Pizza Karışık Küçük 4'lü 4*190 Gr,"₺389,95",https://ardenmarket.com.tr/akdeniz-toros-pizza-karisik-kucuk-4-lu-190-gr.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/_/k_k_boy_kar_k_pizza__al_ma_y_zeyi_1.jpg
Et Ve Tavuk,Akdeniz Toros Dilimli Dana Salam 70 Gr,"₺76,95",https://ardenmarket.com.tr/akdeniz-toros-dilimli-dana-salam-70-gr.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/a/k/akdeniz_toros_dilimli_dana_salam_70_gr_1.png
Et Ve Tavuk,Akdeniz Toros Dilimli Dana Sucuk 110 Gr,"₺174,50",https://ardenmarket.com.tr/catalog/product/view/id/5486/s/akdeniz-toros-dilimli-dana-sucuk-110-gr/category/93/,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/1/9/199564-1.jpg
Et Ve Tavuk,Akdeniz Toros Piliç Sırtsız Kemikli Göğüs Kg Kuru Yolum,"₺299,99",https://ardenmarket.com.tr/pilic-sirtsiz-kemikli-gogus-kg-kuru-yolum.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/w/h/whatsapp_image_2025-03-11_at_15.20.06.jpeg
Et Ve Tavuk,Akdeniz Toros Donuk Piliç Pirzola Kuru Yolum kg,"₺379,99",https://ardenmarket.com.tr/akdeniz-toros-donuk-pirzola-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pili__pirzola_1.png
Et Ve Tavuk,Akdeniz Toros Piliç Donuk Kanat Kuru Yolum Kg,"₺469,99",https://ardenmarket.com.tr/akdeniz-toros-donuk-kanat-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/a/k/akdeniz_toros_donuk_kanat_kg.png
Et Ve Tavuk,Akdeniz Toros Donuk Çıtır Kelebek Kg,"₺269,99",https://ardenmarket.com.tr/akdeniz-toros-donuk-citir-kelebek-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pilic_kelebek_1.png
Et Ve Tavuk,Dana İlikli Kemik Kg,"₺249,99",https://ardenmarket.com.tr/catalog/product/view/id/3937/s/dana-ilikli-kemik-kg/category/93/,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/d/a/dana_ilikli_kemik.jpg
Et Ve Tavuk,Akdeniz Toros Piliç Nugget 500 g,"₺229,95",https://ardenmarket.com.tr/akdeniz-toros-pilic-nugget-500-g.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pili__nugget__al_ma_y_zeyi_1.jpg
