Product Name,Price
KÜP ŞEKER 1 KG,"56,75 TL"
KINALIELLER KOOP. GLUTENSİZ ARPA ŞEHRİYE 400 GR,"99,00 TL"
KINALIELLER KOOP. GLUTENSİZ PENNE MAKARNA 400 GR,"99,00 TL"
KINALIELLER KOOP. GLUTENSİZ BURGU MAKARNA 400 GR,"99,00 TL"
KINALIELLER KOOP. GLUTENSİZ DİRSEK MAKARNA 400 GR,"99,00 TL"
RAMAZAN KOLİSİ BÜYÜK BOY,"2.499,00 TL"
RAMAZAN KOLİSİ ORTA BOY,"1.399,00 TL"
RAMAZAN KOLİSİ KÜÇÜK BOY,"569,00 TL"
ATADAN KOOP. KEKİKLİ DOMATES KURUSU 150 G,"124,00 TL"
ATADAN KOOP. KURU İNCE BİBER 60 G,"48,00 TL"
ATADAN KOOP. KURU DOLMALIK PATLICAN 20 G,"48,00 TL"
EKŞİ MAYALI SÜTLÜ EKMEK 500 G,"50,00 TL"
EKŞİ MAYALI TRABZON EKMEĞİ 650 G,"69,00 TL"
EKŞİ MAYALI KIBRIS BULLA EKMEĞİ 500 G,"57,50 TL"
EKŞİ MAYALI AFYON PATATESLİ KÖY EKMEĞİ 650 G,"75,00 TL"
ZİNDE KOOP. ORGANİK KAYISI-ELMA-ŞEFTALİ SUYU 250 ML,"55,50 TL"
ZİNDE KOOP. ORGANİK KIRMIZI KARIŞIM SUYU 250 ML,"55,50 TL"
ZİNDE KOOP. ŞEFTALİ SUYU 1000 ML,"105,00 TL"
ZİNDE KOOP. VİŞNE SUYU 1000 ML,"107,50 TL"
YEŞİLYURTLU KOOP. KAVUN REÇELİ 420 GR,"105,00 TL"
YEŞİLYURTLU KOOP. MANDALİNA REÇELİ 420 GR,"109,00 TL"
SAMANDAĞ KOOP. KITIR KABAK TATLISI 750 GR,"255,00 TL"
MARMARABİRLİK SİYAH XZEYTİN (351-380) 950 GR,"222,00 TL"
MARMARABİRLİK SİYAH ZEYTİN (261-320) 1000 GR,"312,00 TL"
MARMARABİRLİK SİYAH ZEYTİN (201-260) 500 GR,"244,00 TL"
YEŞİLAĞAÇ KAKAOLU GOFRET 450 GR,"84,00 TL"
YAŞAMYOLU KOOP. RAHATLAMA ÇAYI 120 GR,"166,00 TL"
YAŞAMYOLU KOOP. MEYVE ÇAYI 200 GR,"137,50 TL"
YAŞAMYOLU KOOP. KIŞ ÇAYI 120 GR,"137,50 TL"
TARİŞ KOOP. ANTEP FISTIKLI TAHİN HELVASI 200 GR,"92,00 TL"
MARMARABİRLİK SADE ZEYTİN EZMESİ 340 GR,"93,00 TL"
6'LI JUMBO HAMBURGER EKMEĞİ 110 GR (6X110),"65,00 TL"
6'LI JUMBO SANDVİÇ EKMEĞİ 110 GR (6X110),"65,00 TL"
YAŞAMYOLU KOOP. ELMA KURUSU 50 GR,"60,00 TL"
DENİZLİ KOOP. NOHUT 1000 GR,"69,00 TL"
BOĞAZLIYAN KOOP. KURU FASULYE 1000 GR,"86,50 TL"
BOĞAZLIYAN KOOP. KIRMIZI MERCİMEK 1000GR,"69,90 TL"
KONURCA KOOP. NATUREL SIZMA ZEYTİNYAĞI 1000 GR,"435,00 TL"
