ID,Product Name,Price
1,KINALIELLER KOOP. GLUTENSİZ ARPA ŞEHRİYE 400 GR,"99,00 TL"
2,KINALIELLER KOOP. GLUTENSİZ PENNE MAKARNA 400 GR,"99,00 TL"
3,KINALIELLER KOOP. GLUTENSİZ BURGU MAKARNA 400 GR,"99,00 TL"
4,KINALIELLER KOOP. GLUTENSİZ DİRSEK MAKARNA 400 GR,"99,00 TL"
5,RAMAZAN KOLİSİ BÜYÜK BOY,"2.499,00 TL"
6,RAMAZAN KOLİSİ ORTA BOY,"1.399,00 TL"
7,RAMAZAN KOLİSİ KÜÇÜK BOY,"569,00 TL"
8,EKŞİ MAYALI SÜTLÜ EKMEK 500 G,"50,00 TL"
9,EKŞİ MAYALI TRABZON EKMEĞİ 650 G,"69,00 TL"
10,EKŞİ MAYALI KIBRIS BULLA EKMEĞİ 500 G,"57,50 TL"
11,EKŞİ MAYALI AFYON PATATESLİ KÖY EKMEĞİ 650 G,"75,00 TL"
12,ZİNDE KOOP. ORGANİK KAYISI-ELMA-ŞEFTALİ SUYU 250 ML,"55,50 TL"
13,ZİNDE KOOP. ORGANİK KIRMIZI KARIŞIM SUYU 250 ML,"55,50 TL"
14,ZİNDE KOOP. ŞEFTALİ SUYU 1000 ML,"105,00 TL"
15,ZİNDE KOOP. VİŞNE SUYU 1000 ML,"107,50 TL"
16,YEŞİLYURTLU KOOP. KAVUN REÇELİ 420 GR,"105,00 TL"
17,YEŞİLYURTLU KOOP. MANDALİNA REÇELİ 420 GR,"109,00 TL"
18,SAMANDAĞ KOOP. KITIR KABAK TATLISI 750 GR,"255,00 TL"
19,MARMARABİRLİK SİYAH XZEYTİN (351-380) 950 GR,"222,00 TL"
20,MARMARABİRLİK SİYAH ZEYTİN (261-320) 1000 GR,"312,00 TL"
21,MARMARABİRLİK SİYAH ZEYTİN (201-260) 500 GR,"244,00 TL"
22,YEŞİLAĞAÇ KAKAOLU GOFRET 450 GR,"84,00 TL"
