ID,Product Name,Price
1,KINALIELLER KOOP. GLUTENSİZ ARPA ŞEHRİYE 400 GR,"99,00 TL"
2,KINALIELLER KOOP. GLUTENSİZ PENNE MAKARNA 400 GR,"99,00 TL"
3,KINALIELLER KOOP. GLUTENSİZ BURGU MAKARNA 400 GR,"99,00 TL"
4,KINALIELLER KOOP. GLUTENSİZ DİRSEK MAKARNA 400 GR,"99,00 TL"
5,EKŞİ MAYALI SÜTLÜ EKMEK 500 G,"50,00 TL"
6,EKŞİ MAYALI TRABZON EKMEĞİ 650 G,"69,00 TL"
7,EKŞİ MAYALI KIBRIS BULLA EKMEĞİ 500 G,"57,50 TL"
8,EKŞİ MAYALI AFYON PATATESLİ KÖY EKMEĞİ 650 G,"75,00 TL"
9,ŞAMPİYON EKMEK YER FISTIKLI 50 GR,"11,00 TL"
10,6'LI JUMBO HAMBURGER EKMEĞİ 110 GR (6X110),"65,00 TL"
11,6'LI JUMBO SANDVİÇ EKMEĞİ 110 GR (6X110),"65,00 TL"
12,YAŞAMYOLU KOOP. ELMALI-HİNDİSTAN CEVİZLİ MEYVE TOPU 40 GR,"60,00 TL"
13,ZİNDE KOOP. GLUTENSİZ OMEGA 3 KEÇİBOYNUZU ÇİKOLATA 300 GR,"169,00 TL"
14,ZİNDE KOOP. GLUTENSİZ KEÇİBOYNUZLU - PORTAKALLI ÇİKOLATA 300 GR,"169,00 TL"
15,ZİNDE KOOP. GLUTENSİZ DENİZ TUZLU FISTIK EZMESİ 300 GR,"119,00 TL"
16,JUMBO TOST EKMEĞİ 730 GR,"80,00 TL"
17,YEŞİLAĞAÇ EKŞİ MAYALI KÖY SOMUNU 400 GR,"45,00 TL"
18,KUTLUDÜĞÜN EKŞİ MAYALI EKMEK 800 GR,"79,50 TL"
19,GLÜTENSİZ CEVİZLİ BAKLAVA 300 GR,"235,00 TL"
20,GLÜTENSİZ FISTIKLI BAKLAVA 300 GR,"275,00 TL"
