ID,Product Name,Price
66,GALETA UNU 500 GR,"40,00 TL"
67,ÇEREZ TAM BUĞDAY UNLU 30 GR,"18,50 TL"
68,ROLL TAM BUĞDAY UNLU EKMEK 50 Gr,"5,50 TL"
69,ROLL NORMAL EKMEK 50 GR,"4,00 TL"
70,ROLL TUZ İLAVESİZ EKMEK 50 GR,"4,50 TL"
71,ROLL KEPEKLİ EKMEK 50 GR,"4,50 TL"
72,GLUTENSİZ EKMEK 250 GR,"34,50 TL"
73,FINDIKLI EKMEK 2. Lİ PAKET 60 GR,"16,00 TL"
74,ÇEREZ SADE DOLGULU 40 GR,"19,50 TL"
75,ÇEREZ KAKAOLU DOLGULU 40 GR,"20,00 TL"
76,ÇEREZ ACI BİBER AROMALI 30 GR,"18,50 TL"
77,ROLL ÇAVDARLI EKMEK 50 GR,"5,50 TL"
78,TATLI KURABİYE 250 GR,"85,00 TL"
79,GRİSİNİ SUSAMLI 175 GR,"38,50 TL"
80,GRİSİNİ SADE 175 GR,"36,00 TL"
81,ÇEREZ YERFISTIĞI AROMALI 30 GR,"18,50 TL"
82,GLUTENSİZ SİMİT 100 GR,"30,00 TL"
