Product Name,Price
YAŞAMYOLU KOOP. ERİK KURUSU 100 GR (ADET),"89,75 TL"
GRİSSİNİ ÇÖREKOTLU 175GR,"38,50 TL"
YEŞİLAĞAÇ KOOP. TAM TEREYAĞLI BEYPAZARI KURUSU 400 GR,"120,00 TL"
ÇEREZ 3'LÜ AVANTAJ PAKET 85 GR (ADET),"54,90 TL"
HAMBURGER EKMEĞİ (160G),"23,00 TL"
SANDVİÇ EKMEĞİ (160G),"23,00 TL"
EKŞİ MAYALI SİYEZ UNLU EKMEK (400G),"62,90 TL"
EKŞİ MAYALI TAŞ FIRIN EKMEĞİ (750G),"69,00 TL"
EKŞİ MAYALI TAM BUĞDAY UNLU KÖY EKMEĞİ (400G),"52,90 TL"
GLUTENSİZ SADE POĞAÇA  2'Lİ PAKET (180 Gr),"52,00 TL"
GLUTENSİZ PEYNİRLİ POĞAÇA 2'Lİ PAKET (180 Gr),"58,00 TL"
ZINDE KOOP. GLUTENSİZ BADEM EZMESİ 280 GR,"216,00 TL"
GLUTENSİZ ÜZÜMLÜ KEK 2’Lİ PAKET (150 Gr),"58,00 TL"
GLUTENSİZ FINDIKLI KEK 2'Lİ PAKET (150 Gr),"69,00 TL"
TUZLU KURABİYE 250 GR,"98,00 TL"
GLUTENSİZ UN 1KG,"126,90 TL"
ÇEREZ TAM BUĞDAY UNLU 30 GR,"22,90 TL"
ROLL TAM BUĞDAY UNLU EKMEK 50 Gr,"6,00 TL"
ROLL NORMAL EKMEK 50 GR,"5,00 TL"
ROLL TUZ İLAVESİZ EKMEK 50 GR,"5,00 TL"
ROLL KEPEKLİ EKMEK 50 GR,"6,00 TL"
GLUTENSİZ EKMEK 250 GR,"36,50 TL"
FINDIKLI EKMEK 2. Lİ PAKET 60 GR,"18,00 TL"
ÇEREZ SADE DOLGULU 40 GR,"22,90 TL"
ÇEREZ KAKAOLU DOLGULU 40 GR,"22,90 TL"
ÇEREZ ACI BİBER AROMALI 30 GR,"22,90 TL"
ROLL ÇAVDARLI EKMEK 50 GR,"6,00 TL"
TATLI KURABİYE 250 GR,"98,00 TL"
GRİSSİNİ SUSAMLI 175 GR,"43,90 TL"
GRİSSİNİ SADE 175 GR,"39,90 TL"
ÇEREZ YERFISTIĞI AROMALI 30 GR,"22,90 TL"
GLUTENSİZ SİMİT 100 GR,"32,50 TL"
ORGANİK TAM BUĞDAY EKMEĞİ 500 GR,"59,50 TL"
ÇORBALIK KITIR 250 GR,"23,50 TL"
GLUTENSİZ GALETA UNU 500 GR (ADET),"179,90 TL"
GALETA UNU 500 GR,"48,00 TL"
