ID,SKU,Product Name,Category,Price (TL),URL
31,CETA.I06-36-2,CETA FORM I06-36-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 5'',Boru Anahtarları,"12.090,00",https://www.nalburcuk.com/urun/ceta-form-i06-36-2-agir-sanayi-tipi-boru-anahtari-pro-5
32,CETA.I06-24-2,CETA FORM I06-24-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 3'',Boru Anahtarları,"5.449,08",https://www.nalburcuk.com/urun/ceta-form-i06-24-2-agir-sanayi-tipi-boru-anahtari-pro-3
33,CETA.I06-18-2,CETA FORM I06-18-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 2-1/2'',Boru Anahtarları,"3.673,80",https://www.nalburcuk.com/urun/ceta-form-i06-18-2-agir-sanayi-tipi-boru-anahtari-pro-2-1-2
34,CETA.I06-14-2,CETA FORM I06-14-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 2'',Boru Anahtarları,"2.323,62",https://www.nalburcuk.com/urun/ceta-form-i06-14-2-agir-sanayi-tipi-boru-anahtari-pro-2
35,CETA.I06-12-2,CETA FORM I06-12-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 2'',Boru Anahtarları,"2.102,10",https://www.nalburcuk.com/urun/ceta-form-i06-12-2-agir-sanayi-tipi-boru-anahtari-pro-2
36,CETA.I06-10-2,CETA FORM I06-10-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 1-1/2'',Boru Anahtarları,"1.741,74",https://www.nalburcuk.com/urun/ceta-form-i06-10-2-agir-sanayi-tipi-boru-anahtari-pro-1-1-2
37,CETA.I01-20,CETA FORM I01-20 Maşalı Boru Anahtarı (90°) 2'',Boru Anahtarları,"2.308,02",https://www.nalburcuk.com/urun/ceta-form-i01-20-masali-boru-anahtari-90deg-2
38,CETA.I01-15,CETA FORM I01-15 Maşalı Boru Anahtarı (90°) 1-1/2'',Boru Anahtarları,"1.486,68",https://www.nalburcuk.com/urun/ceta-form-i01-15-masali-boru-anahtari-90deg-1-1-2
39,CETA.I01-10,CETA FORM I01-10 Maşalı Boru Anahtarı (90°) 1'',Boru Anahtarları,"982,02",https://www.nalburcuk.com/urun/ceta-form-i01-10-masali-boru-anahtari-90deg-1
40,CETA.H40-R04,CETA FORM H40-R04 Cımbız Penset Seti 4 Parça,Cımbızlar,"635,70",https://www.nalburcuk.com/urun/ceta-form-h40-r04-cimbiz-penset-seti-4-parca
41,CETA.H30-W10,CETA FORM H30-W10 Elektronikçi Pense ve Tornavida Takımı Çantalı,Tornavida Takımları,"2.939,04",https://www.nalburcuk.com/urun/ceta-form-h30-w10-elektronikci-pense-ve-tornavida-takimi-cantali
42,CETA.H30-W06,CETA FORM H30-W06 Elektronikçi Pense Seti 6 Parça Çantalı,Pense Takımları,"3.580,98",https://www.nalburcuk.com/urun/ceta-form-h30-w06-elektronikci-pense-seti-6-parca-cantali
