Date,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-03-07,14949.74,,0.0
2026-03-08,14929.79,-0.13,-0.08
2026-03-09,14902.06,-0.19,0.24
2026-03-11,14917.51,0.1,-0.28
2026-03-12,14929.58,0.08,0.03
2026-03-13,14973.59,0.29,0.12
2026-03-14,15071.17,0.65,0.31
2026-03-15,15129.56,0.39,0.7
2026-03-16,15107.27,-0.15,-0.32
2026-03-17,15032.26,-0.5,-0.56
2026-03-18,15001.39,-0.21,0.18
2026-03-19,15055.79,0.36,0.17
2026-03-20,15059.89,0.03,0.29
2026-03-21,15102.16,0.28,-0.04
2026-03-22,14812.59,-1.92,-1.31
2026-03-23,14800.92,-0.08,0.09
2026-03-24,14756.59,-0.3,-0.47
2026-03-25,15199.82,3.0,2.43
2026-03-26,14826.03,-2.46,-2.86
2026-03-27,14785.4,-0.27,0.17
2026-03-28,14850.53,0.44,0.42
2026-03-29,14833.51,-0.11,-0.19
2026-03-30,14857.07,0.16,0.1
2026-04-01,14817.2,-0.27,-0.35
2026-04-02,14839.82,0.15,0.21
2026-04-03,14803.72,-0.24,0.1
2026-04-05,14917.21,0.77,0.64
2026-04-06,14996.06,0.53,0.31
2026-04-07,14941.75,-0.36,-0.55
2026-04-08,15020.63,0.53,0.62
2026-04-09,15019.49,-0.01,-0.24
2026-04-10,15024.3,0.03,0.46
2026-04-11,15050.17,0.17,0.33
2026-04-12,14952.94,-0.65,-0.35
2026-04-13,15086.45,0.89,0.65
2026-04-14,15011.53,-0.5,-0.61
2026-04-15,15138.87,0.85,0.34
2026-04-16,15157.19,0.12,0.63
2026-04-17,15262.99,0.7,0.48
2026-04-18,15224.28,-0.25,-0.0
2026-04-19,15160.07,-0.42,-0.29
2026-04-20,14990.84,-1.12,-0.5
2026-04-21,15045.51,0.36,0.48
2026-04-22,15011.95,-0.22,-0.52
2026-04-23,15065.73,0.36,0.24
2026-04-24,15051.16,-0.1,0.18
2026-04-25,15073.83,0.15,0.18
2026-04-26,15003.01,-0.47,-0.38
2026-04-27,15085.22,0.55,0.43
2026-04-28,15051.32,-0.22,-0.52
2026-04-29,15143.02,0.61,0.51
2026-04-30,15131.92,-0.07,0.48
2026-05-01,15094.42,-0.25,-0.18
2026-05-02,15180.71,0.57,0.5
2026-05-03,15161.84,-0.12,0.06
2026-05-04,15093.25,-0.45,0.02
2026-05-05,15189.32,0.64,0.33
2026-05-06,15238.09,0.32,-0.25
2026-05-07,15293.52,0.36,0.3
2026-05-08,15329.46,0.23,0.18
2026-05-09,15334.51,0.03,-0.03
2026-05-10,15384.78,0.33,0.27
2026-05-11,15357.31,-0.18,-0.32
2026-05-12,15723.14,2.38,2.23
2026-05-13,15663.5,-0.38,-0.72
2026-05-16,15842.15,1.14,0.93
2026-05-17,15902.25,0.38,0.11
2026-05-18,15974.48,0.45,0.44
2026-05-19,15929.34,-0.28,-0.32
2026-05-20,16050.69,0.76,0.89
2026-05-21,15659.54,-2.44,-0.92
2026-05-22,15640.92,-0.12,0.75
2026-05-23,15732.41,0.58,0.22
2026-05-24,15727.24,-0.03,0.39
2026-05-25,15806.27,0.5,0.23
2026-05-26,15894.38,0.56,0.46
