Date,Overall_Normal_Daily_Inflation,Overall_Weighted_Daily_Inflation,Overall_Normal_Weekly_Inflation,Overall_Weighted_Weekly_Inflation,Genel_Home_Daily_Inflation,Genel_Home_Weekly_Inflation
2026-05-11,,,,,,
2026-05-13,-0.007185664942592238,-0.007185664942592238,,,-0.007185664942592238,
2026-05-14,0.0,0.0,,,0.0,
2026-05-16,0.00039233302613176556,0.00039233302613176556,-0.005793549052864138,-0.005793549052864138,0.00039233302613176556,-0.005793549052864138
2026-05-17,0.0,0.0,-0.005793549052864138,-0.005793549052864138,0.0,-0.005793549052864138
2026-05-18,0.0005160044738137623,0.0005160044738137623,-0.005634168606503757,-0.005634168606503757,0.0005160044738137623,-0.005634168606503757
2026-05-19,0.0,0.0,-0.005634168606503757,-0.005634168606503757,0.0,-0.005634168606503757
2026-05-21,0.0012176316798742034,0.0012176316798742034,0.001875580106484723,0.001875580106484723,0.0012176316798742034,0.001875580106484723
2026-05-22,-0.0005697755587255362,-0.0005697755587255362,0.0013478392468153466,0.0013478392468153466,-0.0005697755587255362,0.0013478392468153466
2026-05-23,-0.0008279699665727535,-0.0008279699665727535,-2.9580236313548605e-05,-2.9580236313548605e-05,-0.0008279699665727535,-2.9580236313548605e-05
2026-05-24,0.0010179771578005133,0.0010179771578005133,0.001176641179405072,0.001176641179405072,0.0010179771578005133,0.001176641179405072
