product_name,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
1 KÜRESEL VANA SANAYİ TİPİ KALDE,899.0,05,0.0,0.0,,0.0
28X32 CM PAKET ÇİÇEK TOPRAĞI 3 LT,45.9,05,0.0,0.0,,0.0
ABANT 31X50 CM PAKET ÇİÇEK TOPRAĞI 10 LT,200.0,05,0.0,0.0,,135.29411764705884
AKÇALI SPREY 306 BOYA 400 ML GRİ,269.0,05,0.0,0.0,0.0,0.0
AKÇALI SPREY 324 BOYA 400 ML BONCUK MAVİ,259.88,05,0.0,0.0,0.0,0.0
AKÇALI SPREY 325 BOYA 400 ML KAHVE,268.96,05,0.0,0.0,0.0,0.0
AKÇALI SPREY 702 OTO JANT BOYASI 400 ML,277.98,05,0.0,0.0,0.0,0.0
AKÇALI SPREY 902 BOYA 400 ML ALÜMİNYUM,308.31,05,0.0,0.0,0.0,0.0
AR MELİA 102188132 LAVABO BATARYASI,2168.36,05,0.0,0.0,0.0,0.0
AR Moni 102108906 Lavabo Bataryası,1964.87,05,0.0,0.0,0.0,0.0
ARTEMA FOLD S LAVABO BATARYASI YÜKSEK,9500.0,05,0.0,0.0,0.0,0.0
ATLAS HK 150 MİNİ KOMPRESÖR ECO,2149.96,05,0.0,0.0,0.0,0.0
ATTLAS PA 800A ELEKTRİKLİ VİNÇ,7209.56,05,0.0,0.0,0.0,5.084444366707346
AUTOMİX ARAÇ ÖRTÜSÜ BRANDA NO:KT2,1500.0,05,0.0,0.0,0.0,0.0
AUTOMİX MAXİ SÜNGER,399.0,05,0.0,0.0,0.0,0.0
AUTOMİX VETTE PLUS MULTİFİT SİLECEK 350MM,180.9,05,0.0,0.0,0.0,0.0
AUTOMİX VETTE PLUS MULTİFİT SİLECEK 385MM,180.9,05,0.0,0.0,0.0,0.0
AUTOMİX VETTE PLUS MULTİFİT SİLECEK 480MM,210.9,05,0.0,0.0,0.0,0.0
AUTOMİX VETTE PLUS MULTİFİT SİLECEK 660MM,220.9,05,0.0,0.0,0.0,0.0
AUTOMİX VETTE+ MULTİFİT SİLECEK 350MM,900.0,05,0.0,0.0,0.0,0.0
AUTOMİX VETTE+ MULTİFİT SİLECEK 385MM,125.0,05,0.0,0.0,0.0,0.0
AUTOMİX VETTE+ MULTİFİT SİLECEK 480MM,109.0,05,0.0,0.0,0.0,0.0
AUTOMİX VETTE+ MULTİFİT SİLECEK 660MM,299.0,05,0.0,0.0,0.0,0.0
