date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,n_matched,matched_products
Apr 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,1369.53,3697.73,1470.0,3969.0,5,Ceviz İçi Lüx 1 Kg; Çiğ Fındık 1000 Gr; Çiğ Fındık 250 Gr; Çiğ Fındık 500 Gr; Çiğ Fındık 750 Gr
Apr 2026,Grains,Bread,Kg,18.0,,,,,0,—
Apr 2026,Fruits,Banana,Kg,16.7,,,,,0,—
Apr 2026,Fruits,Seasonal Fruit,Kg,12.9,584.0,7533.6,584.0,7533.6,2,Keçemen Üzüm 1 Kg; Üzüm Siyah Çekirdeksiz 1 Kg
Apr 2026,Vegetables,Onion,Kg,18.0,,,,,0,—
Apr 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,,,,,0,—
Apr 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,0,—
Apr 2026,Oils,Olive Oil,Liter,1.1,543.74,598.11,518.0,569.8,17,Komili Naturel Sızma Zeytinyağı Yumuşak Lezze…; Komili Natürel Sızma Zeytinyağı Yumuşak Lezze…; Komili Riviera Zeytinyağı 1 Lt; Komili Riviera Zeytinyağı 2 Lt; Komili Sızma Zeytinyağı 2 Lt Pet; Komili Sızma Zeytinyağı 500 Ml Pet; Komili Yemeklik Riviera Zeytinyağı 5 lt x 1 A…; Komili Yemeklik Riviera Zeytinyağı 5 lt x 4 A…; Kristal Dolgun Güçlü Sızma Zeytinyağı Cam 1 L…; Kristal Naturel Sızma Yumuşak Doğal Zeytinyağ…; Marmarabirlik Sızma Zeytinyağı Cam 1 Lt; Marmarabirlik Sızma Zeytinyağı Pet 1 Lt; Tariş Kuzey Sızma Zeytinyağı 1 Lt; Tariş Kuzey Sızma Zeytinyağı 2 Lt; Tariş Kuzey Sızma Zeytinyağı 500 Ml; Tariş Riviera Zeytinyağı Teneke 2 Lt; Yudum Egemden Naturel Sızma Zeytinyağı Yumuşa…
Apr 2026,Other Food Products,Grissini,Kg,2.1,648.0,1360.8,648.0,1360.8,1,Ülker Altınbaşak Kepekli Grissini 125 Gr
May 2026,Dairy Products,Yogurt,Kg,59.7,,,,,0,—
