Date,Overall_Normal_Daily_Inflation,Overall_Weighted_Daily_Inflation,Overall_Normal_Weekly_Inflation,Overall_Weighted_Weekly_Inflation,Genel_Cosmetics_Daily_Inflation,Genel_Cosmetics_Weekly_Inflation
2026-04-28,,,,,,
2026-04-29,0.0,0.0,,,0.0,
2026-04-30,0.0013789278348046688,0.0013789278348046688,,,0.0013789278348046688,
2026-05-01,0.107142777215962,0.107142777215962,,,0.107142777215962,
2026-05-02,0.002094503600115847,0.002094503600115847,0.09584710254473733,0.09584710254473733,0.002094503600115847,0.09584710254473733
2026-05-03,-0.0010580863537993828,-0.0010580863537993828,0.09220184841773964,0.09220184841773964,-0.0010580863537993828,0.09220184841773964
2026-05-04,-0.0008987193636131854,-0.0008987193636131854,0.09047059080277492,0.09047059080277492,-0.0008987193636131854,0.09047059080277492
2026-05-05,0.0031504267379930955,0.0031504267379930955,0.09533042099277407,0.09533042099277407,0.0031504267379930955,0.09533042099277407
2026-05-07,-0.003468344530266363,-0.003468344530266363,0.10296929737930077,0.10296929737930077,-0.003468344530266363,0.10296929737930077
2026-05-08,0.0,0.0,-0.0004594811474371718,-0.0004594811474371718,0.0,-0.0004594811474371718
2026-05-10,0.00031304126791730814,0.00031304126791730814,-0.0014187436126820655,-0.0014187436126820655,0.00031304126791730814,-0.0014187436126820655
2026-05-11,0.0,0.0,-0.0005229791501131412,-0.0005229791501131412,0.0,-0.0005229791501131412
2026-05-16,0.0015228874487807837,0.0015228874487807837,0.0015332648760297157,0.0015332648760297157,0.0015228874487807837,0.0015332648760297157
2026-05-17,-0.002270428769290337,-0.002270428769290337,-0.0010815848612730139,-0.0010815848612730139,-0.002270428769290337,-0.0010815848612730139
2026-05-18,0.0,0.0,-0.0010815848612730139,-0.0010815848612730139,0.0,-0.0010815848612730139
2026-05-19,0.004775118912915319,0.004775118912915319,0.004696184396658335,0.004696184396658335,0.004775118912915319,0.004696184396658335
2026-05-21,-0.001656605263317219,-0.001656605263317219,0.001000815664323127,0.001000815664323127,-0.001656605263317219,0.001000815664323127
2026-05-22,-0.0011470317313191532,-0.0011470317313191532,-0.0013859207283826993,-0.0013859207283826993,-0.0011470317313191532,-0.0013859207283826993
2026-05-23,-0.0011515683561524243,-0.0011515683561524243,-0.003259335856175309,-0.003259335856175309,-0.0011515683561524243,-0.003259335856175309
2026-05-24,0.0005574290850331125,0.0005574290850331125,0.00047999468947161785,0.00047999468947161785,0.0005574290850331125,0.00047999468947161785
