pk,sku,base_code,name,brand,category,color,size,regular_price,sale_price,discount_pct,currency,stock,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
1476981,8684846266923,6SMB10047TK,Dinozor Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Oversize Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU,3/4 Yaş,359.99,359.99,0.0,TRY,120,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1496289,8684848013051,6SMB40012TD,Cep Detaylı Pamuklu Çizgili Denim Pantolon,Koton,KIDSWEAR > BABYBOY > BABYBOY > DENIM > TROUSERS,DARK INDIGO,9/12 Ay,1199.99,1199.99,0.0,TRY,8,03,0.0,9.090991736288512,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1469302,8684847291450,6SMG10040AK,Uzun Kollu Bisiklet Yaka Pamuklu Çiçekli Sweatshirt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SWEATSHIRTS,PEMBE DESENLİ,12/18 Ay,459.99,459.99,0.0,TRY,1,03,,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1469304,8684847292099,6SMG40018AK,Pamuklu Beli Lastikli Çiçekli Jogger Eşofman Altı,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SWEAT BOTTOMS,PEMBE DESENLİ,4/5 Yaş,399.99,399.99,0.0,TRY,0,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1471336,8684847787366,6SMG30022AK,Brodeli Beli Lastikli Fırfırlı Askılı Atlet,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > TANKTOPS,PEMBE,18/24 Ay,499.99,499.99,0.0,TRY,3,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1498560,8684847787557,6SMG70007AK,Fırfırlı Katmanlı Beli Lastikli Brodeli Etek,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SKIRTS,PEMBE,24/36 Ay,499.99,499.99,0.0,TRY,9,03,,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1475362,8684847595589,6SMB40039TK,Beli Bağcıklı Cep Detaylı Pamuklu Jogger Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,YEŞİL,3/4 Yaş,699.99,699.99,0.0,TRY,0,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1475456,8684847595015,6SMB10098TK,Pamuklu Uzun Kollu Yarım Fermuarlı Dik Yaka Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,YEŞİL,12/18 Ay,599.99,599.99,0.0,TRY,2,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1473477,8684847594988,6SMB10098TK,Pamuklu Uzun Kollu Yarım Fermuarlı Dik Yaka Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,KAHVERENGİ,3/4 Yaş,599.99,599.99,0.0,TRY,0,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1476531,8684847595497,6SMB40039TK,Beli Bağcıklı Cep Detaylı Pamuklu Jogger Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,KAHVERENGİ,12/18 Ay,699.99,699.99,0.0,TRY,3,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1475365,8684847443149,6SMG80041AW,Pamuklu Kısa Kollu A Kesim Bebe Yaka Çiçekli Elbise,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > WOVEN DRESSES > DRESSES,PEMBE DESENLİ,18/24 Ay,999.99,999.99,0.0,TRY,21,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1470999,8684846146348,6SMG80001AD,Pamuklu Kare Yaka Askılı Denim Jile Elbise,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > DENIM > DRESSES,PINK STRIPE,12/18 Ay,1599.99,1599.99,0.0,TRY,9,03,0.0,14.285816327259479,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1473170,8684847787311,6SMG10070AK,Pamuklu Bisiklet Yaka Çiçekli 2'li Şort ve Tişört Takımı,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SETS,PEMBE DESENLİ,24/36 Ay,699.99,699.99,0.0,TRY,8,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1479328,8684847973189,6SMG10083AK,Fırfır Detaylı Nakışlı Pamuklu 2'li Tayt ve Tişört Seti,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SETS,PEMBE,3/4 Yaş,599.99,599.99,0.0,TRY,33,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1472225,8684846265650,6SMB10014TK,Pamuklu Uzun Kollu Bisiklet Yaka Oversize Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,EKRU,4/5 Yaş,599.99,599.99,0.0,TRY,38,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1472246,8684847647103,6SMB40043TK,Pamuklu Şerit Detaylı Beli Bağcıklı Jogger Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,EKRU,24/36 Ay,499.99,499.99,0.0,TRY,8,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1471346,8684846146218,6SMG40007AK,Pamuklu Cepli Yırtmaç Detaylı İspanyol Paça Tayt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > LEGGINGS,SİYAH,9/12 Ay,359.99,359.99,0.0,TRY,21,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1469529,8684846145938,6SMG40003AK,Viskon Karışımlı Beli Lastikli Fiyonk Detaylı İspanyol Paça Tayt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > LEGGINGS,SİYAH,12/18 Ay,499.99,499.99,0.0,TRY,29,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1475230,8684846146089,6SMG40006AK,Pamuk Karışımlı Çiçekli İspanyol Paça Tayt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > LEGGINGS,SİYAH DESENLİ,4/5 Yaş,399.99,399.99,0.0,TRY,24,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1471343,8684846146126,6SMG40007AK,Pamuklu Cepli Yırtmaç Detaylı İspanyol Paça Tayt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > LEGGINGS,PEMBE,24/36 Ay,359.99,359.99,0.0,TRY,27,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1472951,8684846144580,6SMB40003TD,Pamuklu Beli Bağcıklı Lastikli Cepli Jogger Denim Pantolon,Koton,KIDSWEAR > BABYBOY > BABYBOY > DENIM > TROUSERS,LIGHT INDIGO,3/4 Yaş,859.99,859.99,0.0,TRY,39,03,0.0,13.158067869314069,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1480702,8684846144641,6SMB40003TD,Pamuklu Beli Bağcıklı Lastikli Cepli Jogger Denim Pantolon,Koton,KIDSWEAR > BABYBOY > BABYBOY > DENIM > TROUSERS,ORTA İNDİGO,3/4 Yaş,859.99,859.99,0.0,TRY,49,03,0.0,13.158067869314069,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1478532,8684847557259,6SMG10006AK,Kısa Kollu Bisiklet Yaka Kiraz Nakışlı Pamuklu Tişört,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > TSHIRT SS,EKRU,24/36 Ay,359.99,359.99,0.0,TRY,73,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1475224,8684846272429,6SMG40004AK,Viskon Karışımlı Basic İspanyol Paça Tayt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > LEGGINGS,EKRU,9/12 Ay,399.99,399.99,0.0,TRY,26,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1471589,8684847594797,6SMB10096TK,Bisiklet Yaka Uzun Kollu Pamuklu Oversize Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,EKRU,24/36 Ay,499.99,499.99,0.0,TRY,0,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1475545,8684846144764,6SMB40006TD,Pamuklu Cepli Düğmeli Denim Pantolon,Koton,KIDSWEAR > BABYBOY > BABYBOY > DENIM > TROUSERS,DARK INDIGO,3/4 Yaş,699.99,699.99,0.0,TRY,1,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1498877,8684848114383,6SMB10129TK,Araba Baskılı Pamuklu Eşofman Takımı -  2'li Set,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SETS,LACİVERT,24/36 Ay,959.99,959.99,0.0,TRY,49,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1496858,8684848537069,6SMB10145TK,Şardonlu Uzun Kollu Bisiklet Yaka Oversize Eşofman Takım,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SETS,BEJ DESENLİ,9/12 Ay,899.99,899.99,0.0,TRY,21,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1494656,8684848537076,6SMB10146TK,Pamuklu Uzun Kollu Bisiklet Yaka Eşofman Takımı -  2'li Set,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SETS,BEJ,12/18 Ay,899.99,899.99,0.0,TRY,18,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1492661,8684847910009,6SMB10122TK,Baskılı Uzun Kollu Bisiklet Yaka Pamuklu Eşofman Takımı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SETS,BEJ DESENLİ,4/5 Yaş,959.99,959.99,0.0,TRY,6,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1482918,8684846267425,6SMB10060TK,Pamuklu Aplikeli Köpekbalığı Baskılı 2'li Tişört ve Şort Seti,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SETS,LACİVERT,18/24 Ay,659.99,659.99,0.0,TRY,145,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1484604,8684846265179,6SMB10003TK,Pamuklu Kolsuz Kapşonlu 2'li Baskılı Üst ve Şort Seti,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SETS,BEYAZ,24/36 Ay,699.99,699.99,0.0,TRY,229,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1478631,8684846266879,6SMB10046TK,Pamuklu Nakış Detaylı Kısa Kollu Bisiklet Yaka Oversize Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU,4/5 Yaş,459.99,459.99,0.0,TRY,119,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1484702,8684847595138,6SMB40010TD,Pamuklu Beli Lastikli Düğmeli Relax Fit Denim Pantolon,Koton,KIDSWEAR > BABYBOY > BABYBOY > DENIM > TROUSERS,ANTRASİT,12/18 Ay,859.99,859.99,0.0,TRY,0,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1484313,8684846268224,6SMB40005TD,Pamuklu Beli Lastikli Normal Paça Denim Pantolon,Koton,KIDSWEAR > BABYBOY > BABYBOY > DENIM > TROUSERS,GRİ,24/36 Ay,799.99,799.99,0.0,TRY,73,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1489433,8684848181897,6SMB40014TD,Pamuklu Cepli Rahat Kalıp Düğmeli Balon Form Denim Pantolon,Koton,KIDSWEAR > BABYBOY > BABYBOY > DENIM > TROUSERS,DARK INDIGO,4/5 Yaş,1199.99,1199.99,0.0,TRY,9,03,0.0,9.090991736288512,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1485418,8684846553405,6SMB10055TK,Pamuklu Uzun Kollu Bisiklet Yaka Baskılı Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,SARI,12/18 Ay,399.99,399.99,0.0,TRY,1,03,,,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1482895,8684846265957,6SMB10022TK,Kısa Kollu Bisiklet Yaka Palmiye Baskılı Pamuklu Oversize Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,KAHVERENGİ DESENLİ,18/24 Ay,399.99,399.99,0.0,TRY,102,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1497030,8684846268460,6SMB40009TK,Palmiyeli Desenli Beli Lastikli Pamuklu Şort,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SHORTS,KAHVERENGİ DESENLİ,12/18 Ay,359.99,359.99,0.0,TRY,86,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1484279,8684847787021,6SMB30011TK,Bisiklet Yaka Kolsuz Araba Nakış Detaylı Pamuklu Atlet,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TANKTOPS,MAVİ,3/4 Yaş,259.99,259.99,0.0,TRY,32,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1496528,8684846266053,6SMB10024TK,Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,BEYAZ,18/24 Ay,299.99,299.99,0.0,TRY,38,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1485885,8684848497424,6SMB40070TK,Pamuklu Rahat Kesim Jogger Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,LACİVERT,4/5 Yaş,359.99,359.99,0.0,TRY,0,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1485297,8684846266091,6SMB10026TK,Pamuklu Yengeç Nakış Detaylı Kısa Kollu Bisiklet Yaka Çizgili Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU ÇİZGİLİ,12/18 Ay,399.99,399.99,0.0,TRY,35,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1504667,8684846495668,6SMB10056TK,Bisiklet Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Çizgili Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,TURUNCU ÇİZGİLİ,9/12 Ay,399.99,399.99,0.0,TRY,19,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1504625,8684846265346,6SMB10006TK,Pamuklu Kısa Kollu Bisiklet Yaka Baskılı Oversize Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU,3/4 Yaş,229.99,229.99,0.0,TRY,75,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1498686,8684848182153,6SMB40064TK,Pamuklu Dokulu Beli Bağcıklı Pantolon,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,LACİVERT,12/18 Ay,499.99,499.99,0.0,TRY,6,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1504155,8684846477701,6SMB10066TK,Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Tişört ve Şort Takımı - 2'li Set,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SETS,EKRU,24/36 Ay,599.99,599.99,0.0,TRY,94,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1499208,8684846266411,6SMB10037TK,Aslan Baskılı Kısa Kollu Bisiklet Yaka Tişört ve Şort Seti - 2'li Takım,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SETS,MAVİ,24/36 Ay,499.99,499.99,0.0,TRY,204,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1499093,8684847909904,6SMB10117TK,Pamuklu Kısa Kollu Bisiklet Yaka Baskılı Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,YEŞİL,12/18 Ay,399.99,399.99,0.0,TRY,14,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1479242,8684846266640,6SMB10041TK,Kaplan Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,KIRMIZI,3/4 Yaş,229.99,229.99,0.0,TRY,29,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1506095,8684848734079,6SMB10157TK,Nakış Detaylı Kısa Kollu Bisiklet Yaka Pamuklu Oversize Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU,12/18 Ay,459.99,459.99,0.0,TRY,14,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1485097,8684846266237,6SMB10028TK,Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,BEYAZ,4/5 Yaş,299.99,299.99,0.0,TRY,21,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1490669,8684846266978,6SMB10048TK,Pamuklu Bisiklet Yaka Kısa Kollu Araba Nakışlı Oversize Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU,24/36 Ay,359.99,359.99,0.0,TRY,62,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1484305,8684846267258,6SMB10051TK,Bisiklet Yaka Kısa Kollu Pamuklu Baskılı Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,YEŞİL,12/18 Ay,299.99,299.99,0.0,TRY,27,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1469420,8684846265841,6SMB10018TK,Pamuklu Uzun Kollu Bisiklet Yaka Çizgili Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,EKRU ÇİZGİLİ,18/24 Ay,559.99,559.99,0.0,TRY,15,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1471577,8684846270678,6SMG10008AK,Pamuklu Uzun Kollu Etiket Detaylı Fırfırlı Bisiklet Yaka Tişört,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > TSHIRT LS,PEMBE,3/4 Yaş,399.99,399.99,0.0,TRY,17,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1472257,8684846265766,6SMB10016TK,Pamuklu Uzun Kollu Bisiklet Yaka Dinozor Baskılı Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,EKRU DESENLİ,4/5 Yaş,459.99,459.99,0.0,TRY,0,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1475354,8684846145037,6SMB40014TK,Beli Ayarlanabilir Lastikli Düğmeli Pamuklu Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,ANTRASİT,12/18 Ay,499.99,499.99,0.0,TRY,37,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1437368,8684758334895,6WMG40081AK,Desenli Beli Lastikli 3'lü Tayt Seti,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > LEGGINGS,SİYAH,24/36 Ay,799.99,799.99,0.0,TRY,108,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1479794,8684846144979,6SMB40014TK,Beli Ayarlanabilir Lastikli Düğmeli Pamuklu Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,BEJ,12/18 Ay,499.99,499.99,0.0,TRY,20,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1471329,8684846270753,6SMG10008AK,Pamuklu Uzun Kollu Etiket Detaylı Fırfırlı Bisiklet Yaka Tişört,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > TSHIRT LS,LİLA,9/12 Ay,399.99,399.99,0.0,TRY,36,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
