pk,sku,base_code,name,brand,category,color,size,regular_price,sale_price,discount_pct,currency,stock,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
1343192,8684630808629,5WAL10789IK,Şardonlu Köpek Sweatshirtü Fermuarlı Kapüşonlu,Koton,OLE > OLE > TEENAGE > JERSEY > SWEATSHIRTS,YEŞİL,S,899.99,899.99,0.0,TRY,0,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1323217,8684291613433,5WAL10716IK,Bisiklet Yaka Fermuarlı Şardonlu Köpek Sweatshirtü,Koton,OLE > OLE > TEENAGE > JERSEY > SWEATSHIRTS,SİYAH,M,899.99,899.99,0.0,TRY,87,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1315573,8684291675400,5WAL90121HT,Biyeli Dik Yaka Örgü Dokulu Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,LACİVERT,S,799.99,799.99,0.0,TRY,122,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1317273,8684291674526,5WAL10711IK,Baskılı Biyeli Pamuklu Bisiklet Yaka Köpek Sweatshirt,Koton,OLE > OLE > TEENAGE > JERSEY > SWEATSHIRTS,YEŞİL,M,899.99,899.99,0.0,TRY,42,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1323354,8684291613174,5WAL10712IK,Şardonlu Fermuarlı Arkası Baskılı Köpek Sweatshirt,Koton,OLE > OLE > TEENAGE > JERSEY > SWEATSHIRTS,LACİVERT,S,899.99,899.99,0.0,TRY,51,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1307771,8684291675486,5WAL90122HT,Leopar Desenli Dik Yaka Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,EKRU DESENLİ,M,799.99,799.99,0.0,TRY,65,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1326702,8684630349115,5WAL20183IW,Kolsuz Kapitone Köpek Ceketi,Koton,OLE > OLE > TEENAGE > OUTERWEAR > JACKETS,HAKİ,S,1699.99,1699.99,0.0,TRY,0,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1324773,8684291676032,5WAL90126HT,Bisiklet Yaka Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,LACİVERT DESENLİ,S,799.99,799.99,0.0,TRY,18,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1324243,8684631121468,5WAL90145HT,Baklava Desenli Dik Yaka Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,GRİ DESENLİ,M/L,799.99,799.99,0.0,TRY,1,03,,,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1320574,8684291675943,5WAL90125HT,Yılbaşı Desenli Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,LACİVERT DESENLİ,S,799.99,799.99,0.0,TRY,5,03,,,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1314887,8684291675660,5WAL90123HT,V Yaka Biyeli Kolsuz Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,KAHVERENGİ,M,799.99,799.99,0.0,TRY,1,03,,,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1310221,8684291675578,5WAL90122HT,Leopar Desenli Dik Yaka Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,KAHVERENGİ DESENLİ,M,799.99,799.99,0.0,TRY,3,03,,,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1475235,8684847415573,6SMG40010AD,Pamuklu Cep Detaylı Fiyonklu Geniş Paça Denim Pantolon - Wide Leg Jeans,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > DENIM > TROUSERS,LIGHT INDIGO,3/4 Yaş,1099.99,1099.99,0.0,TRY,146,03,0.0,10.00010000100001,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1479809,8684847415504,6SMG40010AD,Pamuklu Cep Detaylı Fiyonklu Geniş Paça Denim Pantolon - Wide Leg Jeans,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > DENIM > TROUSERS,KOYU İNDİGO,24/36 Ay,999.99,999.99,0.0,TRY,90,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1473388,8684846570402,6SMG10005AK,Pamuklu Uzun Kollu Bisiklet Yaka Fiyonk Baskılı Sweatshirt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SWEATSHIRTS,EKRU,4/5 Yaş,399.99,399.99,0.0,TRY,1,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1479321,8684846270524,6SMG10007AK,Pamuklu Fiyonk Desenli Fırfırlı 2'li Takım,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SETS,BEJ DESENLİ,12/18 Ay,659.99,659.99,0.0,TRY,3,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1476972,8684846267012,6SMB10049TK,Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU,12/18 Ay,359.99,359.99,0.0,TRY,18,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
1477694,8684846266794,6SMB10045TK,Pamuklu Kısa Kollu Bisiklet Yaka Aplikeli Çizgili Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU ÇİZGİLİ,24/36 Ay,459.99,459.99,0.0,TRY,33,03,0.0,0.0,,,0.0,0.0,0.27881586402976216,0.17803052256050195,,,,
