Daily Inflation(%),Date
0.013868498344393477,3-7
-0.005171814396419652,3-8
0.0744600545931745,3-9
0.04404012564082901,3-10
-0.17549868620228457,3-11
0.027120774172780877,3-12
-0.012544939246548838,3-14
0.015978934416489718,3-15
-0.009186874636464917,3-16
0.022563393227580265,3-17
0.10540381357790038,3-18
-0.041096005776468505,3-19
0.007036873491118056,3-20
0.008778990670855772,3-21
0.008917057124686732,3-22
-0.002814464675945637,3-23
0.06865766783239716,3-24
0.017800095649735028,3-25
0.028537911550612197,3-26
-0.04797347753706035,3-27
0.028477161749098808,3-28
0.03570660473115125,3-29
0.028082953655654976,3-30
0.06948309979204485,3-31
-0.059051864681254285,4-1
0.0017340953765477975,4-2
-2.5940794018988367,4-3
0.001701897637627262,4-4
0.011161853586791608,4-5
-0.033217354434313694,4-6
-0.033345028007382566,4-6
0.10127460766564388,4-7
-0.032043030481529795,4-8
0.5744884392089104,4-9
-0.7998426216649264,4-10
-0.011206932116379032,4-11
0.03373391908163854,4-12
0.016358214704827928,4-13
