date,avg_hunger_threshold_TRY,median_hunger_threshold_TRY,min_hunger_threshold_TRY,n_na
Feb 2026,41988.7,36168.38,21884.21,2
Mar 2026,45787.55,39452.07,27250.45,2
Apr 2026,42979.43,37742.2,22407.39,1
May 2026,39608.93,34399.3,17786.15,3
