date,product-name,product-price,category,source
2026-05-01,%10 DEKSTROZ SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE,1.85,İlaç,TİTCK
2026-05-01,%10 DEKSTROZ VAC.500 ML(SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%10 DEKSTROZ VAC.500 ML(SETSIZ),1.59,İlaç,TİTCK
2026-05-01,"%17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE",1.21,İlaç,TİTCK
2026-05-01,%20 DEKS SOL TORBA PVC 500 ML(SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%20 DEKS SOL TORBA PVC 500 ML(SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%20 DEKS SOL TORBA PVC 500 ML(SETSIZ),1.59,İlaç,TİTCK
2026-05-01,%20 DEKS SOL TORBA PVC 500 ML(SETSIZ),1.59,İlaç,TİTCK
2026-05-01,%20 DEKSTROZ 500 ML SOLUSYON(SETLI),1.75,İlaç,TİTCK
2026-05-01,%20 DEKSTROZ 500 ML SOLUSYON(SETSIZ),1.69,İlaç,TİTCK
2026-05-01,%20 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE,1.86,İlaç,TİTCK
2026-05-01,%20 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETLI),1.02,İlaç,TİTCK
2026-05-01,%20 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETSIZ),0.86,İlaç,TİTCK
2026-05-01,%20 DEKSTROZ VAC.500 ML(SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%20 DEKSTROZ VAC.500 ML(SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%20 DEKSTROZ VAC.500 ML(SETSIZ),1.59,İlaç,TİTCK
2026-05-01,%20 DEKSTROZ VAC.500 ML(SETSIZ),1.59,İlaç,TİTCK
2026-05-01,%20 MANNITOL COZELTISI 1000 ML (SETLI),2.56,İlaç,TİTCK
2026-05-01,%20 MANNITOL COZELTISI 1000 ML (SETSIZ),2.41,İlaç,TİTCK
2026-05-01,%20 MANNITOL COZELTISI 500 ML (SETLI),2.1999999999999997,İlaç,TİTCK
2026-05-01,%20 MANNITOL COZELTISI 500 ML (SETSIZ),1.92,İlaç,TİTCK
2026-05-01,%20 MANNITOL SUDAKI COZELTISI  100 ML (SETLI-MEDIFLEKS),1.2,İlaç,TİTCK
2026-05-01,%20 MANNITOL SUDAKI COZELTISI  100 ML (SETSIZ-MEDIFLEKS),0.88,İlaç,TİTCK
