Name,Brand,SalePrice,RegularPrice,StockCode,URL,CategoryURL,cleaned_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
SGS Posta Kutusu Plastik,,360.0,360.0,"SGS332            360,00 TL            288,00 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/bahce-aletleri/posta-kutulari/prd-sgs-posta-kutusu-plastik,https://nalburtek.com/hirdavat-ve-nalbur,360.0,04,0.0,20.0,20.0,
Flap Disk Zımpara Alm-Oksit 180mm NK 40 Kum,,106.8,106.8,"FD140            106,80 TL            93,45 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/zimpara-ege-ve-asindirici-taslar/disk-zimparalar/prd-flap-disk-zimpara-180-mm-40-kum,https://nalburtek.com/hirdavat-ve-nalbur,106.8,04,0.0,0.0,0.564971751412424,
Beyaz Çelik Civata DIN 933 8.8 - M6x35,,2.21,2.21,"BC0635           2,21 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-35,https://nalburtek.com/hirdavat-ve-nalbur,2.21,04,0.0,0.0,0.0,
Flap Disk Zımpara Alm-Oksit 180mm NK 60 Kum,,106.8,106.8,"FDZ180060            106,80 TL            93,45 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/zimpara-ege-ve-asindirici-taslar/disk-zimparalar/prd-flap-disk-zimpara-180-mm-60-kum,https://nalburtek.com/hirdavat-ve-nalbur,106.8,04,0.0,0.0,0.564971751412424,
Beyaz Çelik Civata DIN 933 8.8 - M6x40,,2.36,2.36,"BC0640           2,36 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-40,https://nalburtek.com/hirdavat-ve-nalbur,2.36,04,0.0,0.0,0.0,
Flap Disk Zımpara Alm-Oksit 180mm NK 80 Kum,,,,FDZ180080               Sepete Ekle,/hirdavat-ve-nalbur/zimpara-ege-ve-asindirici-taslar/disk-zimparalar/prd-flap-disk-zimpara-180-mm-80-kum,https://nalburtek.com/hirdavat-ve-nalbur,,04,,,,
Beyaz Çelik Civata DIN 933 8.8 - M6x45,,2.62,2.62,"BC0645           2,62 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-45,https://nalburtek.com/hirdavat-ve-nalbur,2.62,04,0.0,0.0,0.0,
Beyaz Çelik Civata DIN 933 8.8 - M6x50,,2.85,2.85,"BC0650           2,85 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-50,https://nalburtek.com/hirdavat-ve-nalbur,2.85,04,0.0,0.0,0.0,
Mapa Kilit-Zincir Kilidi 06 mm,,16.02,16.02,"KZ006            16,02 TL            13,35 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-06-mm,https://nalburtek.com/hirdavat-ve-nalbur,16.02,04,0.0,0.0,0.5649717514124285,
German Çivi Sarı,,138.0,138.0,"GÇ030            138,00 TL            114,00 TL           -  +   KG        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civi-cesitleri/prd-german-civi-2-5-kg,https://nalburtek.com/hirdavat-ve-nalbur,138.0,04,0.0,0.0,0.0,
Mapa Kilit-Zincir Kilidi 08 mm,,26.7,26.7,"KZ008            26,70 TL            18,69 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-08-mm,https://nalburtek.com/hirdavat-ve-nalbur,26.7,04,0.0,0.0,0.564971751412424,
Çamaşır İpi-Teli Naylon 10mt,,19.25,19.25,"Çİ5022            19,25 TL            13,75 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/ev-ve-yasam-urunleri/camasirlik-cesitleri/prd-camasir-ipi-naylon-10-mt,https://nalburtek.com/hirdavat-ve-nalbur,19.25,04,0.0,0.0,0.0,
Beyaz Çelik Civata DIN 933 8.8 - M6x60,,3.37,3.37,"BC0660           3,37 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-60,https://nalburtek.com/hirdavat-ve-nalbur,3.37,04,0.0,0.0,0.0,
Mapa Kilit-Zincir Kilidi 10 mm,,32.04,32.04,"KZ010            32,04 TL            24,03 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-10-mm,https://nalburtek.com/hirdavat-ve-nalbur,32.04,04,0.0,0.0,0.5649717514124285,
Çamaşır İpi-Teli Çelik 10mt,,27.6,27.6,"Çİ5033            27,60 TL            21,60 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/ev-ve-yasam-urunleri/camasirlik-cesitleri/prd-camasir-ipi-celik-10-mt,https://nalburtek.com/hirdavat-ve-nalbur,27.6,04,0.0,0.0,0.0,
Mapa Kilit-Zincir Kilidi 12 mm,,53.4,53.4,"KZ012            53,40 TL            40,05 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-12-mm,https://nalburtek.com/hirdavat-ve-nalbur,53.4,04,0.0,0.0,0.564971751412424,
Beyaz Çelik Civata DIN 933 8.8 - M6x70,,3.82,3.82,"BC0670           3,82 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-70,https://nalburtek.com/hirdavat-ve-nalbur,3.82,04,0.0,0.0,0.0,
Mapa Kilit-Zincir Kilidi 16 mm,,106.8,106.8,"KZ016            106,80 TL            88,11 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-16-mm,https://nalburtek.com/hirdavat-ve-nalbur,106.8,04,0.0,0.0,0.564971751412424,
