product_name,price,Product Original Cost,Discount Amount,Discount Rate,Currency,Product ID,Stock Quantity,In Stock,Main Category,Top Category,Category ID,Category Path,Source Category,Source Category URL,Product URL,Image URL,Color,Size
Baci Milano Aqua Bi Color Su Bardağı Beyaz Kırmızı,1099.0,1099.0,0.0,0.0,TRY,7170856,78,Yes,Sofra,Bardak ve Bardak Seti,1411101,Sofra > Bardak ve Bardak Seti,Bardak ve Bardak Seti,https://www.karaca.com/bardak-bardak-seti,https://www.karaca.com/urun/baci-milano-aqua-bi-color-su-bardagi-beyaz-kirmizi,https://cdn.karaca.com/image/cdndata/876/202302/555.01.01.0342/8057143587686-311.jpg,,
Baci Milano Aqua Bi Color Su Bardağı Beyaz/Gri,1099.0,1099.0,0.0,0.0,TRY,7170854,59,Yes,Sofra,Bardak ve Bardak Seti,1411101,Sofra > Bardak ve Bardak Seti,Bardak ve Bardak Seti,https://www.karaca.com/bardak-bardak-seti,https://www.karaca.com/urun/baci-milano-aqua-bi-color-su-bardagi-beyaz-gri,https://cdn.karaca.com/image/cdndata/876/202302/555.01.01.0340/8057143587648-309.jpg,,
Baci Milano Aqua Bi Color Su Bardağı Beyaz/Mavi,1099.0,1099.0,0.0,0.0,TRY,7170855,33,Yes,Sofra,Bardak ve Bardak Seti,1411101,Sofra > Bardak ve Bardak Seti,Bardak ve Bardak Seti,https://www.karaca.com/bardak-bardak-seti,https://www.karaca.com/urun/baci-milano-aqua-bi-color-su-bardagi-beyaz-mavi,https://cdn.karaca.com/image/cdndata/876/202302/555.01.01.0341/8057143587662-310.jpg,,
Baci Milano Aqua Bi Color Su Bardağı Siyah/Beyaz,1099.0,1099.0,0.0,0.0,TRY,7170852,65,Yes,Sofra,Bardak ve Bardak Seti,1411101,Sofra > Bardak ve Bardak Seti,Bardak ve Bardak Seti,https://www.karaca.com/bardak-bardak-seti,https://www.karaca.com/urun/baci-milano-aqua-bi-color-su-bardagi-siyah-beyaz,https://cdn.karaca.com/image/cdndata/876/202302/555.01.01.0338/8057143587600-307.jpg,,
Baci Milano Aqua Bi Color Su Bardağı Şeffaf,1099.0,1099.0,0.0,0.0,TRY,7170853,45,Yes,Sofra,Bardak ve Bardak Seti,1411101,Sofra > Bardak ve Bardak Seti,Bardak ve Bardak Seti,https://www.karaca.com/bardak-bardak-seti,https://www.karaca.com/urun/baci-milano-aqua-bi-color-su-bardagi-seffaf,https://cdn.karaca.com/image/cdndata/876/202302/555.01.01.0339/8057143587624-308.jpg,,
Baci Milano Aqua Su Bardağı Açık Kahverengi,1099.0,1099.0,0.0,0.0,TRY,7171776,248,Yes,Sofra,Bardak ve Bardak Seti,1411101,Sofra > Bardak ve Bardak Seti,Bardak ve Bardak Seti,https://www.karaca.com/bardak-bardak-seti,https://www.karaca.com/urun/baci-milano-aqua-su-bardagi-kahverengi,https://cdn.karaca.com/image/cdndata/876/202303/555.01.01.0332/8050327870185-220.jpg,,
Baci Milano Aqua Su Bardağı Beyaz,1099.0,1099.0,0.0,0.0,TRY,7170846,37,Yes,Sofra,Bardak ve Bardak Seti,1411101,Sofra > Bardak ve Bardak Seti,Bardak ve Bardak Seti,https://www.karaca.com/bardak-bardak-seti,https://www.karaca.com/urun/baci-milano-aqua-su-bardagi-beyaz,https://cdn.karaca.com/image/cdndata/876/202302/555.01.01.0331/8056098894450-210.jpg,,
Baci Milano Aqua Su Bardağı Mor,1099.0,1099.0,0.0,0.0,TRY,7181131,384,Yes,Sofra,Bardak ve Bardak Seti,1411101,Sofra > Bardak ve Bardak Seti,Bardak ve Bardak Seti,https://www.karaca.com/bardak-bardak-seti,https://www.karaca.com/urun/baci-milano-aqua-su-bardagi-mor,https://cdn.karaca.com/image/banner/perabulvari/555.01.01.0730-123.jpg,,
Baci Milano Aqua Su Bardağı Turuncu,1099.0,1099.0,0.0,0.0,TRY,7181130,279,Yes,Sofra,Bardak ve Bardak Seti,1411101,Sofra > Bardak ve Bardak Seti,Bardak ve Bardak Seti,https://www.karaca.com/bardak-bardak-seti,https://www.karaca.com/urun/baci-milano-aqua-su-bardagi-turuncu,https://cdn.karaca.com/image/cdndata/876/202309/555.01.01.0729/8056209638737-200.jpg,,
Baci Milano Aqua Su Bardağı Yeşil,1099.0,1099.0,0.0,0.0,TRY,7182495,432,Yes,Sofra,Bardak ve Bardak Seti,1411101,Sofra > Bardak ve Bardak Seti,Bardak ve Bardak Seti,https://www.karaca.com/bardak-bardak-seti,https://www.karaca.com/urun/baci-milano-aqua-su-bardagi-yesil,https://cdn.karaca.com/image/cdndata/876/202309/555.01.01.0886/8056209639727-230.jpg,,
