product_name,price,Product Original Cost,Discount Amount,Discount Rate,Currency,Product ID,Stock Quantity,In Stock,Main Category,Top Category,Category ID,Category Path,Source Category,Source Category URL,Product URL,Image URL,Color,Size
Apliqa Percy Nikel Şarjlı Dokunmatik Dim Edilebilir 3 Renkli Masa Lambası 2000ma Pil Gücü Ile 7 Saat,566.0,566.0,0.0,0.0,TRY,7263749,601,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-percy-nikel-sarjli-dokunmatik-dim-edilebilir-3-renkli-masa-lambasi-2000ma-pil-gucu-ile-7-saat,https://cdn.karaca.com/image/marketplace-mirakll/7263749/ee2ce4041a9c7df59f96-0.jpg,,
Apliqa Perla Siyah 4lü Plafonyer Modern Retro Tasarım Spot Avize,2017.99,2017.99,0.0,0.0,TRY,7262854,202,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-perla-siyah-4lu-plafonyer-modern-retro-tasarim-spot-avize,https://cdn.karaca.com/image/marketplace-mirakll/7262854/d4d66246cfcbb0ad7d76-0.jpg,Beyaz,
"Apliqa Peter 2li Sıralı Krom Kristalli, Taşlı Modern Tasarım Yatak Odası Kristal Salon Avize",1237.0,1237.0,0.0,0.0,TRY,7263025,444,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-peter-2li-sirali-krom-kristalli-tasli-modern-tasarim-yatak-odasi-kristal-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263025/cd268fbe5c8e06756bee-0.jpg,Pembe,
"Apliqa Peter 3lü Sıralı Krom Kristalli, Taşlı Modern Tasarım Kristal Salon Avize",1714.0,1714.0,0.0,0.0,TRY,7263192,454,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-peter-3lu-sirali-krom-kristalli-tasli-modern-tasarim-kristal-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263192/a34aaa6a25dce78bb188-0.jpg,Beyaz,
"Apliqa Peter 4lü Krom Kristalli, Taşlı Modern Tasarım Kristal Salon Avize",1946.0,1946.0,0.0,0.0,TRY,7263180,456,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-peter-4lu-krom-kristalli-tasli-modern-tasarim-kristal-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263180/968417df7d3997703ddd-0.jpg,Copper,
"Apliqa Peter 5li Krom Kristalli, Taşlı Modern Tasarım Kristal Salon Avize",2296.0,2296.0,0.0,0.0,TRY,7263146,20,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-peter-5li-krom-kristalli-tasli-modern-tasarim-kristal-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263146/957f8fcface74fed15b5-0.jpg,Altın,
"Apliqa Peter 9lu Krom Kristalli, Taşlı Modern Tasarım Kristal Salon Avize",3531.0,3531.0,0.0,0.0,TRY,7263116,462,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-peter-9lu-krom-kristalli-tasli-modern-tasarim-kristal-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263116/6b89e22c467a4c1dc214-0.jpg,,
"Apliqa Peter Krom Kristal Taşlı Koridor, Yatak Başı, Oturma Odası Salon Aplik",998.0,998.0,0.0,0.0,TRY,7263484,426,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-peter-krom-kristal-tasli-koridor-yatak-basi-oturma-odasi-salon-aplik,https://cdn.karaca.com/image/marketplace-mirakll/7263484/cf07c759af793c149192-0.jpg,,
"Apliqa Peter Tekli Krom Kristalli, Taşlı Modern Tasarım Kristal Salon Avize",768.0,768.0,0.0,0.0,TRY,7263279,395,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-peter-tekli-krom-kristalli-tasli-modern-tasarim-kristal-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263279/333cc3ed4e4f678800d1-0.jpg,Pembe,
Apliqa Peyda 3'lü Siyah Eskitme Bal Camlı Modern Koridor Yatak Odası Salon Avize,1736.0,1736.0,0.0,0.0,TRY,7262659,316,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-peyda-3lu-siyah-eskitme-bal-camli-modern-koridor-yatak-odasi-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7262659/9fcfd78fa3fe181e5b1d-0.jpg,Bej,
Apliqa Peyda 3'lü Siyah Eskitme Beyaz Camlı Modern Koridor Yatak Odası Salon Avize,1736.0,1736.0,0.0,0.0,TRY,7262694,347,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-peyda-3lu-siyah-eskitme-beyaz-camli-modern-koridor-yatak-odasi-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7262694/1180ca97b4b1bb5280cf-0.jpg,Beyaz,
Apliqa Peyda 6'lı Siyah Eskitme Bal Camlı Modern Koridor Yatak Odası Salon Avize,3116.0,3324.77,208.77,6.28,TRY,7262661,393,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-peyda-6li-siyah-eskitme-bal-camli-modern-koridor-yatak-odasi-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7262661/f13fa131ecb658f29a9a-0.jpg,,
Apliqa Peyda 6'lı Siyah Eskitme Beyaz Camlı Modern Koridor Yatak Odası Salon Avize,3134.0,3134.0,0.0,0.0,TRY,7262626,408,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-peyda-6li-siyah-eskitme-beyaz-camli-modern-koridor-yatak-odasi-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7262626/ef927dc9d946986228f7-0.jpg,Altın,
Apliqa Pireal 3'lü Yuvarlak Eskitme Bal Camlı Modern Oturma Odası Salon Avize,1698.0,1698.0,0.0,0.0,TRY,7262595,20,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-pireal-3lu-yuvarlak-eskitme-bal-camli-modern-oturma-odasi-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7262595/0009c79a2931cc3d4664-0.jpg,,
Apliqa Pireal 4'lü Sıralı Eskitme Bal Camlı Modern Oturma Odası Salon Avize,1938.0,1938.0,0.0,0.0,TRY,7262726,6,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-pireal-4lu-sirali-eskitme-bal-camli-modern-oturma-odasi-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7262726/35a35612b3a7ce5b4c1f-0.jpg,,
Apliqa Pireal 5'li Yuvarlak Eskitme Bal Camlı Modern Oturma Odası Salon Avize,2533.0,2702.71,169.71,6.28,TRY,7262695,29,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-pireal-5li-yuvarlak-eskitme-bal-camli-modern-oturma-odasi-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7262695/d4afc7d85baecbbe60e5-0.jpg,,
"Apliqa Pireal Tekli Eskitme Bal Camlı Modern Yatak Başı, Salon Aplik",768.0,768.0,0.0,0.0,TRY,7263533,385,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-pireal-tekli-eskitme-bal-camli-modern-yatak-basi-salon-aplik,https://cdn.karaca.com/image/marketplace-mirakll/7263533/dc1a30763bbcddd0896a-0.jpg,Beyaz,
Apliqa Porto Rattan Hasır Abajur,2690.0,2690.0,0.0,0.0,TRY,7285895,175,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-porto-rattan-hasir-abajur,https://cdn.karaca.com/image/marketplace-mirakll/7285895/980cd8b3ef6ab44493c1-0.jpg,Ahşap,
Apliqa Quinn 10'lu Gold 80 Watt Plafonyer 3 Renkli Led Avize,2435.0,2435.0,0.0,0.0,TRY,7288441,106,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-quinn-10lu-gold-80-watt-plafonyer-3-renkli-led-avize,https://cdn.karaca.com/image/marketplace-mirakll/7288441/67c5e5439c3d30baabfa-0.jpg,Copper,
Apliqa Quinn 6'lı Gold 48 Watt Plafonyer 3 Renkli Led Avize,1644.0,1644.0,0.0,0.0,TRY,7285868,105,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-quinn-6li-gold-48-watt-plafonyer-3-renkli-led-avize,https://cdn.karaca.com/image/marketplace-mirakll/7285868/a913601e1eae5f1c331d-0.jpg,Beyaz,
Apliqa Quon 5'li Gold 100 Watt Sıralı Yemek Masası Üstü Modern Sarkıt Salon Led Avize,14006.0,14006.0,0.0,0.0,TRY,7263281,19,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-quon-5li-gold-100-watt-sirali-yemek-masasi-ustu-modern-sarkit-salon-led-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263281/c12ca1024e20ea1c63a1-0.jpg,,
Apliqa Quon 6'lı Gold 110 Watt Yuvarlak Modern Sarkıt Salon Led Avize,12968.0,12968.0,0.0,0.0,TRY,7263096,18,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-quon-6li-gold-110-watt-yuvarlak-modern-sarkit-salon-led-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263096/4da0e6b8a8c5072afde0-0.jpg,Ahşap,
Apliqa Quon 8'li Gold 150 Watt Yuvarlak Modern Sarkıt Salon Led Avize,16704.0,16704.0,0.0,0.0,TRY,7263288,2,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-quon-8li-gold-150-watt-yuvarlak-modern-sarkit-salon-led-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263288/4b949ef1a17cc765f33b-0.jpg,Bordo,
Apliqa Rachel Eskitme 2'li Aplik Seti Kristal Taşlı Yatak Odası-yatak Başı Için Duvar Lambası,1118.0,1118.0,0.0,0.0,TRY,7263659,103,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-rachel-eskitme-2li-aplik-seti-kristal-tasli-yatak-odasi-yatak-basi-icin-duvar-lambasi,https://cdn.karaca.com/image/marketplace-mirakll/7263659/2af6b9f45d3c66dbf8da-0.jpg,Copper,
Apliqa Rachel Eskitme Kristal Taşlı Duvar Lambası Yatak Odası-yatak Başı-salon Için Aplik,726.0,726.0,0.0,0.0,TRY,7263621,59,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-rachel-eskitme-kristal-tasli-duvar-lambasi-yatak-odasi-yatak-basi-salon-icin-aplik,https://cdn.karaca.com/image/marketplace-mirakll/7263621/40c2a9389275b8604108-0.jpg,,
Apliqa Rachel Kristal Taşlı Duvar Lambası Yatak Odası-yatak Başı-salon Için Aplik,726.0,726.0,0.0,0.0,TRY,7262945,86,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-rachel-kristal-tasli-duvar-lambasi-yatak-odasi-yatak-basi-salon-icin-aplik,https://cdn.karaca.com/image/marketplace-mirakll/7262945/03e486fbfb42bddb2c00-0.jpg,Pembe,
Apliqa Rakes Beyaz Silme Abajur Salon-yatak Odası Modern Tasarım Masa Lambası,562.0,562.0,0.0,0.0,TRY,7263541,1,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-rakes-beyaz-silme-abajur-salon-yatak-odasi-modern-tasarim-masa-lambasi,https://cdn.karaca.com/image/marketplace-mirakll/7263541/708d4ec2c1320bb2b93b-0.jpg,,
Apliqa Rakes Eskitme Modern Plafonyer Genç Odası Mutfak Yatak Odası Avize,730.0,730.0,0.0,0.0,TRY,7262677,2,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-rakes-eskitme-modern-plafonyer-genc-odasi-mutfak-yatak-odasi-avize,https://cdn.karaca.com/image/marketplace-mirakll/7262677/089d0acbdc30d770fec9-0.jpg,Ahşap,
Apliqa Ramo Eskitme Kristal Taşlı Duvar Lambası Yatak Odası-yatak Başı-salon İçin Aplik,932.0,932.0,0.0,0.0,TRY,7262948,47,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-ramo-eskitme-kristal-tasli-duvar-lambasi-yatak-odasi-yatak-basi-salon-icin-aplik,https://cdn.karaca.com/image/marketplace-mirakll/7262948/c1c8b4948e36441d9a61-0.jpg,Mavi,
Apliqa Ramo Krom Kaplama Kristal Taşlı Duvar Lambası Yatak Odası-yatak Başı-salon Için Aplik,873.0,873.0,0.0,0.0,TRY,7263543,4,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-ramo-krom-kaplama-kristal-tasli-duvar-lambasi-yatak-odasi-yatak-basi-salon-icin-aplik,https://cdn.karaca.com/image/marketplace-mirakll/7263543/de61db2bf5b7c0016a5a-0.jpg,,
Apliqa Reid 2 Katlı İpli Hasır Bohem Sarkıt Avize,1983.0,1983.0,0.0,0.0,TRY,7285842,250,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-reid-2-katli-ipli-hasir-bohem-sarkit-avize,https://cdn.karaca.com/image/marketplace-mirakll/7285842/ff7174190fcf2ce74f7c-0.jpg,Yeşil,
Apliqa Remy Renkli Başlıklı Bohem Sarkıt Avize,1438.0,1438.0,0.0,0.0,TRY,7285826,101,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-remy-renkli-baslikli-bohem-sarkit-avize,https://cdn.karaca.com/image/marketplace-mirakll/7285826/cc18045b3b9468295b50-0.jpg,Bordo,
Apliqa Rengi 2li Eskitme Beyaz Camlı Modern Dekoratif Tasarım Oturma Odası-salon Lambader,1775.0,1775.0,0.0,0.0,TRY,7263669,405,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-rengi-2li-eskitme-beyaz-camli-modern-dekoratif-tasarim-oturma-odasi-salon-lambader,https://cdn.karaca.com/image/marketplace-mirakll/7263669/e418c710b848a5f5049d-0.jpg,Sarı,
Apliqa Renji 3lü Eskitme Boyalı Beyaz Camlı Modern Tasarım Metal Lambader,2354.0,2354.0,0.0,0.0,TRY,7263432,298,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-renji-3lu-eskitme-boyali-beyaz-camli-modern-tasarim-metal-lambader,https://cdn.karaca.com/image/marketplace-mirakll/7263432/0ff0c1c9a4f479efdef5-0.jpg,,
Apliqa Renji 3lü Siyah Boyalı Beyaz Camlı Modern Tasarım Metal Lambader,2354.0,2354.0,0.0,0.0,TRY,7263428,316,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-renji-3lu-siyah-boyali-beyaz-camli-modern-tasarim-metal-lambader,https://cdn.karaca.com/image/marketplace-mirakll/7263428/76f98cabc8b546cb566c-0.jpg,,
"Apliqa Restty Bohem Model Makrome Hasır Koridor, Çocuk Odası, Salon Avize",1711.0,1711.0,0.0,0.0,TRY,7285943,146,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-restty-bohem-model-makrome-hasir-koridor-cocuk-odasi-salon-avize,https://cdn.karaca.com/image/marketplace-mirakll/7285943/2acf730c21c39f8dd271-0.jpg,,
Apliqa Retta Plafonyer Pervaneli Ledli Avize,2819.0,3589.99,770.99,21.48,TRY,7263613,95,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-retta-plafonyer-pervaneli-ledli-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263613/bb14b4d89e2048402950-0.jpg,Yeşil,
Apliqa Riley 2li Krom Spot Bardak Camlı Modern Koridor Mutfak Salon Plafonyer Avize,1444.0,1444.0,0.0,0.0,TRY,7263277,314,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-riley-2li-krom-spot-bardak-camli-modern-koridor-mutfak-salon-plafonyer-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263277/d6b888fc97fe2c2bf450-0.jpg,,
Apliqa Riley 3lü Krom Spot Bardak Camlı Modern Koridor Mutfak Salon Plafonyer Avize,1898.0,2025.17,127.17,6.28,TRY,7263030,326,Yes,Ev ve Yaşam,Aydınlatma,2113083,Ev ve Yaşam > Aydınlatma,Aydınlatma,https://www.karaca.com/aydinlatma,https://www.karaca.com/urun/apliqa-riley-3lu-krom-spot-bardak-camli-modern-koridor-mutfak-salon-plafonyer-avize,https://cdn.karaca.com/image/marketplace-mirakll/7263030/7aa00887dd6d95e399f8-0.jpg,,
