Date,Price,District,Rooms
2026-03-12,21000,"Merkez
Karakeçili",3+1
2026-03-12,30000,"Merkez
Yeniyol",3+1
2026-03-12,21499,"Merkez
Ulukavak",2+0
2026-03-12,20000,"Merkez
Yeniyol",3+1
2026-03-12,40000,Merkez,4+1
2026-03-12,10000,"Merkez
Yeniyol",Stüdyo (1+0)
2026-03-12,20000,Osmancık,3+1
2026-03-12,20000,Merkez,3+1
2026-03-12,14000,"Merkez
Karakeçili",3+1
2026-03-12,12000,"Merkez
Gülabibey",2+1
2026-03-12,12500,"Merkez
Yeniyol",3+1
2026-03-12,14000,"Merkez
Gülabibey",2+1
2026-03-12,40000,Sungurlu,2+1
2026-03-12,21500,"Merkez
Gülabibey",3+1
2026-03-12,28000,Sungurlu,3+1
2026-03-12,15000,"Merkez
Yeniyol",3+1
2026-03-12,11500,"Merkez
Gülabibey",2.5+1
2026-03-12,12000,"Merkez
Karakeçili",2+1
2026-03-12,15000,"Merkez
Karakeçili",3+1
2026-03-12,18000,"Merkez
Ulukavak",1+1
2026-03-12,26000,"Merkez
Ulukavak",3+1
2026-03-12,26000,Merkez,3+1
2026-03-12,10000,"Merkez
Gülabibey",3+1
2026-03-12,26500,"Merkez
Ulukavak",3+1
2026-03-12,17000,"Merkez
Karakeçili",3+1
2026-03-12,67000,"Merkez
Karakeçili",4+1
2026-03-12,10000,Merkez,1+1
2026-03-12,30000,"Merkez
Ulukavak",1+1
2026-03-12,25000,Merkez,3+1
2026-03-12,20000,"Merkez
Yeniyol",3+1
2026-03-12,21000,"Merkez
Ulukavak",2+0
2026-03-12,18000,"Merkez
Ulukavak",2+1
2026-03-12,15000,"Merkez
Gülabibey",3+1
2026-03-12,14000,"Merkez
Yeniyol",3+1
2026-03-12,26000,"Merkez
Yeniyol",4+1
2026-03-12,10000,Merkez,3+1
2026-03-12,37500,Merkez,3+1
2026-03-12,14000,"Merkez
Yeniyol",3+1
2026-03-12,18000,"Merkez
Karakeçili",3+1
2026-03-12,18000,"Merkez
Ulukavak",2+0
2026-03-12,16000,"Merkez
Karakeçili",2+1
2026-03-12,400000,"Merkez
Ulukavak",1+1
2026-03-12,17000,"Merkez
Karakeçili",3+1
2026-03-12,9000,"Merkez
Yeniyol",3+1
2026-03-12,25000,"Merkez
Karakeçili",3+1
2026-03-12,12000,"Merkez
Yeniyol",2+1
2026-03-12,25000,"Merkez
Yeniyol",2+0
2026-03-12,15000,Alaca,3+1
2026-03-12,10600,"Merkez
Ulukavak",4+1
2026-03-12,15000,"Merkez
Gülabibey",3+1
2026-03-12,16500,"Merkez
Yeniyol",1+1
2026-03-12,17500,"Merkez
Gülabibey",3+1
2026-03-12,22000,"Merkez
Karakeçili",3+1
2026-03-12,18500,"Merkez
Gülabibey",3+1
2026-03-12,20000,Merkez,3+1
2026-03-12,25000,"Merkez
Karakeçili",3+1
2026-03-12,13000,"Merkez
Yeniyol",2+1
2026-03-12,9750,Merkez,2+1
2026-03-12,19000,"Merkez
Karakeçili",3+1
2026-03-12,20000,"Merkez
Gülabibey",3+1
2026-03-12,19000,"Merkez
Karakeçili",3+1
2026-03-12,33000,"Merkez
Yeniyol",2+1
2026-03-12,22000,"Merkez
Yeniyol",3+1
2026-03-12,14000,"Merkez
Karakeçili",2+1
2026-03-12,20000,"Merkez
Ulukavak",2+0
2026-03-12,16500,"Merkez
Ulukavak",Stüdyo (1+0)
2026-03-12,26000,"Merkez
Karakeçili",3+1
2026-03-12,12500,Merkez,2+1
2026-03-12,18500,"Merkez
Karakeçili",3+1
2026-03-12,20000,"Merkez
Yeniyol",3+1
2026-03-12,22000,"Merkez
Karakeçili",3+1
2026-03-12,15000,"Merkez
Karakeçili",3+1
2026-03-12,23000,"Merkez
Ulukavak",3+0
2026-03-12,17000,"Merkez
Ulukavak",2+1
2026-03-12,13750,"Merkez
Yeniyol",3+1
2026-03-12,27000,"Merkez
Ulukavak",1+1
2026-03-12,23000,Sungurlu,3+1
2026-03-12,24000,"Merkez
Karakeçili",4+1
2026-03-12,18000,"Merkez
Karakeçili",3+1
2026-03-12,28000,"Merkez
Karakeçili",3+1
2026-03-12,16000,"Merkez
Yeniyol",3+1
2026-03-12,22000,Osmancık,3+1
2026-03-12,9000,"Merkez
Karakeçili",2+1
2026-03-12,30000,"Merkez
Karakeçili",3+1
2026-03-12,14000,"Merkez
Gülabibey",2+1
2026-03-12,40000,"Merkez
Ulukavak",3+1
2026-03-12,23000,Merkez,3+1
2026-03-12,15000,Osmancık,3+1
2026-03-12,28000,"Merkez
Ulukavak",1+1
2026-03-12,20000,"Merkez
Yeniyol",3+1
2026-03-12,11500,"Merkez
Karakeçili",3+1
2026-03-12,21000,"Merkez
Ulukavak",2+1
2026-03-12,21000,"Merkez
Ulukavak",2+1
2026-03-12,20000,"Merkez
Yeniyol",3+1
2026-03-12,14000,"Merkez
Gülabibey",3+1
2026-03-12,15000,"Merkez
Karakeçili",3+1
2026-03-12,19000,"Merkez
Ulukavak",2+1
2026-03-12,15000,"Merkez
Yeniyol",3+1
2026-03-12,43000,Merkez,3+1
2026-03-12,25500,"Merkez
Karakeçili",4+1
2026-03-12,29900,"Sungurlu
Arifegazili",3+1
2026-03-12,11000,Merkez,2+1
2026-03-12,12000,"Merkez
Gülabibey",2+1
2026-03-12,17000,"Merkez
Yeniyol",3+1
2026-03-12,16000,"Merkez
Gülabibey",3+1
2026-03-12,25000,Sungurlu,2+1
2026-03-12,20000,Osmancık,1+1
2026-03-12,17000,"Merkez
Yeniyol",1+1
2026-03-12,35000,"Merkez
Ulukavak",2+1
2026-03-12,12500,"Merkez
Karakeçili",2+1
2026-03-12,27500,"Merkez
Ulukavak",1+1
2026-03-12,30000,"Merkez
Yeniyol",4+1
2026-03-12,13000,"Merkez
Gülabibey",3+1
2026-03-12,22500,"Merkez
Karakeçili",3+1
2026-03-12,22000,"Merkez
Karakeçili",3+1
2026-03-12,18000,"Merkez
Yeniyol",4+1
2026-03-12,18000,"Merkez
Karakeçili",3+1
2026-03-12,29500,"Merkez
Ulukavak",2+0
2026-03-12,20000,Merkez,1+1
2026-03-12,19000,"Merkez
Ulukavak",2+0
2026-03-12,35000,"Merkez
Karakeçili",3+1
2026-03-12,11000,"Merkez
Yeniyol",3+1
2026-03-12,20000,Osmancık,4+1
2026-03-12,13000,"Merkez
Yeniyol",3+1
2026-03-12,18000,"Merkez
Ulukavak",3+1
2026-03-12,20000,"Merkez
Karakeçili",2+1
2026-03-12,14500,"Merkez
Ulukavak",3+1
2026-03-12,21000,Merkez,4+1
2026-03-12,21000,"Merkez
Karakeçili",3+1
2026-03-12,16000,"Merkez
Yeniyol",3+1
2026-03-12,17500,"Merkez
Karakeçili",3+1
2026-03-12,19000,"Merkez
Ulukavak",2+1
2026-03-12,17000,"Merkez
Karakeçili",3+1
2026-03-12,19000,"Merkez
Karakeçili",3+1
2026-03-12,22500,"Merkez
Ulukavak",2+1
2026-03-12,16000,"Merkez
Ulukavak",3+1
2026-03-12,21000,"Merkez
Karakeçili",3+1
2026-03-12,24500,"Merkez
Yeniyol",3+1
2026-03-12,15500,"Merkez
Yeniyol",3+1
2026-03-12,32000,Merkez,4+1
2026-03-12,16500,"Merkez
Gülabibey",3+1
2026-03-12,22000,"Merkez
Ulukavak",2+0
2026-03-12,12500,Osmancık,3+1
2026-03-12,23500,Merkez,3+1
2026-03-12,11500,Osmancık,3+1
2026-03-12,16000,"Merkez
Ulukavak",1+1
2026-03-12,21000,"Merkez
Karakeçili",3+1
2026-03-12,30500,"Merkez
Karakeçili",4+1
2026-03-12,24000,"Merkez
Karakeçili",3+1
2026-03-12,25000,"Merkez
Yeniyol",3+1
2026-03-12,18000,"Merkez
Yeniyol",3+1
2026-03-12,17500,"Merkez
Ulukavak",2+0
2026-03-12,13000,"Merkez
Karakeçili",3+1
2026-03-12,20000,"Merkez
Karakeçili",3+1
2026-03-12,16000,"Merkez
Yeniyol",3+1
2026-03-12,25000,"Merkez
Yeniyol",4+1
2026-03-12,10500,"Merkez
Gülabibey",2+1
2026-03-12,26000,"Merkez
Yeniyol",3+1
2026-03-12,23000,"Merkez
Yeniyol",3+1
2026-03-12,15000,"Merkez
Gülabibey",2+1
2026-03-12,19000,"Merkez
Ulukavak",2+1
2026-03-12,35000,"Merkez
Ulukavak",2+0
2026-03-12,31000,"Merkez
Ulukavak",1+1
2026-03-12,20000,"Merkez
Yeniyol",4+1
2026-03-12,20500,"Merkez
Ulukavak",2+0
2026-03-12,35000,"Merkez
Ulukavak",2+1
2026-03-12,20000,"Merkez
Karakeçili",3+1
2026-03-12,25000,"Merkez
Karakeçili",3+1
2026-03-12,15500,"Merkez
Ulukavak",1+1
2026-03-12,15000,"Merkez
Yeniyol",2+1
2026-03-12,20500,Osmancık,3+1
2026-03-12,10000,"Merkez
Gülabibey",3+1
2026-03-12,17500,İskilip,3+1
2026-03-12,30000,"Merkez
Yeniyol",3+1
2026-03-12,26500,"Merkez
Karakeçili",3+1
2026-03-12,12000,"Merkez
Karakeçili",2+1
2026-03-12,32000,"Merkez
Ulukavak",2+1
2026-03-12,30000,Merkez,3+1
2026-03-12,20000,"Merkez
Karakeçili",3+1
2026-03-12,22000,"Merkez
Ulukavak",3+0
2026-03-12,22000,"Merkez
Yeniyol",3+1
2026-03-12,22000,"Merkez
Yeniyol",4+1
2026-03-12,25000,"Merkez
Yeniyol",3+1
2026-03-12,25000,"Merkez
Karakeçili",3+1
2026-03-12,20000,"Merkez
Karakeçili",3+1
2026-03-12,20000,"Merkez
Yeniyol",3+1
2026-03-12,13000,"Merkez
Yeniyol",2+1
2026-03-12,20000,"Merkez
Karakeçili",2+1
2026-03-12,18500,"Merkez
Karakeçili",3+1
2026-03-12,35000,"Merkez
Karakeçili",4+1
2026-03-12,24000,"Merkez
Karakeçili",3+1
2026-03-12,22000,Merkez,3+1
2026-03-12,10999,Merkez,3+1
2026-03-12,37500,"Sungurlu
Karahacip",2.5+1
2026-03-12,23999,"Merkez
Ulukavak",2+0
2026-03-12,18500,"Merkez
Yeniyol",3+1
2026-03-12,20500,"Merkez
Karakeçili",3+1
2026-03-12,22000,"Merkez
Yeniyol",3+1
2026-03-12,22000,Osmancık,1+1
2026-03-12,15000,"Merkez
Karakeçili",2+1
2026-03-12,20000,"Merkez
Ulukavak",2+1
2026-03-12,10000,"Merkez
Gülabibey",3+1
2026-03-12,15000,"Merkez
Yeniyol",1+1
2026-03-12,19000,Osmancık,1+1
2026-03-12,17000,"Merkez
Ulukavak",1+1
2026-03-12,13750,"Merkez
Karakeçili",3+1
2026-03-12,23000,"Merkez
Ulukavak",2+1
2026-03-12,26000,"Merkez
Karakeçili",3+1
2026-03-12,32000,Merkez,3+1
2026-03-12,30000,Merkez,3+1
2026-03-12,18000,"Merkez
Karakeçili",3+1
2026-03-12,36000,Sungurlu,3+1
2026-03-12,18000,"Merkez
Karakeçili",3+1
2026-03-12,26000,"Merkez
Karakeçili",3+1
2026-03-12,20000,"Merkez
Yeniyol",3+1
2026-03-12,10000,Osmancık,3+1
2026-03-12,13500,"Merkez
Yeniyol",2+1
2026-03-12,14000,Merkez,2+1
2026-03-12,10000,"Merkez
Gülabibey",2+1
2026-03-12,16000,"Merkez
Gülabibey",3+1
2026-03-12,19000,"Merkez
Gülabibey",3+1
2026-03-12,25000,"Merkez
Ulukavak",1+1
2026-03-12,13500,"Merkez
Yeniyol",3+1
2026-03-12,18500,"Merkez
Yeniyol",3+1
2026-03-12,28000,"Merkez
Ulukavak",1+1
2026-03-12,18000,"Merkez
Ulukavak",2+1
2026-03-12,35000,Merkez,3+0
2026-03-12,65000,"Merkez
Gülabibey",2+1
2026-03-12,10000,"Merkez
Gülabibey",2+1
2026-03-12,13000,"Merkez
Yeniyol",3+1
2026-03-12,20000,"Merkez
Ulukavak",2+1
2026-03-12,16000,Merkez,3+1
2026-03-12,18000,"Merkez
Yeniyol",2+1
2026-03-12,16000,"Merkez
Karakeçili",2+1
2026-03-12,18000,"Merkez
Ulukavak",2+1
2026-03-12,15000,"Merkez
Yeniyol",3+1
2026-03-12,17000,"Merkez
Ulukavak",2+1
2026-03-12,28000,Merkez,1+1
2026-03-12,18000,"Merkez
Ulukavak",2+0
2026-03-12,30000,"Merkez
Ulukavak",1+1
2026-03-12,10000,"Merkez
Gülabibey",2+1
2026-03-12,15000,"Merkez
Ulukavak",2+0
2026-03-12,35000,"Merkez
Karakeçili",3+1
2026-03-12,10000,"Merkez
Yeniyol",3+1
2026-03-12,15500,"Merkez
Karakeçili",3+1
2026-03-12,17500,"Merkez
Ulukavak",2+1
2026-03-12,20500,"Merkez
Karakeçili",3+1
2026-03-12,12000,Osmancık,2+1
2026-03-12,24000,"Merkez
Karakeçili",3+1
2026-03-12,12000,Merkez,2+1
2026-03-12,44000,"Merkez
Ulukavak",2+1
2026-03-12,24000,"Merkez
Karakeçili",3+1
2026-03-12,16000,"Merkez
Yeniyol",3+1
2026-03-12,26000,Merkez,3+1
2026-03-12,25000,"Merkez
Yeniyol",1+1
2026-03-12,15000,"Merkez
Gülabibey",2+1
2026-03-12,16000,"Merkez
Karakeçili",3+1
2026-03-12,24000,Merkez,2+1
2026-03-12,16000,"Merkez
Yeniyol",3+1
2026-03-12,19000,"Merkez
Karakeçili",3+1
2026-03-12,10000,"Merkez
Yeniyol",3+1
2026-03-12,15500,"Merkez
Yeniyol",4+1
2026-03-12,20000,"Merkez
Yeniyol",3+1
2026-03-12,25000,"Merkez
Yeniyol",1+1
2026-03-12,18000,"Merkez
Ulukavak",2+0
2026-03-12,17500,Osmancık,3+1
2026-03-12,15000,Merkez,2+1
2026-03-12,19500,"Merkez
Karakeçili",3+1
2026-03-12,24000,"Merkez
Karakeçili",4+1
2026-03-12,21000,"Merkez
Karakeçili",3+1
2026-03-12,23000,"Merkez
Karakeçili",4+1
