Date,Price,District,Rooms
2026-03-11,21000,"Merkez
Karakeçili",3+1
2026-03-11,30000,"Merkez
Yeniyol",3+1
2026-03-11,40000,Sungurlu,2+1
2026-03-11,21500,"Merkez
Gülabibey",3+1
2026-03-11,28000,Sungurlu,3+1
2026-03-11,15000,"Merkez
Yeniyol",3+1
2026-03-11,11500,"Merkez
Gülabibey",2.5+1
2026-03-11,12000,"Merkez
Karakeçili",2+1
2026-03-11,15000,"Merkez
Karakeçili",3+1
2026-03-11,18000,"Merkez
Ulukavak",1+1
2026-03-11,26000,"Merkez
Ulukavak",3+1
2026-03-11,26000,Merkez,3+1
2026-03-11,10000,"Merkez
Gülabibey",3+1
2026-03-11,26500,"Merkez
Ulukavak",3+1
2026-03-11,17000,"Merkez
Karakeçili",3+1
2026-03-11,67000,"Merkez
Karakeçili",4+1
2026-03-11,10000,Merkez,1+1
2026-03-11,30000,"Merkez
Ulukavak",1+1
2026-03-11,25000,Merkez,3+1
2026-03-11,20000,"Merkez
Yeniyol",3+1
2026-03-11,21000,"Merkez
Ulukavak",2+0
2026-03-11,18000,"Merkez
Ulukavak",2+1
2026-03-11,15000,"Merkez
Gülabibey",3+1
2026-03-11,14000,"Merkez
Yeniyol",3+1
2026-03-11,26000,"Merkez
Yeniyol",4+1
2026-03-11,10000,Merkez,3+1
2026-03-11,37500,Merkez,3+1
2026-03-11,14000,"Merkez
Yeniyol",3+1
2026-03-11,18000,"Merkez
Karakeçili",3+1
2026-03-11,18000,"Merkez
Ulukavak",2+0
2026-03-11,16000,"Merkez
Karakeçili",2+1
2026-03-11,400000,"Merkez
Ulukavak",1+1
2026-03-11,17000,"Merkez
Karakeçili",3+1
2026-03-11,9000,"Merkez
Yeniyol",3+1
2026-03-11,25000,"Merkez
Karakeçili",3+1
2026-03-11,12000,"Merkez
Yeniyol",2+1
2026-03-11,25000,"Merkez
Yeniyol",2+0
2026-03-11,15000,Alaca,3+1
2026-03-11,10600,"Merkez
Ulukavak",4+1
2026-03-11,15000,"Merkez
Gülabibey",3+1
2026-03-11,16500,"Merkez
Yeniyol",1+1
2026-03-11,17500,"Merkez
Gülabibey",3+1
2026-03-11,22000,"Merkez
Karakeçili",3+1
2026-03-11,18500,"Merkez
Gülabibey",3+1
2026-03-11,20000,Merkez,3+1
2026-03-11,25000,"Merkez
Karakeçili",3+1
2026-03-11,13000,"Merkez
Yeniyol",2+1
2026-03-11,9750,Merkez,2+1
2026-03-11,19000,"Merkez
Karakeçili",3+1
2026-03-11,16000,"Merkez
Yeniyol",3+1
2026-03-11,20000,"Merkez
Gülabibey",3+1
2026-03-11,19000,"Merkez
Karakeçili",3+1
2026-03-11,33000,"Merkez
Yeniyol",2+1
2026-03-11,15000,"Merkez
Karakeçili",3+1
2026-03-11,22000,"Merkez
Yeniyol",3+1
2026-03-11,14000,"Merkez
Karakeçili",2+1
2026-03-11,20000,"Merkez
Ulukavak",2+0
2026-03-11,15000,Osmancık,3+1
2026-03-11,16500,"Merkez
Ulukavak",Stüdyo (1+0)
2026-03-11,21000,"Merkez
Ulukavak",2+1
2026-03-11,12500,Merkez,2+1
2026-03-11,18500,"Merkez
Karakeçili",3+1
2026-03-11,20000,"Merkez
Yeniyol",3+1
2026-03-11,22000,"Merkez
Karakeçili",3+1
2026-03-11,15000,"Merkez
Karakeçili",3+1
2026-03-11,23000,"Merkez
Ulukavak",3+0
2026-03-11,17000,"Merkez
Ulukavak",2+1
2026-03-11,13750,"Merkez
Yeniyol",3+1
2026-03-11,27000,"Merkez
Ulukavak",1+1
2026-03-11,23000,Sungurlu,3+1
2026-03-11,24000,"Merkez
Karakeçili",4+1
2026-03-11,18000,"Merkez
Karakeçili",3+1
2026-03-11,28000,"Merkez
Karakeçili",3+1
2026-03-11,18000,"Merkez
Yeniyol",4+1
2026-03-11,22000,Osmancık,3+1
2026-03-11,9000,"Merkez
Karakeçili",2+1
2026-03-11,30000,"Merkez
Karakeçili",3+1
2026-03-11,14000,"Merkez
Gülabibey",2+1
2026-03-11,40000,"Merkez
Ulukavak",3+1
2026-03-11,23000,Merkez,3+1
2026-03-11,28000,"Merkez
Ulukavak",1+1
2026-03-11,20000,"Merkez
Yeniyol",3+1
2026-03-11,11500,"Merkez
Karakeçili",3+1
2026-03-11,21000,"Merkez
Ulukavak",2+1
2026-03-11,20000,"Merkez
Yeniyol",3+1
2026-03-11,14000,"Merkez
Gülabibey",3+1
2026-03-11,15000,"Merkez
Karakeçili",3+1
2026-03-11,19000,"Merkez
Ulukavak",2+1
2026-03-11,15000,"Merkez
Yeniyol",3+1
2026-03-11,43000,Merkez,3+1
2026-03-11,25500,"Merkez
Karakeçili",4+1
2026-03-11,29900,"Sungurlu
Arifegazili",3+1
2026-03-11,11000,Merkez,2+1
2026-03-11,12000,"Merkez
Gülabibey",2+1
2026-03-11,17000,"Merkez
Yeniyol",3+1
2026-03-11,16000,"Merkez
Gülabibey",3+1
2026-03-11,25000,Sungurlu,2+1
2026-03-11,18000,Osmancık,1+1
2026-03-11,17000,"Merkez
Yeniyol",1+1
2026-03-11,35000,"Merkez
Ulukavak",2+1
2026-03-11,12500,"Merkez
Karakeçili",2+1
2026-03-11,28000,"Merkez
Ulukavak",1+1
2026-03-11,30000,"Merkez
Yeniyol",4+1
2026-03-11,13000,"Merkez
Gülabibey",3+1
2026-03-11,22500,"Merkez
Karakeçili",3+1
2026-03-11,22000,"Merkez
Karakeçili",3+1
2026-03-11,18000,"Merkez
Karakeçili",3+1
