Monthly Inflation(%),Date
3.160057603077941,3-25
3.1804490475837475,3-26
2.9905425481352013,3-27
1.8101027334075397,3-28
3.160057603077941,3-25
3.1804490475837475,3-26
2.9905425481352013,3-27
1.8101027334075397,3-28
3.160057603077941,3-25
3.1804490475837475,3-26
2.9905425481352013,3-27
1.8101027334075397,3-28
0.24315825868529753,3-29
-0.09971118394424588,3-30
0.07538603057723971,3-31
1.7068343724875785,4-1
1.1821428798480014,4-2
1.3953127814261181,4-3
1.1682882965533878,4-4
1.0106623365099046,4-5
3.5620089593324527,4-6
3.9255483395674275,4-7
3.7922819276549617,4-8
5.193678845449688,4-9
3.204099173908953,4-10
1.8447835122721048,4-11
2.01874123627723,4-12
2.6299483184670946,4-13
